file,population,expected,attributed,spread,R_mp3,R_aac,R_vorbis,R_opus,R_mp2
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,authentic,,mp3,1.3747,1.1780,14.2494,2.5527,11.2114,2.8093
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,authentic,,mp2,0.2165,3.1179,0.5777,0.9225,10.4350,0.3612
002-03-Hraach-Let-it-go.flac,authentic,,mp2,0.8197,3.6979,1.8390,3.8565,8.0700,1.0193
003-01-Thor-Dari-lullaby.flac,authentic,,mp2,0.3605,3.0264,0.8959,1.4239,10.1261,0.5354
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,authentic,,mp2,0.0217,2.8966,0.2600,0.7585,9.4149,0.2383
005-17-Los-Seven-Del-Swing-Celoso.flac,authentic,,mp2,0.6765,2.5230,0.8628,1.8055,9.0740,0.1863
006-09-Mahmoud-Ahmed-Tezeta.flac,authentic,,mp3,2.2045,1.7788,10.0846,3.9832,8.4644,4.9737
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,authentic,,mp2,0.3809,2.9195,0.7128,0.7984,8.8438,0.3319
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,authentic,,vorbis,0.1386,3.0617,2.2194,2.0807,7.5888,2.7528
009-03-Ilya-Beshevli-To-solitude.flac,authentic,,vorbis,1.0197,3.5748,4.8214,2.5551,4.9622,4.2897
010-06-Jon-Hassell-These-times.flac,authentic,,vorbis,3.1237,3.9320,5.4274,0.8067,9.1053,3.9304
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,authentic,,aac,0.5602,3.0362,2.3486,3.0598,5.9017,2.9088
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,fake/mp3_320,mp3,mp3,2.9603,-0.4924,14.4218,2.4679,10.8362,2.7469
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,fake/mp3_320,mp3,mp2,0.1167,0.8345,2.1768,0.4889,10.6010,0.3723
002-03-Hraach-Let-it-go.flac,fake/mp3_320,mp3,mp2,0.0954,1.1173,2.0138,3.6402,7.8174,1.0219
003-01-Thor-Dari-lullaby.flac,fake/mp3_320,mp3,mp3,0.3957,0.1438,0.8352,1.4798,10.0769,0.5395
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,fake/mp3_320,mp3,mp2,0.3281,0.9563,0.5636,0.6616,9.2144,0.2355
005-17-Los-Seven-Del-Swing-Celoso.flac,fake/mp3_320,mp3,mp2,0.8692,1.0950,1.8321,1.7074,6.7998,0.2258
006-09-Mahmoud-Ahmed-Tezeta.flac,fake/mp3_320,mp3,mp3,3.4898,0.5973,9.9572,4.0871,8.8260,4.9270
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,fake/mp3_320,mp3,mp2,0.7270,1.1036,1.1842,1.2806,8.1951,0.3766
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,fake/mp3_320,mp3,mp3,1.0607,1.0692,2.5505,2.1299,7.4520,2.7808
009-03-Ilya-Beshevli-To-solitude.flac,fake/mp3_320,mp3,mp3,1.5997,1.0632,3.7118,2.6630,5.0003,4.2659
010-06-Jon-Hassell-These-times.flac,fake/mp3_320,mp3,mp3,1.3895,0.1181,4.5214,1.5076,9.2953,3.8890
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,fake/mp3_320,mp3,mp3,0.8073,1.0644,1.8718,3.0861,5.6027,2.9323
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,fake/aac_ff256,aac,vorbis,0.1448,3.9524,2.4680,2.3233,10.9817,2.8690
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,fake/aac_ff256,aac,aac,0.8665,3.1878,-0.3689,0.9710,10.2376,0.4976
002-03-Hraach-Let-it-go.flac,fake/aac_ff256,aac,mp2,0.1984,3.5890,1.1464,3.7218,7.8210,0.9479
003-01-Thor-Dari-lullaby.flac,fake/aac_ff256,aac,aac,0.1763,2.9919,0.3601,1.4760,10.5835,0.5363
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,fake/aac_ff256,aac,aac,0.2023,2.7564,0.0178,0.2921,9.7941,0.2201
005-17-Los-Seven-Del-Swing-Celoso.flac,fake/aac_ff256,aac,mp2,0.1782,2.3974,0.3434,1.7514,9.5445,0.1652
006-09-Mahmoud-Ahmed-Tezeta.flac,fake/aac_ff256,aac,mp3,0.1929,2.2022,2.3951,4.7102,9.0041,5.0530
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,fake/aac_ff256,aac,aac,0.0733,2.6676,0.2771,0.6930,9.4834,0.3505
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,fake/aac_ff256,aac,aac,1.5447,2.9735,0.3262,1.8709,8.1695,2.7651
009-03-Ilya-Beshevli-To-solitude.flac,fake/aac_ff256,aac,aac,0.8324,3.5749,1.7967,2.6291,5.0277,4.2381
010-06-Jon-Hassell-These-times.flac,fake/aac_ff256,aac,aac,2.5843,4.1016,1.2610,4.2494,9.2386,3.8452
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,fake/aac_ff256,aac,aac,1.7392,3.0734,1.0988,2.8380,5.7383,2.9103
