file,population,expected,attributed,min_z,margin,R_mp3,R_aac,R_vorbis,R_opus,R_mp2
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,authentic,,abstain,-1.017,0.135,4.9748,0.1782,0.9566,9.9586,0.1542
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,authentic,,abstain,-1.267,0.706,2.0893,10.7427,4.4622,7.9930,4.1986
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,authentic,,opus,-3.506,2.045,1.9459,6.5247,4.4488,2.9247,5.9771
015-08-Jos-Gonz-lez-Vissel.flac,authentic,,abstain,-0.746,1.087,3.2842,4.7649,4.3426,7.6743,3.7978
016-03-Memory-Tapes-Green-knight.flac,authentic,,abstain,-0.706,0.466,3.3146,1.0235,2.3629,10.0260,0.6832
017-13-Cafe-Del-Mar-Submariner.flac,authentic,,abstain,-0.805,0.299,3.9456,1.6081,1.3769,9.3115,0.5152
018-04-Bag-o-wire-Resovoir.flac,authentic,,abstain,-0.114,0.176,2.9469,8.5931,3.1168,11.7435,1.9922
019-04-Kohi-Jadu.flac,authentic,,abstain,-1.279,0.608,2.9729,3.1364,0.5116,9.7919,0.7431
020-06-Bola-Tigantabame.flac,authentic,,abstain,-1.382,0.580,3.7863,0.4480,0.3967,8.8265,0.5201
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,authentic,,abstain,-0.735,0.278,3.9558,0.1147,2.4852,9.6613,0.6336
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,authentic,,abstain,-1.462,0.496,1.9448,6.9338,3.0489,10.8995,0.2409
023-01-Yusef-Lateef-Buddy-and-lou.flac,authentic,,abstain,-1.184,0.237,3.6341,1.3771,0.6176,9.6032,0.2730
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,fake/mp3_320,mp3,abstain,-1.361,0.236,2.0199,0.5066,0.6837,8.6930,0.1772
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,fake/mp3_320,mp3,mp3,-3.157,2.795,0.6850,7.8671,4.5112,8.3368,4.1312
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,fake/mp3_320,mp3,abstain,-3.495,0.013,0.4429,8.2168,3.2743,2.9430,5.9824
015-08-Jos-Gonz-lez-Vissel.flac,fake/mp3_320,mp3,mp3,-3.830,3.018,0.1846,4.6073,4.7502,7.5607,3.8446
016-03-Memory-Tapes-Green-knight.flac,fake/mp3_320,mp3,mp3,-3.039,2.295,0.7721,0.6939,2.5377,9.9158,0.6182
017-13-Cafe-Del-Mar-Submariner.flac,fake/mp3_320,mp3,mp3,-2.801,1.971,0.9491,1.4590,1.1598,9.5361,0.4724
018-04-Bag-o-wire-Resovoir.flac,fake/mp3_320,mp3,mp3,-2.028,2.064,1.5243,8.0745,3.1887,11.6228,1.9484
