source,arm,ratio,offset,hypothesis,lattice,temporal,stereo
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t01.flac,genuine,1.2683,518,kbd,1.0413,0.4076,1.0000
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t01.flac,coreaudio_128,1.2346,194,kbd,1.0272,0.7075,1.0931
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t01.flac,coreaudio_256,1.2270,57,kbd,1.0296,0.4418,1.0909
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t01.flac,coreaudio_320,1.2927,427,kbd,1.0325,0.4100,1.0000
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t02.flac,genuine,1.2071,191,vorbis,1.0294,0.4340,1.1818
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t02.flac,coreaudio_128,1.6296,960,vorbis,1.0358,0.7908,3.9264
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t02.flac,coreaudio_256,1.2883,299,kbd,1.0420,0.4324,5.0156
311-2004-03-11.neworleans.DSBD.flac16__311-2004-03-11d1t02.flac,coreaudio_320,1.3012,745,kbd,1.0332,0.4389,1.1429
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,genuine,1.2892,158,kbd,1.0382,0.2172,nan
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,coreaudio_128,1.2970,110,vorbis,1.0343,0.8141,nan
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,coreaudio_256,1.3133,399,kbd,1.0337,0.2168,nan
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,coreaudio_320,1.4303,515,vorbis,1.0324,0.2199,nan
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,genuine,1.1882,174,vorbis,1.0497,0.4619,nan
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,coreaudio_128,1.3690,105,kbd,1.0427,0.6312,nan
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,coreaudio_256,1.3054,120,kbd,1.0413,0.4638,nan
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,coreaudio_320,1.3176,802,kbd,1.0376,0.4621,nan
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,genuine,1.2235,513,kbd,1.0357,0.5080,1.0000
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,coreaudio_128,1.2430,411,vorbis,1.0281,0.8038,1.9368
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,coreaudio_256,1.2558,405,vorbis,1.0446,0.5136,1.5700
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,coreaudio_320,1.4588,671,vorbis,1.0395,0.5038,1.0000
SOMS2004-11-13.flac__SOMS2004-11-13D1T03.flac,genuine,1.1905,627,kbd,1.0357,0.2573,1.0000
SOMS2004-11-13.flac__SOMS2004-11-13D1T03.flac,coreaudio_128,1.2462,897,vorbis,1.0332,0.8691,1.9344
SOMS2004-11-13.flac__SOMS2004-11-13D1T03.flac,coreaudio_256,1.3373,35,kbd,1.0338,0.2886,1.1292
SOMS2004-11-13.flac__SOMS2004-11-13D1T03.flac,coreaudio_320,1.2927,625,vorbis,1.0334,0.2504,1.0000
TenD2005-07-16.flac16__TenD2005-07-16t01announcements.flac,genuine,1.2840,598,vorbis,1.0366,0.5843,12.8920
TenD2005-07-16.flac16__TenD2005-07-16t01announcements.flac,coreaudio_128,1.3678,956,vorbis,1.0366,0.8967,14.9167
TenD2005-07-16.flac16__TenD2005-07-16t01announcements.flac,coreaudio_256,1.2364,972,vorbis,1.0365,0.5899,16.4773
TenD2005-07-16.flac16__TenD2005-07-16t01announcements.flac,coreaudio_320,1.3704,371,kbd,1.0356,0.5655,15.2500
TenD2005-07-16.flac16__TenD2005-07-16t02intro.flac,genuine,1.4691,550,vorbis,1.0283,0.3759,13.5500
TenD2005-07-16.flac16__TenD2005-07-16t02intro.flac,coreaudio_128,2.6044,960,vorbis,1.0713,0.7928,9.1114
TenD2005-07-16.flac16__TenD2005-07-16t02intro.flac,coreaudio_256,1.2422,315,kbd,1.0319,0.3628,6.5079
