arm,file,max_run,mean_run,dead_frac
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,0.00,0.000,0.00050
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,0.00,0.000,0.00022
genuine,002-03-Hraach-Let-it-go.flac,0.00,0.000,0.00012
genuine,003-01-Thor-Dari-lullaby.flac,0.00,0.000,0.00044
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,0.00,0.000,0.00032
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,0.00,0.000,0.00026
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,0.00,0.000,0.00118
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,0.00,0.000,0.00027
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,0.00,0.000,0.00017
genuine,009-03-Ilya-Beshevli-To-solitude.flac,0.00,0.000,0.00380
genuine,010-06-Jon-Hassell-These-times.flac,1.00,1.000,0.00143
genuine,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,0.00,0.000,0.00015
genuine,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,0.00,0.000,0.00026
genuine,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,0.00,0.000,0.00023
genuine,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,0.00,0.000,0.00024
genuine,015-08-Jos-Gonz-lez-Vissel.flac,0.00,0.000,0.00014
genuine,016-03-Memory-Tapes-Green-knight.flac,0.00,0.000,0.00024
genuine,017-13-Cafe-Del-Mar-Submariner.flac,0.00,0.000,0.00027
genuine,018-04-Bag-o-wire-Resovoir.flac,0.00,0.000,0.00029
genuine,019-04-Kohi-Jadu.flac,0.00,0.000,0.00029
genuine,020-06-Bola-Tigantabame.flac,0.00,0.000,0.00072
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,0.00,0.000,0.00018
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,0.00,0.000,0.00027
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,0.00,0.000,0.00028
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,0.00,0.000,0.00026
genuine,025-07-Bolalar-Lola.flac,0.00,0.000,0.00031
genuine,026-06-Oumou-Dioubat-Siyala.flac,0.00,0.000,0.00014
genuine,027-01-Dimlite-Kitty-Cradle-Fog.flac,0.00,0.000,0.00024
genuine,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,0.00,0.000,0.00287
genuine,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,0.00,0.000,0.00047
genuine,030-06-S-bastien-Tellier-Benny.flac,0.00,0.000,0.00045
genuine,031-07-Shkoon-Just-Emma-Id.flac,0.00,0.000,0.00029
genuine,032-05-2kilos-more-Cache-feu.flac,0.00,0.000,0.00028
genuine,033-01-Daylight-Rising.flac,0.00,0.000,0.00063
genuine,034-09-Snow-Ghosts-Bowline.flac,0.00,0.000,0.00010
genuine,035-16-Slow-Air-In-Dropped-D.flac,0.00,0.000,0.00044
genuine,036-08-Nicolas-Comment-Amaurose.flac,0.00,0.000,0.00028
genuine,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,0.00,0.000,0.00065
genuine,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,0.00,0.000,0.00027
genuine,039-13-Kat-Onoma-Change-blues.flac,0.00,0.000,0.00037
mp3_320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,0.00,0.000,0.00036
mp3_320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,0.00,0.000,0.00026
mp3_320,002-03-Hraach-Let-it-go.flac,0.00,0.000,0.00017
mp3_320,003-01-Thor-Dari-lullaby.flac,0.00,0.000,0.00056
mp3_320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,0.00,0.000,0.00035
mp3_320,005-17-Los-Seven-Del-Swing-Celoso.flac,0.00,0.000,0.00029
mp3_320,006-09-Mahmoud-Ahmed-Tezeta.flac,0.00,0.000,0.00118
mp3_320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,0.00,0.000,0.00020
mp3_320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,0.00,0.000,0.00029
mp3_320,009-03-Ilya-Beshevli-To-solitude.flac,0.00,0.000,0.00384
mp3_320,010-06-Jon-Hassell-These-times.flac,1.00,1.000,0.00142
