source,path_hash,verdict,score,families_json,runner_up_gap
audit,00508828f1dd9d61,AUTHENTIC,0,{},0
audit,062dd53e2c282a63,AUTHENTIC,0,{},0
audit,091ea291b4e7ab98,AUTHENTIC,0,{},0
audit,0e064a78cba5fd71,AUTHENTIC,0,{},0
audit,129baafc8011cb61,AUTHENTIC,0,{},0
audit,139d9aa76f1d9b41,AUTHENTIC,0,{},0
audit,14ab7d72ce37b504,AUTHENTIC,0,{},0
audit,1a522b75086d46ac,AUTHENTIC,0,{},0
audit,2032ebbad45feb68,AUTHENTIC,0,{},0
audit,23191580ce29f26c,AUTHENTIC,0,{},0
audit,23d7a03ecb74c802,WARNING,52,"{""spectral"": 52}",0
audit,266891b513113fdd,AUTHENTIC,0,{},0
audit,354f4aa6da6dde11,AUTHENTIC,0,{},0
audit,3a3235ff0ffcd598,AUTHENTIC,0,{},0
audit,3adad2a54f0ad061,AUTHENTIC,0,{},0
audit,3bbf76077766f965,AUTHENTIC,0,{},0
audit,421226cc385cfaf7,AUTHENTIC,0,{},0
audit,44ae8529784185d2,AUTHENTIC,0,{},0
audit,493503408306ac67,AUTHENTIC,0,{},0
audit,55bec302e66752c4,AUTHENTIC,0,{},0
audit,56dd2c18ac769875,AUTHENTIC,0,{},0
audit,5d4f1c9fe4926d2d,AUTHENTIC,0,{},0
audit,60a7534efd44bae8,AUTHENTIC,0,{},0
audit,63f778f4d1af2397,AUTHENTIC,0,{},0
audit,647d0d07bcead48f,AUTHENTIC,5,"{""spectral"": 5}",0
audit,746b828a580a4bbd,AUTHENTIC,0,{},0
audit,747c9666c3a442ec,AUTHENTIC,0,{},0
audit,770b346866984b78,AUTHENTIC,0,{},0
audit,7afceafccbf327fc,AUTHENTIC,0,{},0
audit,7be6eb0c67aa4c91,AUTHENTIC,2,"{""spectral"": 2}",0
audit,7c46c81e832f43aa,AUTHENTIC,0,{},0
audit,805bebf946f3dbcf,AUTHENTIC,0,{},0
audit,86caf44607f32b7d,AUTHENTIC,0,{},0
audit,87b3176b24b91395,AUTHENTIC,0,{},0
audit,893d3eb23bbe05cd,AUTHENTIC,0,{},0
audit,8a9c0751858be861,AUTHENTIC,0,{},0
audit,8ba2a4250610ac8f,AUTHENTIC,0,{},0
audit,8cb63a18b7aeb08c,AUTHENTIC,0,{},0
audit,8fdae00df03d441d,AUTHENTIC,0,{},0
audit,9276647a97a4754b,SUSPICIOUS,61,"{""spectral"": 61}",0
audit,941cd869e847c93b,AUTHENTIC,0,{},0
audit,984430100655907c,AUTHENTIC,0,{},0
audit,99e8f0a0d8827132,AUTHENTIC,0,{},0
audit,9b062a71204103a9,AUTHENTIC,0,{},0
audit,9d61d27e03889649,AUTHENTIC,0,{},0
audit,9da72a31c0d63cff,AUTHENTIC,18,"{""spectral"": 18}",0
audit,9e73b66332e3c73d,AUTHENTIC,0,{},0
audit,a1afad8a78c7f915,AUTHENTIC,0,{},0
audit,a499b3d008347fc4,AUTHENTIC,0,{},0
