file,made_by,attributed,min_R,R_lame3.90.3,R_lame3.92,R_lame3.96.1,R_lame3.98.4,R_lame3.100
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,genuine,lame3.100,0.8864,5.3509,12.7607,14.8794,2.0377,0.8864
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.90.3,lame3.100,2.2116,2.2587,3.4506,11.0067,2.6117,2.2116
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.92,lame3.100,2.4708,2.7758,3.9815,10.9716,2.8367,2.4708
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.96.1,lame3.100,1.0634,5.3165,13.1840,15.5045,1.8398,1.0634
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.98.4,lame3.100,-0.3884,5.4015,14.8272,12.3755,-0.3826,-0.3884
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.100,lame3.100,-0.6230,5.3947,14.1903,11.6668,0.8830,-0.6230
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,genuine,lame3.98.4,1.6726,1.9708,9.8334,13.1995,1.6726,3.1181
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.90.3,lame3.100,0.4153,0.4712,1.7330,9.1962,0.6305,0.4153
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.92,lame3.98.4,0.7303,1.5460,4.6363,11.2653,0.7303,0.8894
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.96.1,lame3.100,0.7378,2.1761,3.3132,15.0600,0.7519,0.7378
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.98.4,lame3.98.4,0.7278,2.5498,7.0577,13.3987,0.7278,2.1798
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.100,lame3.98.4,0.8164,2.3266,5.1066,12.1945,0.8164,0.8271
002-03-Hraach-Let-it-go.flac,genuine,lame3.90.3,1.5622,1.5622,11.6846,5.9620,4.9960,3.7172
002-03-Hraach-Let-it-go.flac,lame3.90.3,lame3.90.3,1.4770,1.4770,3.7933,4.9173,1.9805,1.6107
002-03-Hraach-Let-it-go.flac,lame3.92,lame3.90.3,1.5050,1.5050,7.4382,5.2932,2.2436,2.1721
002-03-Hraach-Let-it-go.flac,lame3.96.1,lame3.90.3,1.5021,1.5021,6.8442,6.5084,1.9515,1.7933
002-03-Hraach-Let-it-go.flac,lame3.98.4,lame3.98.4,0.8230,1.5967,10.1417,4.1161,0.8230,2.4362
002-03-Hraach-Let-it-go.flac,lame3.100,lame3.100,1.2136,1.3638,7.4673,3.8960,2.3546,1.2136
003-01-Thor-Dari-lullaby.flac,genuine,lame3.90.3,1.7801,1.7801,10.2794,8.8366,1.8768,2.9569
003-01-Thor-Dari-lullaby.flac,lame3.90.3,lame3.98.4,1.1440,1.7756,3.4135,6.9136,1.1440,1.3727
003-01-Thor-Dari-lullaby.flac,lame3.92,lame3.98.4,1.3294,1.8956,4.1931,6.3208,1.3294,1.7153
003-01-Thor-Dari-lullaby.flac,lame3.96.1,lame3.98.4,1.1245,1.6685,5.5796,10.0500,1.1245,1.3286
003-01-Thor-Dari-lullaby.flac,lame3.98.4,lame3.98.4,0.3482,2.0638,10.7830,8.8879,0.3482,1.7269
003-01-Thor-Dari-lullaby.flac,lame3.100,lame3.100,0.1747,2.0963,8.8901,8.4350,0.7766,0.1747
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,genuine,lame3.90.3,1.4267,1.4267,9.1132,9.8635,2.1930,2.8768
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.90.3,lame3.90.3,1.1213,1.1213,2.8726,7.4330,1.3271,1.7228
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.92,lame3.98.4,1.3317,1.4100,2.6988,8.3047,1.3317,1.9162
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.96.1,lame3.98.4,1.2487,1.8423,5.9675,10.7660,1.2487,1.6885
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.98.4,lame3.98.4,0.7273,1.7701,8.4729,10.5047,0.7273,2.2920
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.100,lame3.100,0.9777,1.6256,7.2319,9.2997,1.1295,0.9777
005-17-Los-Seven-Del-Swing-Celoso.flac,genuine,lame3.98.4,1.6321,3.9882,11.9510,12.8689,1.6321,2.5516
005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.90.3,lame3.98.4,1.3719,2.5486,3.7315,9.5159,1.3719,1.9210
005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.92,lame3.98.4,1.3089,3.4000,6.4222,9.4114,1.3089,1.9769
005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.96.1,lame3.98.4,1.2497,3.7294,7.2763,13.0269,1.2497,2.0790
005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.98.4,lame3.98.4,1.0107,4.4123,13.6331,12.9125,1.0107,2.0185
005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.100,lame3.100,1.1484,4.3275,14.0799,12.2696,1.2216,1.1484
