population,path,probe,R_phase0,R_best,best_phase,searched_phase
arms_control,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.90.3,5.44,5.26,529,
arms_control,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.92,13.48,13.48,0,
arms_control,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.93.1,22.43,22.43,0,
arms_control,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.96.1,11.03,11.03,0,
arms_control,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.97,4.83,4.79,529,
arms_control,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.98.4,0.85,0.85,0,
arms_control,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.100,-0.43,-0.43,0,
arms_control,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.90.3,2.35,2.22,47,
arms_control,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.92,4.82,4.82,0,
arms_control,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.93.1,11.93,11.93,0,
arms_control,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.96.1,11.92,11.92,0,
arms_control,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.97,0.95,0.95,0,
arms_control,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.98.4,0.90,0.90,0,
arms_control,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.100,0.81,0.81,0,
arms_control,002-03-Hraach-Let-it-go.flac,lame3.90.3,1.65,1.63,47,
arms_control,002-03-Hraach-Let-it-go.flac,lame3.92,7.60,7.60,0,
arms_control,002-03-Hraach-Let-it-go.flac,lame3.93.1,9.10,9.10,0,
arms_control,002-03-Hraach-Let-it-go.flac,lame3.96.1,3.88,3.88,0,
arms_control,002-03-Hraach-Let-it-go.flac,lame3.97,2.38,2.38,0,
arms_control,002-03-Hraach-Let-it-go.flac,lame3.98.4,2.22,2.22,0,
arms_control,002-03-Hraach-Let-it-go.flac,lame3.100,1.14,1.14,0,
arms_control,003-01-Thor-Dari-lullaby.flac,lame3.90.3,2.30,1.89,529,
arms_control,003-01-Thor-Dari-lullaby.flac,lame3.92,8.97,8.97,0,
arms_control,003-01-Thor-Dari-lullaby.flac,lame3.93.1,15.63,15.63,0,
arms_control,003-01-Thor-Dari-lullaby.flac,lame3.96.1,8.14,8.14,0,
arms_control,003-01-Thor-Dari-lullaby.flac,lame3.97,1.96,1.96,0,
arms_control,003-01-Thor-Dari-lullaby.flac,lame3.98.4,1.16,1.16,0,
arms_control,003-01-Thor-Dari-lullaby.flac,lame3.100,0.29,0.29,0,
arms_control,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.90.3,2.01,1.72,529,
arms_control,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.92,8.50,8.50,0,
arms_control,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.93.1,13.79,13.79,0,
arms_control,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.96.1,8.59,8.59,0,
arms_control,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.97,1.75,1.75,0,
arms_control,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.98.4,1.44,1.44,0,
arms_control,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.100,1.34,1.34,0,
arms_control,005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.90.3,4.68,4.30,47,
arms_control,005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.92,14.52,14.52,0,
arms_control,005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.93.1,20.53,20.53,0,
arms_control,005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.96.1,12.90,12.90,0,
arms_control,005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.97,1.78,1.78,0,
arms_control,005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.98.4,1.29,1.29,0,
arms_control,005-17-Los-Seven-Del-Swing-Celoso.flac,lame3.100,1.23,1.23,0,
arms_control,006-09-Mahmoud-Ahmed-Tezeta.flac,lame3.90.3,5.97,5.92,529,
arms_control,006-09-Mahmoud-Ahmed-Tezeta.flac,lame3.92,13.67,13.67,0,
arms_control,006-09-Mahmoud-Ahmed-Tezeta.flac,lame3.93.1,18.82,18.82,0,
arms_control,006-09-Mahmoud-Ahmed-Tezeta.flac,lame3.96.1,7.82,7.82,0,
arms_control,006-09-Mahmoud-Ahmed-Tezeta.flac,lame3.97,3.17,3.17,0,
arms_control,006-09-Mahmoud-Ahmed-Tezeta.flac,lame3.98.4,0.99,0.99,0,
arms_control,006-09-Mahmoud-Ahmed-Tezeta.flac,lame3.100,0.77,0.77,0,
arms_control,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,lame3.90.3,3.14,3.06,47,
arms_control,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,lame3.92,12.33,12.33,0,
arms_control,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,lame3.93.1,16.76,16.76,0,
arms_control,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,lame3.96.1,11.01,11.01,0,
arms_control,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,lame3.97,1.56,1.56,0,
arms_control,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,lame3.98.4,1.22,1.22,0,
arms_control,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,lame3.100,1.19,1.19,0,
genuine_bar,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.90.3,5.27,5.24,47,
genuine_bar,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.92,13.22,12.77,47,
genuine_bar,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.93.1,23.29,23.29,0,
genuine_bar,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.96.1,14.97,14.79,47,
genuine_bar,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.97,4.74,4.74,0,
genuine_bar,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.98.4,2.20,2.17,529,
genuine_bar,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,lame3.100,1.03,1.02,529,
genuine_bar,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.90.3,2.03,1.92,529,
genuine_bar,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.92,10.52,10.09,47,
genuine_bar,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.93.1,25.04,23.43,529,
genuine_bar,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.96.1,13.71,13.24,529,
genuine_bar,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.97,1.75,1.74,529,
genuine_bar,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.98.4,1.64,1.64,0,
genuine_bar,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,lame3.100,3.04,3.04,0,
genuine_bar,002-03-Hraach-Let-it-go.flac,lame3.90.3,1.65,1.63,529,
genuine_bar,002-03-Hraach-Let-it-go.flac,lame3.92,12.22,12.16,529,
genuine_bar,002-03-Hraach-Let-it-go.flac,lame3.93.1,14.52,14.21,529,
genuine_bar,002-03-Hraach-Let-it-go.flac,lame3.96.1,6.18,6.18,0,
genuine_bar,002-03-Hraach-Let-it-go.flac,lame3.97,4.55,4.55,0,
genuine_bar,002-03-Hraach-Let-it-go.flac,lame3.98.4,5.09,5.01,529,
genuine_bar,002-03-Hraach-Let-it-go.flac,lame3.100,3.66,3.66,0,
genuine_bar,003-01-Thor-Dari-lullaby.flac,lame3.90.3,1.70,1.70,0,
genuine_bar,003-01-Thor-Dari-lullaby.flac,lame3.92,10.47,10.30,47,
genuine_bar,003-01-Thor-Dari-lullaby.flac,lame3.93.1,17.55,17.55,0,
genuine_bar,003-01-Thor-Dari-lullaby.flac,lame3.96.1,9.34,8.82,529,
genuine_bar,003-01-Thor-Dari-lullaby.flac,lame3.97,3.70,3.65,529,
genuine_bar,003-01-Thor-Dari-lullaby.flac,lame3.98.4,2.50,2.42,47,
genuine_bar,003-01-Thor-Dari-lullaby.flac,lame3.100,3.30,3.15,529,
genuine_bar,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,lame3.90.3,1.72,1.65,47,
