disc,track,owner_ruling,basis,ruled,reaffirmed,byte_bound,verdict_shipped,verdict_nocnn,verdict_cnn,verdict_latticeless,flags_shipped,pool_fired
CD3 Dougal and Styles,01 Groove Control.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,01 Sunlight (Breeze & Styles remix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_93,0
CD2 Dougal,01 Won’t Forget These Days.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_90,0
CD3 Dougal and Styles,02 Discoland.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,02 Feeling Fine (Darren Styles mix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;BRICKWALL_20K;DEAD_STRUCTURE_MAXRUN_112,0
CD2 Dougal,02 Fell From the Stars.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,03 Blue Anthem.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_87,0
CD3 Dougal and Styles,03 Feel Real Free.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,03 Make the Beat Drop.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,04 Chemical Love (Hardcore mix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD3 Dougal and Styles,04 Samplemania.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,04 The Way (Put Your Hand in My Hand) (Breeze & Styles remix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;BRICKWALL_20K;DEADRUN_UNCORROBORATED_5.91,0
CD2 Dougal,05 Be Cool (Dougal & Gammer remix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_5.62;DEADRUN_UNCORROBORATED_98,0
CD3 Dougal and Styles,05 In Complete Darkness (Slipmatt remix).wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,05 Taking Me Higher.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_88,0
CD1 Darren Styles,06 Aurora.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;DEAD_STRUCTURE_MAXRUN_108,0
CD2 Dougal,06 Pretty Green Eyes (hardcore remix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;BRICKWALL_20K;DEAD_STRUCTURE_MAXRUN_118,0
CD3 Dougal and Styles,06 Take Me Away (Slipmatt remix).wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,07 Fly With You.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;DEAD_STRUCTURE_MAXRUN_103,0
CD1 Darren Styles,07 Heartbeatz (Scott Brown remix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;LOSSY_SRC_NEEDLES_VOID,0
CD3 Dougal and Styles,07 Perfect Dreams.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,08 I Would Stay (Scott Brown Hardcore mix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;BRICKWALL_20K;DEAD_STRUCTURE_MAXRUN_111,0
CD3 Dougal and Styles,08 Let the Music.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,08 One and Only.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_83,0
CD1 Darren Styles,09 Drop the Beats.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_91;HF_SEAM_0.66,0
CD3 Dougal and Styles,09 On Top (Hixxy remix).wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,09 Star Tonight.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_96,0
CD3 Dougal and Styles,10 Love of My Life.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,10 Suck My…!.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;BRICKWALL_20K;DEADRUN_UNCORROBORATED_93,0
CD2 Dougal,10 The Piano Song.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_94;HF_SEAM_0.62,0
CD3 Dougal and Styles,11 Pacific Sun.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,11 Yo DJ.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,11 You’re My Angel.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;BRICKWALL_20K;DEAD_STRUCTURE_MAXRUN_102,0
CD1 Darren Styles,12 Cokane (Back to Basics mix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;BRICKWALL_20K;DEAD_STRUCTURE_MAXRUN_106,0
CD3 Dougal and Styles,12 Devotion.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,12 Through the Darkness.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD1 Darren Styles,"13 24,7 (Breeze & Styles remix).wav",lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;BRICKWALL_20K;DEADRUN_UNCORROBORATED_94;HF_SEAM_0.71,0
CD2 Dougal,13 Angel Eyes.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;HF_SEAM_0.64,0
CD3 Dougal and Styles,13 Luv U More.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_5.09,0
CD3 Dougal and Styles,14 Six Days.wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD2 Dougal,14 Stomp.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_90,0
CD1 Darren Styles,14 The Craft.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;BRICKWALL_20K;DEAD_STRUCTURE_MAXRUN_100,0
CD1 Darren Styles,15 Free Again.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;BRICKWALL_20K;DEADRUN_UNCORROBORATED_93,0
CD2 Dougal,15 No More Joking (Sy & Unknown remix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK,0
CD3 Dougal and Styles,15 Party Time (remix).wav,lossy,eye,2026-08-13,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_5.12,0
CD1 Darren Styles,16 Dancing the Night Away (Gammer remix).wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,SUSPECT,SUSPECT,SUSPECT,SUSPECT,AI_FALLBACK;BRICKWALL_20K;DEAD_STRUCTURE_MAXRUN_104;HF_SEAM_0.60,0
CD2 Dougal,16 Eternal Darkness.wav,lossy,owner-knowledge,2026-08-03,2026-08-13,no,GENUINE,GENUINE,SUSPECT,GENUINE,AI_FALLBACK;DEADRUN_UNCORROBORATED_84,0
