file,verdict,sample_rate,evidence
fd-exchange-2026-08-0001.flac,convicted,48000,HF_SEAM_0.74;AI_SR_48000;STEREO_AAC_DOUBT_0.00;DEADRUN_UNCORROBORATED_97;DEAD_STRUCTURE_MEANRUN_10.49;MP3_CONJ_BASE_20500;MP3_CONJ_WALLLEG_W44.8_K5.67;MP3_IDEM_R3.14_20500
fd-exchange-2026-08-0002.flac,flagged,44100,STEREO_AAC_DOUBT_0.00;AAC_LATTICE_63pct
fd-exchange-2026-08-0003.flac,convicted,44100,BRICKWALL_20K;HF_SEAM_0.80;CNN_DOUBT;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_233;DEAD_STRUCTURE_MEANRUN_6.04;BAND_LIMIT_LOW_19000HZ_41DB;MS_CONDITIONAL_57;MP3_CONJ_BASE_19000;MP3_CONJ_WALLLEG_W41.0_K5.45
fd-exchange-2026-08-0004.flac,flagged,44100,LOW_ROLLOFF_4.3KHZ;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_286;DEADRUN_UNCORROBORATED_7.29;AAC_LATTICE_64pct
fd-exchange-2026-08-0005.flac,flagged,44100,LOW_ROLLOFF_3.1KHZ;STEREO_AAC_DOUBT_0.08;MS_CONDITIONAL_49;AAC_LATTICE_61pct
fd-exchange-2026-08-0006.flac,convicted,44100,HF_SEAM_0.68;CNN_DOUBT;MP3_CONJ_BASE_20500;MP3_CONJ_WALLLEG_W22.9_K12.31;STRUCTURAL_NA_MONO
fd-exchange-2026-08-0007.flac,flagged,48000,HF_SEAM_0.86;AI_SR_48000;LOW_ROLLOFF_7.6KHZ;CNN_DOUBT;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_292;DEAD_STRUCTURE_MEANRUN_9.10
fd-exchange-2026-08-0008.flac,flagged,44100,LOW_ROLLOFF_7.1KHZ;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_204;DEADRUN_UNCORROBORATED_5.76;AAC_LATTICE_65pct
fd-exchange-2026-08-0009.flac,flagged,44100,FAKE_STEREO;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_93;MS_CONDITIONAL_60;AAC_LATTICE_67pct
fd-exchange-2026-08-0010.flac,flagged,44100,LOW_ROLLOFF_6.9KHZ;STEREO_AAC_DOUBT_0.02;AAC_LATTICE_59pct
fd-exchange-2026-08-0011.flac,flagged,44100,HF_DECOUPLED_-0.03;HF_SEAM_0.69;LOW_ROLLOFF_1.9KHZ;STEREO_AAC_DOUBT_0.00
