file,verdict,engine_verdict,sample_rate,bytes,flags,evidence_error,assertion,coverage.examined_s,coverage.fraction,coverage.mode,coverage.segments,coverage.spans.len,coverage.total_s,duration,idem.R_fhgacm_320_bestphase,idem.R_fhgacm_320_full_bestphase,idem.R_mp3_128_bestphase,idem.R_mp3_128_full_bestphase,idem.R_mp3_320_bestphase,idem.R_mp3_320_full_bestphase,idem.R_mp3_320_phase0,idem.best_phase,idem.d1_best,idem.d1_phase0,idem.n_phases,rolloff_hz,score,telemetry.ai_engine,telemetry.bit_declared,telemetry.bit_effective,telemetry.brickwall,telemetry.brickwall_detail,telemetry.dead_max_run,telemetry.dead_mean_run,telemetry.dead_run_reason,telemetry.edge_two_axis,telemetry.edge_two_axis.edge,telemetry.edge_two_axis.edge_std,telemetry.edge_two_axis.fires,telemetry.edge_two_axis.flatness_db,telemetry.edge_two_axis.n,telemetry.edge_two_axis.width_hz,telemetry.fake_hires,telemetry.fake_hires_db,telemetry.frame_periodicity,telemetry.hf_cutoff,telemetry.hf_sharpness,telemetry.hf_stereo_corr,telemetry.hf_top_db,telemetry.hf_wall,telemetry.idem_move,telemetry.lsb_entropy,telemetry.mid_stereo_corr,telemetry.ms_cond,telemetry.opus_edge.edge,telemetry.opus_edge.edge_std,telemetry.opus_edge.flatness_db,telemetry.opus_edge.joint,telemetry.opus_edge.occ,telemetry.opus_edge.probe,telemetry.opus_edge.width_hz,telemetry.pool_llr,telemetry.probe_convdrop,telemetry.probe_licence_v1,telemetry.probe_licence_v2,telemetry.ratio_raw,telemetry.refmatch,telemetry.sr,telemetry.stereo,telemetry.stereo_conf,telemetry.stereo_corr,telemetry.structural_probes_available,telemetry.threshold_margins,telemetry.top_octave_dbfs,telemetry.top_octave_depth_db,telemetry.va_needles,telemetry.va_needles.brief,telemetry.va_needles.contrast,telemetry.va_needles.va,telemetry.va_needles.void,telemetry.va_needles.wall,telemetry.va_needles.width,windows_used
fd-exchange-v2-2026-08-0001.flac,flagged,SUSPECT,44100,6929988,HF_DECOUPLED_0.13;HF_SEAM_0.68;LOW_ROLLOFF_6.3KHZ;CNN_DOUBT;STEREO_AAC_DOUBT_0.00,,,60.02,1.0,spread,2/2,2,60.0,0.0,0.8672,12.4108,6.4282,10.8724,1.6895,2.1619,1.7828,180,0.5258160811667688,0.5466319602434172,576,6298.5,—,True,16,16,PASS,"No shelf (16k drop=13.1dB, 20k drop=30.9dB)",29.0,2.807,,,,,,,,,False,,0.239,22000,10.8,-0.694,-31.0,3.2,,1.0,0.86,20.406,,,,False,,ok,,,,,,10.544,,44100,PASS,0.0,0.9612,True,,-91.2,77.4,,,,NO_WALL,,,,5
fd-exchange-v2-2026-08-0002.flac,flagged,SUSPECT,44100,5033121,BRICKWALL_20K;HF_SEAM_0.99;CNN_DOUBT;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_366;DEAD_STRUCTURE_MEANRUN_5.18;BAND_LIMIT_LOW_17500HZ_67DB;MS_CONDITIONAL_78;MP3_IDEM_R1.50_17500;MP3_IDEM_FIRE_17500;LOWBAND_WALL_SHADOW_67.1,,,60.02,1.0,spread,2/2,2,60.0,0.0,0.9916,6.9173,1.9938,6.8977,3.9826,3.9316,3.9274,560,0.3117701825945136,0.33585936208398487,576,12801.5,—,True,16,16,FAKE_320K,"20kHz shelf (drop=74.7dB, whole-track)",366.0,5.177,,,,,,,,,False,,0.181,17500,0.3,0.93,-74.7,67.1,,1.0,0.991,78.461,,,,False,,ok,,,,,,4.681,,44100,PASS,0.0,0.986,True,MEANRUN_CEILING 5.18 vs 5.00 (+0.18),-115.3,94.4,,,5.1,silent,55.4,17280,75,5
fd-exchange-v2-2026-08-0003.flac,clear,GENUINE,44100,5234941,LOW_ROLLOFF_6.9KHZ,,,60.0,1.0,whole,1/1,1,60.0,0.0,1.8975,14.1734,3.5434,9.1461,2.159,8.4123,1.9881,236,0.42891094030305943,0.44708729507830275,576,6912.2,—,True,16,16,PASS,"No shelf (16k drop=9.6dB, 20k drop=17.5dB)",7.0,2.061,,,,,,,,,False,,0.35,22000,8.2,0.9,-19.0,4.7,,1.0,0.783,22.675,,,,False,,ok,,,,,,92.045,,44100,PASS,0.8719,0.8605,True,,-74.3,55.3,,,,NO_WALL,,,,5
fd-exchange-v2-2026-08-0004.flac,flagged,SUSPECT,44100,5692547,BRICKWALL_20K;HF_DECOUPLED_0.13;HF_SEAM_0.74;LOW_ROLLOFF_6.2KHZ;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_263;DEADRUN_UNCORROBORATED_7.28;BAND_LIMIT_LOW_16500HZ_40DB;LOWBAND_WALL_SHADOW_39.7,,,60.0,1.0,whole,1/1,1,60.0,0.0,0.1272,0.509,4.7896,4.8292,1.2584,1.5047,1.2584,0,0.5945702470410623,0.5945702470410623,576,6158.5,—,True,16,16,FAKE_320K,"20kHz shelf (drop=42.5dB, whole-track)",263.0,7.28,,,,,,,,,False,,0.217,16500,-0.1,0.038,-43.1,39.7,,1.0,0.038,3.265,,,,False,,ok,,,,,,3.25,,44100,PASS,0.0,0.1007,True,,-112.9,94.7,,,,DARK_REF,,16107,,5
fd-exchange-v2-2026-08-0005.flac,flagged,SUSPECT,48000,7073406,HF_SEAM_0.76;AI_SR_48000;LOW_ROLLOFF_5.7KHZ;STEREO_AAC_DOUBT_0.00,,,60.02,1.0,spread,2/2,2,60.01,0.0,1.3381,10.7437,4.3189,11.4012,2.2464,6.1043,2.3597,179,0.7444211413314775,0.7767855506854807,576,5718.8,—,True,16,16,PASS,"No shelf (16k drop=13.2dB, 20k drop=18.1dB)",80.0,4.284,,,,,,,,,False,,0.209,22000,9.2,-0.098,-23.8,25.2,,1.0,0.569,43.726,21718.0,73.2,,False,,ok,1500.0,,,,,232.48,,48000,PASS,0.0,0.9653,True,MAXRUN_CEILING 80.00 vs 80.00 (+0.00),-65.2,54.3,,,,,,,,5
fd-exchange-v2-2026-08-0006.flac,convicted,UPSCALE,48000,6187226,HF_SEAM_0.86;AI_SR_48000;CNN_DOUBT;STEREO_AAC_DOUBT_0.00;DEADRUN_UNCORROBORATED_86;MP3_CONJ_BASE_20500;MP3_CONJ_WALLLEG_W38.7_K5.28;MP3_IDEM_R3.01_20500,,,60.0,1.0,whole,1/1,1,60.0,0.0,1.8974,13.9311,5.3042,11.2477,2.6503,3.6851,2.6858,560,0.8617080618944446,0.8717555363989477,576,11507.8,—,True,16,16,PASS,"No shelf (16k drop=10.5dB, 20k drop=17.8dB)",86.0,4.987,,,,,,,,,False,,0.368,20500,53.5,-0.005,-65.6,38.7,,1.0,0.075,1.909,20373.0,45.8,7.1,False,,ok,373.0,,,,,167.256,,48000,PASS,0.0,0.8389,True,MEANRUN_CEILING 4.99 vs 5.00 (-0.01),-112.7,92.0,,,,,,,,5
fd-exchange-v2-2026-08-0007.flac,flagged,SUSPECT,44100,1749776,HF_DECOUPLED_0.02;HF_SEAM_0.72;LOW_ROLLOFF_4.5KHZ;CNN_DOUBT;STEREO_AAC_DOUBT_0.00,,,29.37,0.9999,whole,1/1,1,29.37,0.0,0.3058,1.8101,4.3772,4.7058,1.2464,1.2577,1.2464,0,0.5384622699633647,0.5384622699633647,576,4478.9,—,True,16,16,PASS,"No shelf (16k drop=10.9dB, 20k drop=39.2dB)",12.0,2.212,,,,,,,,,False,,0.449,20500,17.2,0.005,-40.1,0.8,,1.0,0.114,13.305,,,,False,,ok,,,,,,16.356,,44100,PASS,0.0,0.1149,True,,-116.9,81.8,,,,NO_WALL,,,,3
fd-exchange-v2-2026-08-0008.flac,flagged,SUSPECT,48000,5875902,BRICKWALL_20K;HF_SEAM_0.73;AI_SR_48000;LOW_ROLLOFF_5.4KHZ;CNN_DOUBT;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_222;DEAD_STRUCTURE_MEANRUN_8.89;BAND_LIMIT_LOW_18000HZ_24DB,,,60.02,1.0,spread,2/2,2,60.01,0.0,0.4636,5.1041,5.2361,6.6976,2.5535,3.3552,2.4059,523,0.6344493834418926,0.6488987272334441,576,5414.1,—,True,16,16,FAKE_320K,"20kHz shelf (drop=46.3dB, whole-track)",222.0,8.891,,,,,,,,,False,,0.206,18000,3.1,0.09,-47.0,24.4,,1.0,0.732,4.201,,,,False,,ok,,,,,,6.873,,48000,PASS,0.0,0.7023,True,,-94.6,82.4,,,,,,,,5
fd-exchange-v2-2026-08-0009.flac,flagged,SUSPECT,44100,4571222,BRICKWALL_20K;HF_SEAM_0.93;LOW_ROLLOFF_4.2KHZ;CNN_DOUBT;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_165;BAND_LIMIT_LOW_17500HZ_31DB;MP3_IDEM_R1.81_17500;MP3_IDEM_FIRE_17500;LOWBAND_WALL_SHADOW_31.0,,,60.02,1.0,spread,2/2,2,60.0,0.0,0.3891,1.0136,3.3042,3.4364,1.5845,1.5961,1.651,452,0.5608107212323237,0.5797524085902239,576,4199.0,—,True,16,16,FAKE_320K,"20kHz shelf (drop=54.9dB, whole-track)",165.0,4.908,,,,,,,,,False,,0.101,17500,1.1,0.071,-55.2,31.0,,1.0,0.089,22.944,,,,False,,ok,,,,,,1.965,,44100,PASS,0.0,0.8777,True,MEANRUN_CEILING 4.91 vs 5.00 (-0.09),-116.0,94.2,,,,MASTERING_EDGE,,17286,743,5
fd-exchange-v2-2026-08-0010.flac,flagged,SUSPECT,44100,4928741,BRICKWALL_20K;HF_SEAM_0.96;LOW_ROLLOFF_6.3KHZ;CNN_DOUBT;STEREO_AAC_DOUBT_0.00;DEAD_STRUCTURE_MAXRUN_241;DEAD_STRUCTURE_MEANRUN_6.05;BAND_LIMIT_LOW_17500HZ_52DB;MS_CONDITIONAL_60;MP3_IDEM_R2.17_17500;LOWBAND_WALL_SHADOW_52.2,,,60.02,1.0,spread,2/2,2,60.0,0.0,0.8951,8.2987,3.1469,5.7466,1.9924,2.0993,1.8422,154,0.429142105176978,0.4353294818984338,576,6341.5,—,True,16,16,FAKE_320K,"20kHz shelf (drop=67.0dB, whole-track)",241.0,6.047,,,,,,,,,False,,0.327,17500,1.3,0.63,-67.0,52.2,,1.0,0.943,59.512,,,,False,,ok,,,,,,10.445,,44100,PASS,0.0,0.8902,True,,-116.2,98.7,,,,DARK_REF,,17280,,5
