file,engine_verdict,mp3_lattice,vorbis_detector
audio/fd-exchange-v3-setA-r2-0001.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0002.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0003.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0004.flac,GENUINE,-,FIRES
audio/fd-exchange-v3-setA-r2-0005.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0006.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0007.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0008.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0009.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0010.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0011.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0012.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0013.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0014.flac,GENUINE,FIRES,-
audio/fd-exchange-v3-setA-r2-0015.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0016.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0017.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0018.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0019.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0020.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0021.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0022.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0023.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0024.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0025.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0026.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0027.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0028.flac,UPSCALE,FIRES,-
audio/fd-exchange-v3-setA-r2-0029.flac,GENUINE,-,-
audio/fd-exchange-v3-setA-r2-0030.flac,SUSPECT,FIRES,-
audio/fd-exchange-v3-setA-r2-0031.flac,SUSPECT,-,FIRES
audio/fd-exchange-v3-setA-r2-0032.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0033.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0034.flac,UPSCALE,-,-
audio/fd-exchange-v3-setA-r2-0035.flac,SUSPECT,-,-
audio/fd-exchange-v3-setA-r2-0036.flac,GENUINE,-,-
