file,verdict,score,families
fd-exchange-2026-08-0001.flac,WARNING,36,spectral
fd-exchange-2026-08-0002.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0003.flac,WARNING,36,cnn
fd-exchange-2026-08-0004.flac,AUTHENTIC,25,mdct
fd-exchange-2026-08-0005.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0006.flac,FAKE_CERTAIN,85,cnn+mdct
fd-exchange-2026-08-0007.flac,WARNING,45,cnn
fd-exchange-2026-08-0008.flac,WARNING,31,cnn
fd-exchange-2026-08-0009.flac,FAKE_CERTAIN,85,cnn+mdct
fd-exchange-2026-08-0010.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0011.flac,AUTHENTIC,0,
fd-exchange-2026-08-0012.flac,FAKE_CERTAIN,86,cnn+spectral
fd-exchange-2026-08-0013.flac,FAKE_CERTAIN,85,cnn+mdct+spectral
fd-exchange-2026-08-0014.flac,SUSPICIOUS,65,mdct
fd-exchange-2026-08-0015.flac,FAKE_CERTAIN,55,cnn+mdct
fd-exchange-2026-08-0016.flac,FAKE_CERTAIN,86,cnn+spectral
fd-exchange-2026-08-0017.flac,AUTHENTIC,0,
fd-exchange-2026-08-0018.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0019.flac,FAKE_CERTAIN,95,cnn+mdct+spectral
fd-exchange-2026-08-0020.flac,WARNING,36,cnn
fd-exchange-2026-08-0021.flac,WARNING,37,spectral
fd-exchange-2026-08-0022.flac,FAKE_CERTAIN,85,cnn+mdct
fd-exchange-2026-08-0023.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0024.flac,FAKE_CERTAIN,84,cnn+mdct
fd-exchange-2026-08-0025.flac,SUSPICIOUS,63,spectral
fd-exchange-2026-08-0026.flac,SUSPICIOUS,71,mdct
fd-exchange-2026-08-0027.flac,AUTHENTIC,0,
fd-exchange-2026-08-0028.flac,WARNING,31,cnn
fd-exchange-2026-08-0029.flac,AUTHENTIC,0,
fd-exchange-2026-08-0030.flac,AUTHENTIC,0,
fd-exchange-2026-08-0031.flac,AUTHENTIC,8,
fd-exchange-2026-08-0032.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0033.flac,FAKE_CERTAIN,55,cnn+mdct
fd-exchange-2026-08-0034.flac,FAKE_CERTAIN,85,cnn+mdct
fd-exchange-2026-08-0035.flac,SUSPICIOUS,60,spectral
fd-exchange-2026-08-0036.flac,WARNING,31,cnn
fd-exchange-2026-08-0037.flac,FAKE_CERTAIN,55,cnn+mdct
fd-exchange-2026-08-0038.flac,FAKE_CERTAIN,93,cnn+spectral
fd-exchange-2026-08-0039.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0040.flac,AUTHENTIC,26,
fd-exchange-2026-08-0041.flac,AUTHENTIC,0,
fd-exchange-2026-08-0042.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0043.flac,FAKE_CERTAIN,73,cnn+spectral
fd-exchange-2026-08-0044.flac,AUTHENTIC,0,
fd-exchange-2026-08-0045.flac,FAKE_CERTAIN,110,mdct+spectral
fd-exchange-2026-08-0046.flac,WARNING,31,cnn
fd-exchange-2026-08-0047.flac,WARNING,31,cnn
fd-exchange-2026-08-0048.flac,WARNING,45,mdct
fd-exchange-2026-08-0049.flac,AUTHENTIC,0,
fd-exchange-2026-08-0050.flac,AUTHENTIC,0,
fd-exchange-2026-08-0051.flac,WARNING,31,cnn
fd-exchange-2026-08-0052.flac,AUTHENTIC,0,
fd-exchange-2026-08-0053.flac,WARNING,36,cnn
fd-exchange-2026-08-0054.flac,AUTHENTIC,25,mdct
fd-exchange-2026-08-0055.flac,AUTHENTIC,0,
fd-exchange-2026-08-0056.flac,WARNING,31,cnn
fd-exchange-2026-08-0057.flac,WARNING,31,cnn
fd-exchange-2026-08-0058.flac,WARNING,43,cnn
fd-exchange-2026-08-0059.flac,AUTHENTIC,8,
fd-exchange-2026-08-0060.flac,FAKE_CERTAIN,85,cnn+spectral
fd-exchange-2026-08-0061.flac,WARNING,31,cnn
fd-exchange-2026-08-0062.flac,SUSPICIOUS,55,mdct
fd-exchange-2026-08-0063.flac,FAKE_CERTAIN,55,cnn+mdct
fd-exchange-2026-08-0064.flac,AUTHENTIC,13,
fd-exchange-2026-08-0065.flac,AUTHENTIC,26,mdct
fd-exchange-2026-08-0066.flac,AUTHENTIC,0,
fd-exchange-2026-08-0067.flac,FAKE_CERTAIN,85,cnn+mdct
fd-exchange-2026-08-0068.flac,WARNING,46,cnn
fd-exchange-2026-08-0069.flac,SUSPICIOUS,65,spectral
fd-exchange-2026-08-0070.flac,AUTHENTIC,0,
fd-exchange-2026-08-0071.flac,WARNING,43,cnn
fd-exchange-2026-08-0072.flac,AUTHENTIC,0,
fd-exchange-2026-08-0073.flac,AUTHENTIC,0,
fd-exchange-2026-08-0074.flac,FAKE_CERTAIN,85,cnn+mdct
