orig_idx,kind,is_transcode,src_rolloff_bucket,model_fp_orig,p_transcoded,cutoff_freq,cutoff_std,energy_ratio,real_bitrate_kbps,bit_depth,apparent_bitrate_kbps,comp_ratio
2,authentic,0,10-14k,0,0.3834,20250,117.9,6.48e-06,790.6,16,1411.0,0.5603
2,mp3_128,1,10-14k,0,0.8589,16500,117.9,2.7e-07,744.4,16,1411.0,0.5276
2,mp3_320,1,10-14k,0,0.9644,20000,0.0,6.59e-06,807.6,16,1411.0,0.5723
2,mp3_v0,1,10-14k,0,0.9575,20250,0.0,6.85e-06,787.3,16,1411.0,0.558
3,authentic,0,<4k,1,0.5339,22050.0,0.0,1e-07,626.4,16,1411.0,0.4439
3,mp3_128,1,<4k,1,0.6976,16250,117.9,0.0,624.2,16,1411.0,0.4424
3,mp3_320,1,<4k,1,0.5363,20000,117.9,6e-08,684.3,16,1411.0,0.485
3,mp3_v0,1,<4k,1,0.5333,21000,311.8,0.0,641.5,16,1411.0,0.4546
0,authentic,0,4-7k,1,0.5334,22050.0,0.0,3.3e-07,463.1,16,1411.0,0.3282
0,mp3_128,1,4-7k,1,0.5506,16000,0.0,0.0,421.8,16,1411.0,0.2989
0,mp3_320,1,4-7k,1,0.5386,20250,0.0,1.3e-07,481.5,16,1411.0,0.3413
0,mp3_v0,1,4-7k,1,0.4626,22050.0,0.0,1.4e-07,479.8,16,1411.0,0.34
1,authentic,0,4-7k,0,0.0162,22050.0,0.0,2.9e-07,480.9,16,1411.0,0.3409
1,mp3_128,1,4-7k,0,0.9035,14250,772.8,0.0,429.8,16,1411.0,0.3046
1,mp3_320,1,4-7k,0,0.8791,20250,0.0,1.9e-07,516.9,16,1411.0,0.3664
1,mp3_v0,1,4-7k,0,0.374,22050.0,0.0,1.2e-07,521.5,16,1411.0,0.3696
4,authentic,0,7-10k,1,0.9684,18500,353.6,3.7e-06,888.9,16,1411.0,0.63
4,mp3_128,1,7-10k,1,0.9765,16500,0.0,6.4e-07,842.0,16,1411.0,0.5968
4,mp3_320,1,7-10k,1,0.9754,18500,471.4,3.71e-06,886.1,16,1411.0,0.628
4,mp3_v0,1,7-10k,1,0.9765,18250,311.8,4.22e-06,879.1,16,1411.0,0.623
5,authentic,0,>=14k,0,0.0348,21250,0.0,0.00332121,838.6,16,1411.0,0.5943
5,mp3_128,1,>=14k,0,0.9801,16750,0.0,0.00026595,872.0,16,1411.0,0.618
5,mp3_320,1,>=14k,0,0.8881,20250,0.0,0.00330963,938.3,16,1411.0,0.665
5,mp3_v0,1,>=14k,0,0.4947,21250,0.0,0.00333319,939.8,16,1411.0,0.6661
6,authentic,0,4-7k,1,0.6979,22050.0,0.0,7e-08,527.4,16,1411.0,0.3738
6,mp3_128,1,4-7k,1,0.8705,22050.0,0.0,0.0,507.6,16,1411.0,0.3597
6,mp3_320,1,4-7k,1,0.7156,22050.0,0.0,5e-08,543.0,16,1411.0,0.3848
6,mp3_v0,1,4-7k,1,0.7378,22050.0,0.0,0.0,515.9,16,1411.0,0.3656
7,authentic,0,4-7k,1,0.7412,18000,513.7,1e-08,415.1,16,1411.0,0.2942
7,mp3_128,1,4-7k,1,0.6431,16000,235.7,0.0,405.9,16,1411.0,0.2876
7,mp3_320,1,4-7k,1,0.8055,18000,513.7,1e-08,407.1,16,1411.0,0.2885
7,mp3_v0,1,4-7k,1,0.8196,17000,920.4,0.0,408.6,16,1411.0,0.2896
12,authentic,0,7-10k,0,0.0712,22050.0,0.0,1.462e-05,902.0,16,1411.0,0.6393
12,mp3_128,1,7-10k,0,0.7745,16500,117.9,4.6e-07,861.3,16,1411.0,0.6104
12,mp3_320,1,7-10k,0,0.9454,20250,0.0,1.367e-05,915.2,16,1411.0,0.6486
12,mp3_v0,1,7-10k,0,0.6917,21750,141.4,1.497e-05,914.1,16,1411.0,0.6478
13,authentic,0,10-14k,0,0.1388,21250,0.0,1.05e-05,832.0,16,1411.0,0.5897
13,mp3_128,1,10-14k,0,0.9736,16500,117.9,4.7e-07,795.8,16,1411.0,0.564
13,mp3_320,1,10-14k,0,0.8639,20250,0.0,1.002e-05,848.5,16,1411.0,0.6014
13,mp3_v0,1,10-14k,0,0.607,21000,117.9,1.148e-05,832.8,16,1411.0,0.5902
8,authentic,0,10-14k,1,0.6531,22050.0,0.0,1.863e-05,1035.6,16,1411.0,0.7339
8,mp3_128,1,10-14k,1,0.8282,16000,117.9,1.37e-06,1020.4,16,1411.0,0.7232
8,mp3_320,1,10-14k,1,0.8856,20000,117.9,1.533e-05,1044.5,16,1411.0,0.7402
8,mp3_v0,1,10-14k,1,0.7649,22050.0,0.0,1.926e-05,1045.8,16,1411.0,0.7412
9,authentic,0,4-7k,0,0.403,22050.0,0.0,4.2e-07,717.2,16,1411.0,0.5083
9,mp3_128,1,4-7k,0,0.9115,16500,117.9,1e-08,619.0,16,1411.0,0.4387
9,mp3_320,1,4-7k,0,0.8756,20000,117.9,3.6e-07,723.5,16,1411.0,0.5128
9,mp3_v0,1,4-7k,0,0.7863,22050.0,0.0,3.7e-07,715.3,16,1411.0,0.5069
10,authentic,0,>=14k,0,0.0641,22050.0,0.0,0.00029367,895.5,16,1411.0,0.6347
10,mp3_128,1,>=14k,0,0.9442,16750,0.0,1.629e-05,806.1,16,1411.0,0.5713
10,mp3_320,1,>=14k,0,0.7917,20250,0.0,0.00025781,908.9,16,1411.0,0.6442
10,mp3_v0,1,>=14k,0,0.0939,22050.0,0.0,0.00031265,903.2,16,1411.0,0.6401
11,authentic,0,7-10k,0,0.1016,22050.0,0.0,4.07e-06,729.8,16,1411.0,0.5172
11,mp3_128,1,7-10k,0,0.94,16750,0.0,2.8e-07,643.7,16,1411.0,0.4562
11,mp3_320,1,7-10k,0,0.9593,20250,0.0,3.33e-06,722.2,16,1411.0,0.5119
11,mp3_v0,1,7-10k,0,0.1025,22050.0,0.0,3.46e-06,701.5,16,1411.0,0.4972
16,authentic,0,<4k,0,0.1694,22050.0,0.0,5e-08,620.1,16,1411.0,0.4395
16,mp3_128,1,<4k,0,0.6736,16250,117.9,0.0,567.2,16,1411.0,0.402
16,mp3_320,1,<4k,0,0.4539,20250,0.0,4e-08,609.4,16,1411.0,0.4319
16,mp3_v0,1,<4k,0,0.1802,21250,235.7,1e-08,587.1,16,1411.0,0.4161
17,authentic,0,4-7k,1,0.625,17250,1968.6,0.0,320.1,16,1411.0,0.2268
17,mp3_128,1,4-7k,1,0.9194,16000,2852.0,0.0,306.0,16,1411.0,0.2168
17,mp3_320,1,4-7k,1,0.6292,19750,1030.4,0.0,312.0,16,1411.0,0.2211
17,mp3_v0,1,4-7k,1,0.6432,16000,2852.0,0.0,309.8,16,1411.0,0.2196
14,authentic,0,7-10k,1,0.8583,20250,0.0,1.361e-05,904.3,16,1411.0,0.6409
14,mp3_128,1,7-10k,1,0.946,16750,0.0,1.5e-06,921.7,16,1411.0,0.6532
14,mp3_320,1,7-10k,1,0.9112,20250,0.0,1.474e-05,963.1,16,1411.0,0.6826
14,mp3_v0,1,7-10k,1,0.8398,20000,117.9,1.491e-05,952.4,16,1411.0,0.675
15,authentic,0,>=14k,1,0.9769,20000,117.9,8.183e-05,1048.0,16,1411.0,0.7427
15,mp3_128,1,>=14k,1,0.9482,16750,0.0,4.92e-06,982.8,16,1411.0,0.6966
15,mp3_320,1,>=14k,1,0.9766,20250,0.0,8.623e-05,1060.5,16,1411.0,0.7516
15,mp3_v0,1,>=14k,1,0.981,20000,117.9,9.481e-05,1053.5,16,1411.0,0.7467
20,authentic,0,7-10k,0,0.0708,20750,0.0,5.96e-06,730.4,16,1411.0,0.5177
20,mp3_128,1,7-10k,0,0.9912,16750,0.0,6.2e-07,665.0,16,1411.0,0.4713
20,mp3_320,1,7-10k,0,0.9875,20000,117.9,5.93e-06,723.7,16,1411.0,0.5129
20,mp3_v0,1,7-10k,0,0.8755,20500,117.9,6.11e-06,709.2,16,1411.0,0.5026
21,authentic,0,4-7k,1,0.9623,21750,141.4,8e-08,709.2,16,1411.0,0.5026
21,mp3_128,1,4-7k,1,0.9915,16000,235.7,0.0,719.2,16,1411.0,0.5097
21,mp3_320,1,4-7k,1,0.9876,20000,0.0,4e-08,766.8,16,1411.0,0.5434
21,mp3_v0,1,4-7k,1,0.9939,17250,1545.6,0.0,735.6,16,1411.0,0.5213
18,authentic,0,7-10k,1,0.7967,21250,377.1,3.1e-07,441.1,16,1411.0,0.3126
18,mp3_128,1,7-10k,1,0.9431,16500,0.0,1e-08,473.2,16,1411.0,0.3354
18,mp3_320,1,7-10k,1,0.8137,20000,0.0,3.1e-07,476.9,16,1411.0,0.338
18,mp3_v0,1,7-10k,1,0.8326,20250,656.2,3e-07,484.0,16,1411.0,0.343
19,authentic,0,<4k,0,0.0887,22050.0,0.0,6.8e-07,730.2,16,1411.0,0.5175
19,mp3_128,1,<4k,0,0.9784,16500,117.9,1e-08,641.1,16,1411.0,0.4544
19,mp3_320,1,<4k,0,0.9759,20250,0.0,5.8e-07,727.1,16,1411.0,0.5153
19,mp3_v0,1,<4k,0,0.9477,21500,0.0,6e-07,725.8,16,1411.0,0.5144
22,authentic,0,>=14k,0,0.1215,22050.0,0.0,0.00019909,978.8,16,1411.0,0.6937
22,mp3_128,1,>=14k,0,0.9647,16750,0.0,2.079e-05,914.8,16,1411.0,0.6483
22,mp3_320,1,>=14k,0,0.9669,20250,0.0,0.00016595,997.9,16,1411.0,0.7072
22,mp3_v0,1,>=14k,0,0.7664,22050.0,0.0,0.00021238,994.1,16,1411.0,0.7045
23,authentic,0,<4k,0,0.4912,21750,141.4,3e-08,635.7,16,1411.0,0.4505
23,mp3_128,1,<4k,0,0.6092,16500,2559.4,0.0,570.3,16,1411.0,0.4042
23,mp3_320,1,<4k,0,0.4914,20250,848.5,3e-08,640.3,16,1411.0,0.4538
23,mp3_v0,1,<4k,0,0.5114,20750,555.8,1e-08,612.7,16,1411.0,0.4342
28,authentic,0,4-7k,1,0.5075,17750,408.2,1e-08,465.9,16,1411.0,0.3302
28,mp3_128,1,4-7k,1,0.9734,16000,235.7,0.0,498.7,16,1411.0,0.3534
28,mp3_320,1,4-7k,1,0.5408,17750,235.7,1e-08,510.0,16,1411.0,0.3614
28,mp3_v0,1,4-7k,1,0.6055,17500,117.9,0.0,499.6,16,1411.0,0.3541
29,authentic,0,<4k,0,0.4781,22050.0,0.0,2e-08,497.7,16,1411.0,0.3527
29,mp3_128,1,<4k,0,0.6858,22050.0,0.0,0.0,384.6,16,1411.0,0.2726
