arm,file,seam,seam_hz,cutoff_hz
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,7.3452,4177,15299
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,8.8569,3575,19165
genuine,002-03-Hraach-Let-it-go.flac,6.5838,12177,22050
genuine,003-01-Thor-Dari-lullaby.flac,6.9060,3531,22050
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,9.0059,3994,21630
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,6.0391,5082,17550
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,23.4102,6137,22050
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,14.2785,15762,18465
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,6.0355,3618,16860
genuine,009-03-Ilya-Beshevli-To-solitude.flac,35.1101,3639,22050
genuine,010-06-Jon-Hassell-These-times.flac,20.7175,3004,22039
genuine,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,4.9289,3973,22007
genuine,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,20.2899,5879,20521
genuine,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,24.9004,3833,22028
genuine,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,8.2464,6568,10670
genuine,015-08-Jos-Gonz-lez-Vissel.flac,29.1690,3004,22050
genuine,016-03-Memory-Tapes-Green-knight.flac,5.0036,16085,22050
genuine,017-13-Cafe-Del-Mar-Submariner.flac,7.9713,3553,22050
genuine,018-04-Bag-o-wire-Resovoir.flac,6.1683,3219,21630
genuine,019-04-Kohi-Jadu.flac,15.1354,3187,20801
genuine,020-06-Bola-Tigantabame.flac,4.4024,5609,18659
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,5.5575,3768,20478
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,9.1052,3359,21264
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,6.2423,9991,20963
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,9.5310,3736,22050
genuine,025-07-Bolalar-Lola.flac,5.7857,15848,21006
genuine,026-06-Oumou-Dioubat-Siyala.flac,6.4187,11585,20435
genuine,027-01-Dimlite-Kitty-Cradle-Fog.flac,12.0181,4436,22050
genuine,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,26.6116,3984,21910
genuine,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,9.7220,8936,18346
genuine,030-06-S-bastien-Tellier-Benny.flac,6.0715,3208,22039
genuine,031-07-Shkoon-Just-Emma-Id.flac,10.9469,13652,22050
genuine,032-05-2kilos-more-Cache-feu.flac,10.6318,5071,22050
genuine,033-01-Daylight-Rising.flac,5.6753,4005,21382
genuine,034-09-Snow-Ghosts-Bowline.flac,5.0516,7946,21146
genuine,035-16-Slow-Air-In-Dropped-D.flac,5.7442,3370,21006
genuine,036-08-Nicolas-Comment-Amaurose.flac,9.3755,7160,21253
genuine,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,6.0193,5965,22050
genuine,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,5.3226,6072,22050
genuine,039-13-Kat-Onoma-Change-blues.flac,11.0011,3025,20403
opus_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,7.3084,4184,15293
opus_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,8.6196,3574,19184
opus_256,002-03-Hraach-Let-it-go.flac,6.8507,12176,20086
opus_256,003-01-Thor-Dari-lullaby.flac,6.7862,3527,20133
opus_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,9.0732,3996,20121
opus_256,005-17-Los-Seven-Del-Swing-Celoso.flac,5.6882,5074,17508
opus_256,006-09-Mahmoud-Ahmed-Tezeta.flac,20.4103,6141,19992
opus_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,13.2176,15773,18480
opus_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,5.7825,3621,16863
opus_256,009-03-Ilya-Beshevli-To-solitude.flac,25.7788,3645,20156
opus_256,010-06-Jon-Hassell-These-times.flac,18.5573,3000,19980
