file,verdict
fd-exchange-v3-setA-r2-0001,SUSPICIOUS
fd-exchange-v3-setA-r2-0002,SUSPICIOUS
fd-exchange-v3-setA-r2-0003,SUSPICIOUS
fd-exchange-v3-setA-r2-0004,AUTHENTIC
fd-exchange-v3-setA-r2-0005,SUSPICIOUS
fd-exchange-v3-setA-r2-0006,SUSPICIOUS
fd-exchange-v3-setA-r2-0007,SUSPICIOUS
fd-exchange-v3-setA-r2-0008,SUSPICIOUS
fd-exchange-v3-setA-r2-0009,SUSPICIOUS
fd-exchange-v3-setA-r2-0010,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0011,SUSPICIOUS
fd-exchange-v3-setA-r2-0012,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0013,SUSPICIOUS
fd-exchange-v3-setA-r2-0014,AUTHENTIC
fd-exchange-v3-setA-r2-0015,SUSPICIOUS
fd-exchange-v3-setA-r2-0016,SUSPICIOUS
fd-exchange-v3-setA-r2-0017,SUSPICIOUS
fd-exchange-v3-setA-r2-0018,SUSPICIOUS
fd-exchange-v3-setA-r2-0019,SUSPICIOUS
fd-exchange-v3-setA-r2-0020,SUSPICIOUS
fd-exchange-v3-setA-r2-0021,SUSPICIOUS
fd-exchange-v3-setA-r2-0022,SUSPICIOUS
fd-exchange-v3-setA-r2-0023,SUSPICIOUS
fd-exchange-v3-setA-r2-0024,AUTHENTIC
fd-exchange-v3-setA-r2-0025,SUSPICIOUS
fd-exchange-v3-setA-r2-0026,SUSPICIOUS
fd-exchange-v3-setA-r2-0027,SUSPICIOUS
fd-exchange-v3-setA-r2-0028,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0029,AUTHENTIC
fd-exchange-v3-setA-r2-0030,SUSPICIOUS
fd-exchange-v3-setA-r2-0031,SUSPICIOUS
fd-exchange-v3-setA-r2-0032,SUSPICIOUS
fd-exchange-v3-setA-r2-0033,SUSPICIOUS
fd-exchange-v3-setA-r2-0034,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0035,SUSPICIOUS
fd-exchange-v3-setA-r2-0036,AUTHENTIC
fd-exchange-v3-setA-r2-0037,SUSPICIOUS
fd-exchange-v3-setA-r2-0038,SUSPICIOUS
fd-exchange-v3-setA-r2-0039,SUSPICIOUS
fd-exchange-v3-setA-r2-0040,SUSPICIOUS
fd-exchange-v3-setA-r2-0041,SUSPICIOUS
fd-exchange-v3-setA-r2-0042,SUSPICIOUS
fd-exchange-v3-setA-r2-0043,AUTHENTIC
