arm,file,R
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,0.6480
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,4.1337
genuine,002-03-Hraach-Let-it-go.flac,4.3590
genuine,003-01-Thor-Dari-lullaby.flac,4.0998
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,4.1280
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,3.7081
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,3.9750
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,3.7252
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,4.9891
genuine,009-03-Ilya-Beshevli-To-solitude.flac,4.7751
opus_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,0.9778
opus_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,4.1691
opus_256,002-03-Hraach-Let-it-go.flac,4.1157
opus_256,003-01-Thor-Dari-lullaby.flac,3.8575
opus_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,3.9293
opus_256,005-17-Los-Seven-Del-Swing-Celoso.flac,3.2226
opus_256,006-09-Mahmoud-Ahmed-Tezeta.flac,3.3822
opus_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,3.3750
opus_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,4.9344
opus_256,009-03-Ilya-Beshevli-To-solitude.flac,6.0981
mp3_320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,1.3322
mp3_320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,4.1453
mp3_320,002-03-Hraach-Let-it-go.flac,3.9041
mp3_320,003-01-Thor-Dari-lullaby.flac,3.7028
mp3_320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,3.8000
mp3_320,005-17-Los-Seven-Del-Swing-Celoso.flac,3.6714
mp3_320,006-09-Mahmoud-Ahmed-Tezeta.flac,3.9261
mp3_320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,3.7281
mp3_320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,4.6139
mp3_320,009-03-Ilya-Beshevli-To-solitude.flac,4.7491
aac_ff256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,0.6601
aac_ff256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,4.1652
aac_ff256,002-03-Hraach-Let-it-go.flac,4.0306
aac_ff256,003-01-Thor-Dari-lullaby.flac,3.8448
aac_ff256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,4.0250
aac_ff256,005-17-Los-Seven-Del-Swing-Celoso.flac,3.5273
aac_ff256,006-09-Mahmoud-Ahmed-Tezeta.flac,3.7405
aac_ff256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,3.4161
aac_ff256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,4.6287
aac_ff256,009-03-Ilya-Beshevli-To-solitude.flac,4.4511
