file,population,verdict,score,cutoff,families,breakdown
002-03-Hraach-Let-it-go.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
005-17-Los-Seven-Del-Swing-Celoso.flac,authentic,AUTHENTIC,0,20250,,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,authentic,WARNING,52,19500,spectral|stereo|temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 50, ""Rule2Cutoff"": 2, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule7SilenceAnalysis"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule10Consistency"": 0, ""Rule12MLClassifier"": 0}"
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,authentic,AUTHENTIC,0,21000,,"{""Rule8NyquistException"": -30, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
017-13-Cafe-Del-Mar-Submariner.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
020-06-Bola-Tigantabame.flac,authentic,AUTHENTIC,0,20500,,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
023-01-Yusef-Lateef-Buddy-and-lou.flac,authentic,AUTHENTIC,0,21000,stereo,"{""Rule8NyquistException"": -30, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
026-06-Oumou-Dioubat-Siyala.flac,authentic,AUTHENTIC,0,20500,temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
032-05-2kilos-more-Cache-feu.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
035-16-Slow-Air-In-Dropped-D.flac,authentic,AUTHENTIC,0,21000,temporal,"{""Rule8NyquistException"": -30, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
041-07-Mondkopf-Summer-afternoon-on-the-carribean-se.flac,authentic,AUTHENTIC,5,19000,stereo|temporal,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 5, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
044-02-Various-Artists-Ka-mea-mea.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
047-03-Lemma-Souad-Asla-Maachouk-Nbi.flac,authentic,AUTHENTIC,0,21250,,"{""Rule8NyquistException"": -30, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
050-08-Boubacar-Traor-Pierrette.flac,authentic,AUTHENTIC,0,21500,,"{""Rule8NyquistException"": -30, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
053-03-Jupiter-Okwess-Ofakombolo.flac,authentic,AUTHENTIC,0,20500,,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
056-14-Hlamalani.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
062-03-Alpha-Blondy-Jah-glory.flac,authentic,AUTHENTIC,0,20500,,"{""Rule8NyquistException"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
065-05-Quizas-Quizas.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate.flac,authentic,AUTHENTIC,0,22050.0,,"{""Rule8NyquistException"": -50, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 0, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule13MDCTAlignment"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja.flac,authentic,AUTHENTIC,18,16250,temporal,"{""Rule8NyquistException"": 0, ""Rule11CassetteDetection"": 0, ""Rule1MP3Bitrate"": 0, ""Rule2Cutoff"": 18, ""Rule424BitSuspect"": 0, ""Rule5HighVariance"": 0, ""Rule6HighQualityProtection"": 0, ""Rule14TemporalSeam"": 0, ""Rule15StereoSeam"": 0, ""Rule12MLClassifier"": 0}"
