slug,label,codec,window,peak_ratio,best_offset
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout,0,authentic,kbd,1.2364,372
001-11-Gilbert-B-caud-Le-bain-de-minuit,0,authentic,kbd,1.2651,268
002-03-Hraach-Let-it-go,0,authentic,kbd,1.253,562
003-01-Thor-Dari-lullaby,0,authentic,kbd,1.2706,528
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye,0,authentic,kbd,1.1908,505
005-17-Los-Seven-Del-Swing-Celoso,0,authentic,kbd,1.2405,228
006-09-Mahmoud-Ahmed-Tezeta,0,authentic,kbd,1.1951,311
007-07-Wax-Tailor-Positively-inclined-featuring-main,0,authentic,kbd,1.3086,716
008-06-The-Mebusas-Mr-bull-dog-original-45-version,0,authentic,kbd,1.2683,599
009-03-Ilya-Beshevli-To-solitude,0,authentic,kbd,1.1494,627
010-06-Jon-Hassell-These-times,0,authentic,kbd,1.2169,246
011-07-Ensemble-National-des-Percussions-de-Guin-e-K,0,authentic,kbd,1.3951,359
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary,0,authentic,kbd,1.3086,144
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro,0,authentic,kbd,1.2147,926
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool,0,authentic,kbd,1.2671,406
015-08-Jos-Gonz-lez-Vissel,0,authentic,kbd,1.2317,995
016-03-Memory-Tapes-Green-knight,0,authentic,kbd,1.1264,237
017-13-Cafe-Del-Mar-Submariner,0,authentic,kbd,1.2048,992
018-04-Bag-o-wire-Resovoir,0,authentic,kbd,1.241,799
019-04-Kohi-Jadu,0,authentic,kbd,1.2899,521
020-06-Bola-Tigantabame,0,authentic,kbd,1.25,433
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc,0,authentic,kbd,1.2485,107
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas,0,authentic,kbd,1.2414,532
023-01-Yusef-Lateef-Buddy-and-lou,0,authentic,kbd,1.2994,574
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue,0,authentic,kbd,1.2184,86
025-07-Bolalar-Lola,0,authentic,kbd,1.2422,803
026-06-Oumou-Dioubat-Siyala,0,authentic,kbd,1.2184,276
027-01-Dimlite-Kitty-Cradle-Fog,0,authentic,kbd,1.3625,97
028-04-Lisu-Yue-phue-alcool-de-ma-s,0,authentic,kbd,1.1744,86
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul,0,authentic,kbd,1.3133,913
030-06-S-bastien-Tellier-Benny,0,authentic,kbd,1.2262,935
031-07-Shkoon-Just-Emma-Id,0,authentic,kbd,1.3171,716
032-05-2kilos-more-Cache-feu,0,authentic,kbd,1.2824,769
033-01-Daylight-Rising,0,authentic,kbd,1.2738,676
034-09-Snow-Ghosts-Bowline,0,authentic,kbd,1.2,842
035-16-Slow-Air-In-Dropped-D,0,authentic,kbd,1.1285,647
036-08-Nicolas-Comment-Amaurose,0,authentic,kbd,1.2738,394
