arm,file,geometry,ratio,offset
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_frame_1152,1.6957,8
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_granule_576,1.8333,29
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,aac_2048,1.5610,794
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_frame_1152,1.7083,417
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_granule_576,2.0909,17
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,aac_2048,1.5238,403
genuine,002-03-Hraach-Let-it-go.flac,mp3_frame_1152,1.6522,266
genuine,002-03-Hraach-Let-it-go.flac,mp3_granule_576,2.1818,242
genuine,002-03-Hraach-Let-it-go.flac,aac_2048,1.5000,791
genuine,003-01-Thor-Dari-lullaby.flac,mp3_frame_1152,1.7083,270
genuine,003-01-Thor-Dari-lullaby.flac,mp3_granule_576,2.0000,227
genuine,003-01-Thor-Dari-lullaby.flac,aac_2048,1.5238,225
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_frame_1152,1.6522,482
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_granule_576,2.0000,11
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,aac_2048,1.4884,479
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_frame_1152,1.7273,297
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_granule_576,2.2000,6
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,aac_2048,1.5366,687
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_frame_1152,1.6250,323
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_granule_576,2.3636,161
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,aac_2048,1.4878,173
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_frame_1152,1.6957,53
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_granule_576,1.9091,236
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,aac_2048,1.6829,445
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_frame_1152,1.8261,273
