source,arm,profile,mdct,stereo_run,cutoff
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,genuine,-,1.27710843373494,nan,22050.0
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,musepack,radio,1.2592592592592593,nan,16250.0
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,musepack,standard,1.3975903614457839,nan,17500.0
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t01.flac,musepack,insane,1.3456790123456794,nan,19000.0
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,genuine,-,1.274853801169591,nan,21750.0
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,musepack,radio,1.1999999999999997,nan,16000.0
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,musepack,standard,1.2891566265060244,nan,19500.0
Rad2006-04-21.sbd.flac__Rad2006-04-21.sbd.flac.d1t02.flac,musepack,insane,1.3333333333333335,nan,20750.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T01.flac,genuine,-,1.2229299363057329,1.0384615384615385,22050.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T01.flac,musepack,radio,1.3000000000000003,2.1385145105755043,16250.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T01.flac,musepack,standard,1.4605263157894737,2.0310096153846153,17500.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T01.flac,musepack,insane,1.1898734177215187,1.76125,18750.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,genuine,-,1.2941176470588236,1.0,22050.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,musepack,radio,1.3132530120481927,1.932768361581921,16000.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,musepack,standard,1.2413793103448278,1.8642506142506141,18250.0
SOMS2004-11-13.flac__SOMS2004-11-13D1T02.flac,musepack,insane,1.2189349112426036,1.8,19500.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,genuine,-,1.217391304347826,1.0,20750.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,musepack,radio,1.212121212121212,7.76264367816092,16000.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,musepack,standard,1.3170731707317074,8.882352941176471,18000.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t01.flac,musepack,insane,1.2638036809815951,7.533333333333333,18750.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,genuine,-,1.3250000000000002,1.0,20750.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,musepack,radio,1.2784810126582284,11.162337662337663,16000.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,musepack,standard,1.2716049382716053,9.639318885448915,18000.0
gd1975-06-17.aud.unknown.87560.flac16__gd75-06-17s1t03.flac,musepack,insane,1.2000000000000006,9.25,18750.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,genuine,-,1.2168674698795183,0.0,22050.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,musepack,radio,1.3780487804878054,5.931782945736434,15500.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,musepack,standard,1.5432098765432098,6.182488479262673,17250.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t01.flac,musepack,insane,1.280487804878049,6.234601449275362,18750.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,genuine,-,1.2891566265060237,0.0,22050.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,musepack,radio,1.2962962962962963,7.813852813852813,14500.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,musepack,standard,1.3500000000000008,7.500638569604087,16500.0
gd1977-05-08.shure57.stevenson.29303.flac16__gd1977-05-08d01t02.flac,musepack,insane,1.3170731707317078,6.660256410256411,18250.0
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,genuine,-,1.3461538461538458,1.0,22050.0
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,musepack,radio,1.2624999999999997,2.1449275362318843,16000.0
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,musepack,standard,1.2784810126582278,2.1165158371040724,18000.0
jj2008-06-14.mk4__jj2008-06-14d1t01.flac,musepack,insane,1.3456790123456792,2.050125313283208,19250.0
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,genuine,-,1.409638554216867,1.0,22050.0
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,musepack,radio,1.2592592592592597,1.8429276315789473,16000.0
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,musepack,standard,1.3043478260869565,1.877372001432152,18250.0
jj2008-06-14.mk4__jj2008-06-14d1t02.flac,musepack,insane,1.3086419753086422,1.7889676113360324,19250.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,genuine,-,1.2392638036809815,1.25,18750.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,musepack,radio,1.2804878048780493,13.080409356725145,16000.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,musepack,standard,1.2222222222222223,12.269005847953217,17250.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t01.flac,musepack,insane,1.2317073170731712,11.100840336134453,18750.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,genuine,-,1.2327044025157234,1.0,22050.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,musepack,radio,1.2839506172839505,10.0,16000.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,musepack,standard,1.446540880503145,10.206349206349206,17500.0
localh1999-06-24-fm103.flac16__localh1999-06-24d1t02.flac,musepack,insane,1.2289156626506026,9.75,18750.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,genuine,-,1.2592592592592593,0.0,22050.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,musepack,radio,1.2750000000000004,1.0625,16250.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,musepack,standard,1.2530120481927716,1.0588235294117647,18000.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,musepack,insane,1.25,1.0,19250.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,genuine,-,1.3614457831325302,1.0,22050.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,musepack,radio,1.2934131736526946,1.9518002322880372,16000.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,musepack,standard,1.261904761904762,1.9420289855072463,18000.0
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,musepack,insane,1.2380952380952384,1.8844444444444444,18750.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,genuine,-,1.2469135802469138,1.5,22050.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,musepack,radio,1.3780487804878052,20.272058823529413,16000.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,musepack,standard,1.2515337423312882,18.146428571428572,18000.0
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,musepack,insane,1.3048780487804883,13.572398190045249,19500.0
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,genuine,-,1.3664596273291927,1.1666666666666667,21500.0
