file,stratum,reference_db,edge_20db_hz,edge_40db_hz
fd-exchange-v3-setA-r2-0001,band_limited_synthetic,-84.17,14508.0,15552.4
fd-exchange-v3-setA-r2-0002,full_band,-92.02,21075.6,21517.1
fd-exchange-v3-setA-r2-0003,band_limited_synthetic,-90.19,14513.4,15907.7
fd-exchange-v3-setA-r2-0004,full_band,-89.38,21974.6,
fd-exchange-v3-setA-r2-0005,full_band,-98.49,20133.5,20348.9
fd-exchange-v3-setA-r2-0006,full_band,-95.89,,
fd-exchange-v3-setA-r2-0007,full_band,-77.42,20068.9,20413.5
fd-exchange-v3-setA-r2-0008,full_band,-84.79,16677.5,19288.4
fd-exchange-v3-setA-r2-0009,full_band,-94.95,,
fd-exchange-v3-setA-r2-0010,full_band,-95.70,20149.7,20268.1
fd-exchange-v3-setA-r2-0011,band_limited_synthetic,-90.17,14572.6,15611.6
fd-exchange-v3-setA-r2-0012,full_band,-79.43,20025.9,21479.4
fd-exchange-v3-setA-r2-0013,band_limited_synthetic,-84.97,14346.5,15681.6
fd-exchange-v3-setA-r2-0014,full_band,-89.18,22006.9,
fd-exchange-v3-setA-r2-0015,full_band,-94.00,,
fd-exchange-v3-setA-r2-0016,full_band,-93.84,20946.4,
fd-exchange-v3-setA-r2-0017,full_band,-95.22,,
fd-exchange-v3-setA-r2-0018,band_limited_synthetic,-85.69,14378.8,15837.7
fd-exchange-v3-setA-r2-0019,full_band,-93.19,,
fd-exchange-v3-setA-r2-0020,full_band,-92.76,15843.1,16171.4
fd-exchange-v3-setA-r2-0021,band_limited_synthetic,-84.74,14551.1,15579.3
fd-exchange-v3-setA-r2-0022,band_limited_synthetic,-84.17,14502.6,15541.6
fd-exchange-v3-setA-r2-0023,band_limited_synthetic,-84.62,14416.5,15094.8
fd-exchange-v3-setA-r2-0024,full_band,-77.74,,
fd-exchange-v3-setA-r2-0025,full_band,-92.62,17199.6,17425.7
fd-exchange-v3-setA-r2-0026,full_band,-95.91,,
fd-exchange-v3-setA-r2-0027,band_limited_synthetic,-87.23,14335.7,15428.5
fd-exchange-v3-setA-r2-0028,full_band,-98.04,20138.9,20295.0
fd-exchange-v3-setA-r2-0029,full_band,-95.73,,
fd-exchange-v3-setA-r2-0030,full_band,-84.76,16688.2,18626.2
fd-exchange-v3-setA-r2-0031,full_band,-96.05,,
fd-exchange-v3-setA-r2-0032,band_limited_synthetic,-84.76,14540.3,15864.6
fd-exchange-v3-setA-r2-0033,full_band,-96.82,16564.4,
fd-exchange-v3-setA-r2-0034,full_band,-96.13,20149.7,20505.0
fd-exchange-v3-setA-r2-0035,full_band,-88.98,17388.1,17479.6
fd-exchange-v3-setA-r2-0036,full_band,-97.04,21334.0,
fd-exchange-v3-setA-r2-0037,full_band,-96.10,16612.9,
fd-exchange-v3-setA-r2-0038,full_band,-97.02,,
fd-exchange-v3-setA-r2-0039,band_limited_synthetic,-83.83,14561.8,16715.1
fd-exchange-v3-setA-r2-0040,full_band,-95.73,,
fd-exchange-v3-setA-r2-0041,band_limited_synthetic,-90.19,14567.2,16020.7
fd-exchange-v3-setA-r2-0042,full_band,-77.60,20844.1,
fd-exchange-v3-setA-r2-0043,full_band,-95.88,,
fd-exchange-v3-setA-r2-0044,full_band,-95.35,,
fd-exchange-v3-setA-r2-0045,full_band,-89.42,,
fd-exchange-v3-setA-r2-0046,full_band,-92.75,20155.1,20510.4
fd-exchange-v3-setA-r2-0047,full_band,-89.08,20171.2,20268.1
fd-exchange-v3-setA-r2-0048,full_band,-97.13,,
fd-exchange-v3-setA-r2-0049,full_band,-98.53,,
fd-exchange-v3-setA-r2-0050,full_band,-92.74,22006.9,
fd-exchange-v3-setA-r2-0051,full_band,-81.62,14276.5,20828.0
fd-exchange-v3-setA-r2-0052,full_band,-92.71,20165.8,20273.5
fd-exchange-v3-setA-r2-0053,full_band,-95.30,20138.9,20262.7
fd-exchange-v3-setA-r2-0054,full_band,-89.44,,
fd-exchange-v3-setA-r2-0055,band_limited_synthetic,-87.60,14508.0,15326.3
fd-exchange-v3-setA-r2-0056,band_limited_synthetic,-87.63,14545.7,15988.4
fd-exchange-v3-setA-r2-0057,band_limited_synthetic,-84.74,14540.3,15579.3
fd-exchange-v3-setA-r2-0058,band_limited_synthetic,-87.23,14335.7,15735.4
fd-exchange-v3-setA-r2-0059,full_band,-79.30,21021.8,21883.1
fd-exchange-v3-setA-r2-0060,band_limited_synthetic,-85.54,14325.0,15428.5
fd-exchange-v3-setA-r2-0061,full_band,-91.73,21877.7,22050.0
fd-exchange-v3-setA-r2-0062,full_band,-79.27,20009.7,20219.7
fd-exchange-v3-setA-r2-0063,full_band,-96.88,,
fd-exchange-v3-setA-r2-0064,full_band,-83.97,20047.4,20182.0
fd-exchange-v3-setA-r2-0065,full_band,-81.63,14303.4,19697.5
fd-exchange-v3-setA-r2-0066,band_limited_synthetic,-87.23,14330.3,15692.3
fd-exchange-v3-setA-r2-0067,full_band,-98.53,,
fd-exchange-v3-setA-r2-0068,full_band,-98.79,,
fd-exchange-v3-setA-r2-0069,band_limited_synthetic,-85.01,14373.4,15250.9
fd-exchange-v3-setA-r2-0070,full_band,-95.32,20144.3,20483.5
fd-exchange-v3-setA-r2-0071,full_band,-96.84,20144.3,20273.5
fd-exchange-v3-setA-r2-0072,full_band,-83.93,17942.5,18093.3
fd-exchange-v3-setA-r2-0073,band_limited_synthetic,-85.50,14249.6,14658.7
fd-exchange-v3-setA-r2-0074,band_limited_synthetic,-93.98,14486.5,15735.4
fd-exchange-v3-setA-r2-0075,full_band,-89.07,17226.6,17425.7
fd-exchange-v3-setA-r2-0076,full_band,-94.49,22050.0,
fd-exchange-v3-setA-r2-0077,full_band,-81.40,14287.3,18324.8
fd-exchange-v3-setA-r2-0078,full_band,-96.14,,
