file,corpus,label,score,verdict,cutoff_hz,cutoff_std_hz,cassette_reasons,rule11,rule1,evidence_families
fd-exchange-v2-2026-08-0004.flac,fd-exchange-v2,,18,AUTHENTIC,16250.0,nan,"R11B: Natural cassette roll-off (-5.7 dB/kHz) (likely cassette) | R2: Cutoff 16250 Hz < 20000 Hz (+19pts) | R14: high-frequency variation collapses at 16021 Hz (0.72) — independent witness, no points | R15: the stereo side channel dies in runs of 11 bins above 10 kHz — independent witness, no points",0,0,stereo+temporal
fd-exchange-v2-2026-08-0008.flac,fd-exchange-v2,,125,FAKE_CERTAIN,18000.0,nan,"R11B: Natural cassette roll-off (-5.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18000 Hz < 22000 Hz (+20pts) | R13: MDCT quantisation grid detected (kbd window) — hole density 21.8x higher at frame alignment 0 than at any other (+55pts) | R14: high-frequency variation collapses at 17273 Hz (0.70) — independent witness, no points | R15: the stereo side channel dies in runs of 32 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo+temporal
fd-exchange-v2-2026-08-0009.flac,fd-exchange-v2,,63,FAKE_CERTAIN,17250.0,nan,"R11B: Natural cassette roll-off (-5.8 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 192 kbps | R2: Cutoff 17250 Hz < 20000 Hz (+14pts) | R14: high-frequency variation collapses at 17259 Hz (0.90) — independent witness, no points | R15: the stereo side channel dies in runs of 4 bins above 10 kHz — independent witness, no points",0,50,spectral+stereo+temporal
fd-exchange-v2-2026-08-0016.flac,fd-exchange-v2,,111,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-4.4 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R13: MDCT quantisation grid detected (vorbis window) — hole density 5.0x higher at frame alignment 320 than at any other (+55pts) | R15: the stereo side channel dies in runs of 9 bins above 10 kHz — independent witness, no points",0,50,mdct+spectral+stereo
fd-exchange-v2-2026-08-0021.flac,fd-exchange-v2,,31,WARNING,20250.0,nan,,,0,cnn+temporal
fd-exchange-v2-2026-08-0025.flac,fd-exchange-v2,,88,FAKE_CERTAIN,18250.0,nan,"R11B: Natural cassette roll-off (-4.7 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 224 kbps | R2: Cutoff 18250 Hz < 20000 Hz (+9pts) | R14: high-frequency variation collapses at 18745 Hz (0.76) — independent witness, no points | R15: the stereo side channel dies in runs of 13 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.96], 3 windows, confidence=very high, +30pts)",0,50,cnn+spectral+stereo+temporal
fd-exchange-v2-2026-08-0026.flac,fd-exchange-v2,,111,FAKE_CERTAIN,18750.0,nan,"R11B: Natural cassette roll-off (-4.2 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R13: possible MDCT alignment structure (2.7x at offset 0, kbd window) (+25pts) | R14: high-frequency variation collapses at 20823 Hz (0.80) — independent witness, no points | R15: the stereo side channel dies in runs of 6 bins above 10 kHz — independent witness, no points | R12: CNN classifier flags transcode (p=0.99 [raw 0.96], 3 windows, confidence=very high, +30pts)",0,50,cnn+mdct+spectral+stereo+temporal
fd-exchange-v2-2026-08-0034.flac,fd-exchange-v2,,11,AUTHENTIC,17750.0,nan,"R11B: Natural cassette roll-off (-5.8 dB/kHz) (likely cassette) | R2: Cutoff 17750 Hz < 20000 Hz (+11pts) | R15: the stereo side channel dies in runs of 18 bins above 10 kHz — independent witness, no points",0,0,stereo
fd-exchange-v2-2026-08-0040.flac,fd-exchange-v2,,57,FAKE_CERTAIN,18500.0,nan,"R11B: Natural cassette roll-off (-5.3 dB/kHz) (likely cassette) | Constant MP3 bitrate detected (Spectral): 256 kbps | R2: Cutoff 18500 Hz < 20000 Hz (+8pts) | R14: high-frequency variation collapses at 18637 Hz (0.72) — independent witness, no points | R15: the stereo side channel dies in runs of 8 bins above 10 kHz — independent witness, no points",0,50,spectral+stereo+temporal
fd-exchange-v2-2026-08-0046.flac,fd-exchange-v2,,36,WARNING,18750.0,nan,"R11B: Natural cassette roll-off (-3.1 dB/kHz) (likely cassette) | R2: Cutoff 18750 Hz < 20000 Hz (+6pts) | R14: high-frequency variation collapses at 18626 Hz (0.63) — independent witness, no points | R12: CNN classifier flags transcode (p=0.96 [raw 0.94], 3 windows, confidence=very high, +30pts)",0,0,cnn+temporal
