file,population,verdict,score,evidence_families,stereo_witness
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_320,AUTHENTIC,0,temporal,0
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
002-03-Hraach-Let-it-go.flac,mp3_320,FAKE_CERTAIN,77,cnn+spectral+stereo,1
003-01-Thor-Dari-lullaby.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_320,FAKE_CERTAIN,81,cnn+spectral+stereo,1
006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_320,AUTHENTIC,0,temporal,0
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_320,WARNING,31,cnn+stereo,1
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_320,WARNING,53,cnn+spectral+stereo+temporal,1
009-03-Ilya-Beshevli-To-solitude.flac,mp3_320,AUTHENTIC,0,stereo+temporal,1
010-06-Jon-Hassell-These-times.flac,mp3_320,AUTHENTIC,0,temporal,0
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_320,WARNING,31,cnn+stereo+temporal,1
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_320,FAKE_CERTAIN,81,cnn+spectral+stereo,1
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_320,AUTHENTIC,0,stereo+temporal,1
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_320,AUTHENTIC,0,temporal,0
015-08-Jos-Gonz-lez-Vissel.flac,mp3_320,AUTHENTIC,0,stereo+temporal,1
016-03-Memory-Tapes-Green-knight.flac,mp3_320,WARNING,31,cnn+stereo,1
017-13-Cafe-Del-Mar-Submariner.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
018-04-Bag-o-wire-Resovoir.flac,mp3_320,AUTHENTIC,10,temporal,0
019-04-Kohi-Jadu.flac,mp3_320,AUTHENTIC,19,stereo+temporal,1
020-06-Bola-Tigantabame.flac,mp3_320,WARNING,50,cnn+spectral+stereo+temporal,1
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_320,FAKE_CERTAIN,81,cnn+spectral+stereo,1
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_320,WARNING,31,cnn+stereo+temporal,1
023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_320,AUTHENTIC,23,cnn+stereo+temporal,1
025-07-Bolalar-Lola.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo,1
026-06-Oumou-Dioubat-Siyala.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
027-01-Dimlite-Kitty-Cradle-Fog.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo,1
028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,mp3_320,AUTHENTIC,0,,0
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,mp3_320,AUTHENTIC,8,stereo+temporal,1
030-06-S-bastien-Tellier-Benny.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
031-07-Shkoon-Just-Emma-Id.flac,mp3_320,AUTHENTIC,0,stereo+temporal,1
032-05-2kilos-more-Cache-feu.flac,mp3_320,WARNING,31,cnn+stereo+temporal,1
033-01-Daylight-Rising.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
034-09-Snow-Ghosts-Bowline.flac,mp3_320,AUTHENTIC,30,spectral+stereo,1
035-16-Slow-Air-In-Dropped-D.flac,mp3_320,AUTHENTIC,0,stereo+temporal,1
036-08-Nicolas-Comment-Amaurose.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,mp3_320,WARNING,31,cnn,0
039-13-Kat-Onoma-Change-blues.flac,mp3_320,FAKE_CERTAIN,80,cnn+spectral+stereo+temporal,1
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,aac_ff256,SUSPICIOUS,55,mdct,0
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,aac_ff256,FAKE_CERTAIN,55,mdct+stereo,1
002-03-Hraach-Let-it-go.flac,aac_ff256,FAKE_CERTAIN,55,mdct+stereo,1
003-01-Thor-Dari-lullaby.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
005-17-Los-Seven-Del-Swing-Celoso.flac,aac_ff256,SUSPICIOUS,66,mdct,0
006-09-Mahmoud-Ahmed-Tezeta.flac,aac_ff256,SUSPICIOUS,55,mdct,0
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,aac_ff256,FAKE_CERTAIN,76,cnn+mdct,0
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,aac_ff256,FAKE_CERTAIN,107,mdct+spectral+stereo+temporal,1
009-03-Ilya-Beshevli-To-solitude.flac,aac_ff256,SUSPICIOUS,55,mdct,0
010-06-Jon-Hassell-These-times.flac,aac_ff256,SUSPICIOUS,55,mdct,0
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,aac_ff256,SUSPICIOUS,55,mdct,0
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,aac_ff256,FAKE_CERTAIN,55,mdct+stereo,1
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,aac_ff256,SUSPICIOUS,55,mdct,0
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,aac_ff256,SUSPICIOUS,55,mdct,0
015-08-Jos-Gonz-lez-Vissel.flac,aac_ff256,SUSPICIOUS,55,mdct,0
016-03-Memory-Tapes-Green-knight.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
017-13-Cafe-Del-Mar-Submariner.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
018-04-Bag-o-wire-Resovoir.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
019-04-Kohi-Jadu.flac,aac_ff256,FAKE_CERTAIN,83,cnn+mdct+temporal,0
020-06-Bola-Tigantabame.flac,aac_ff256,FAKE_CERTAIN,79,cnn+mdct,0
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,aac_ff256,FAKE_CERTAIN,55,mdct+stereo,1
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,aac_ff256,FAKE_CERTAIN,64,mdct+stereo,1
023-01-Yusef-Lateef-Buddy-and-lou.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,aac_ff256,SUSPICIOUS,55,mdct,0
025-07-Bolalar-Lola.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
026-06-Oumou-Dioubat-Siyala.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+temporal,0
027-01-Dimlite-Kitty-Cradle-Fog.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,aac_ff256,SUSPICIOUS,55,mdct,0
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,aac_ff256,SUSPICIOUS,55,mdct,0
030-06-S-bastien-Tellier-Benny.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
031-07-Shkoon-Just-Emma-Id.flac,aac_ff256,FAKE_CERTAIN,55,mdct+stereo,1
032-05-2kilos-more-Cache-feu.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
033-01-Daylight-Rising.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
034-09-Snow-Ghosts-Bowline.flac,aac_ff256,SUSPICIOUS,55,mdct,0
035-16-Slow-Air-In-Dropped-D.flac,aac_ff256,SUSPICIOUS,55,mdct,0
036-08-Nicolas-Comment-Amaurose.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct,0
039-13-Kat-Onoma-Change-blues.flac,aac_ff256,FAKE_CERTAIN,85,cnn+mdct+stereo,1
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,opus_256,AUTHENTIC,8,,0
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,opus_256,AUTHENTIC,10,stereo,1
002-03-Hraach-Let-it-go.flac,opus_256,AUTHENTIC,28,spectral+stereo,1
003-01-Thor-Dari-lullaby.flac,opus_256,FAKE_CERTAIN,88,cnn+spectral+stereo,1
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,opus_256,FAKE_CERTAIN,88,cnn+spectral+stereo,1
005-17-Los-Seven-Del-Swing-Celoso.flac,opus_256,AUTHENTIC,10,stereo,1
006-09-Mahmoud-Ahmed-Tezeta.flac,opus_256,AUTHENTIC,7,,0
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,opus_256,AUTHENTIC,27,stereo,1
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,opus_256,FAKE_CERTAIN,62,spectral+stereo+temporal,1
009-03-Ilya-Beshevli-To-solitude.flac,opus_256,AUTHENTIC,0,stereo+temporal,1
010-06-Jon-Hassell-These-times.flac,opus_256,AUTHENTIC,8,temporal,0
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,opus_256,WARNING,38,cnn+stereo+temporal,1
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,opus_256,AUTHENTIC,10,stereo,1
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,opus_256,AUTHENTIC,7,stereo+temporal,1
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,opus_256,AUTHENTIC,0,temporal,0
015-08-Jos-Gonz-lez-Vissel.flac,opus_256,AUTHENTIC,8,stereo+temporal,1
016-03-Memory-Tapes-Green-knight.flac,opus_256,FAKE_CERTAIN,58,cnn+spectral+stereo,1
017-13-Cafe-Del-Mar-Submariner.flac,opus_256,FAKE_CERTAIN,71,spectral+stereo,1
018-04-Bag-o-wire-Resovoir.flac,opus_256,WARNING,38,cnn,0
019-04-Kohi-Jadu.flac,opus_256,FAKE_CERTAIN,58,spectral+stereo+temporal,1
