population,track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
genuine_audit,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,44100,22050.0,6.278e-08,0.0,nan,443
genuine_audit,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,44100,21250.0,3.257e-06,0.0,nan,1022
genuine_audit,002-03-Hraach-Let-it-go.flac,44100,22050.0,2.609e-04,0.0,nan,736
genuine_audit,003-01-Thor-Dari-lullaby.flac,44100,22050.0,7.528e-05,0.0,nan,882
genuine_audit,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,44100,22050.0,3.300e-04,0.0,nan,964
genuine_audit,005-17-Los-Seven-Del-Swing-Celoso.flac,44100,20250.0,3.311e-07,0.0,-36.3,864
genuine_audit,006-09-Mahmoud-Ahmed-Tezeta.flac,44100,22050.0,1.444e-07,0.0,nan,522
genuine_audit,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,44100,22050.0,1.739e-06,0.0,nan,912
genuine_audit,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,44100,19500.0,2.173e-07,0.0,-56.7,846
genuine_audit,009-03-Ilya-Beshevli-To-solitude.flac,44100,22050.0,3.657e-07,0.0,nan,593
genuine_audit,010-06-Jon-Hassell-These-times.flac,44100,22050.0,8.014e-07,0.0,nan,668
genuine_audit,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,44100,21000.0,1.519e-04,0.0,nan,519
genuine_audit,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,44100,20500.0,6.616e-06,0.0,-44.7,909
genuine_audit,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,44100,22050.0,3.226e-06,0.0,nan,557
genuine_audit,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,44100,22050.0,4.571e-08,0.0,nan,414
genuine_audit,015-08-Jos-Gonz-lez-Vissel.flac,44100,22050.0,4.493e-07,0.0,nan,636
genuine_audit,016-03-Memory-Tapes-Green-knight.flac,44100,22050.0,1.036e-04,0.0,nan,896
genuine_audit,017-13-Cafe-Del-Mar-Submariner.flac,44100,22050.0,1.099e-04,0.0,nan,907
genuine_audit,018-04-Bag-o-wire-Resovoir.flac,44100,21750.0,1.769e-05,0.0,nan,502
genuine_audit,019-04-Kohi-Jadu.flac,44100,22050.0,8.186e-07,0.0,nan,799
genuine_audit,020-06-Bola-Tigantabame.flac,44100,20500.0,2.912e-05,0.0,-38.0,962
genuine_audit,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,44100,20500.0,2.350e-06,0.0,-66.0,945
genuine_audit,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,44100,21750.0,7.243e-07,0.0,nan,764
genuine_audit,023-01-Yusef-Lateef-Buddy-and-lou.flac,44100,21000.0,1.582e-05,0.0,nan,861
genuine_audit,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,44100,22050.0,3.681e-05,0.0,nan,660
genuine_audit,025-07-Bolalar-Lola.flac,44100,21500.0,1.451e-05,0.0,nan,976
genuine_audit,026-06-Oumou-Dioubat-Siyala.flac,44100,20500.0,1.875e-04,0.0,-41.9,903
genuine_audit,027-01-Dimlite-Kitty-Cradle-Fog.flac,44100,22050.0,2.627e-05,0.0,nan,957
genuine_audit,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,44100,22050.0,1.070e-07,0.0,nan,442
genuine_audit,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,44100,22050.0,1.601e-06,0.0,nan,804
genuine_audit,030-06-S-bastien-Tellier-Benny.flac,44100,22050.0,6.061e-05,0.0,nan,963
genuine_audit,031-07-Shkoon-Just-Emma-Id.flac,44100,22050.0,1.474e-08,0.0,nan,545
genuine_audit,032-05-2kilos-more-Cache-feu.flac,44100,22050.0,5.188e-06,0.0,nan,865
genuine_audit,033-01-Daylight-Rising.flac,44100,21500.0,7.490e-06,0.0,nan,863
genuine_audit,034-09-Snow-Ghosts-Bowline.flac,44100,22050.0,1.975e-06,0.0,nan,791
genuine_audit,035-16-Slow-Air-In-Dropped-D.flac,44100,21000.0,9.869e-07,0.0,nan,529
genuine_audit,036-08-Nicolas-Comment-Amaurose.flac,44100,21250.0,2.236e-05,0.0,nan,874
genuine_audit,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,44100,22050.0,5.570e-04,0.0,nan,774
genuine_audit,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,44100,22050.0,1.516e-05,0.0,nan,1046
genuine_audit,039-13-Kat-Onoma-Change-blues.flac,44100,21000.0,1.901e-06,0.0,nan,890
genuine_audit,040-11-Xploding-Plastix-Far-flung-tonic.flac,44100,21250.0,1.120e-04,0.0,nan,1048
genuine_audit,041-07-Mondkopf-Summer-afternoon-on-the-carribean-se.flac,44100,19000.0,6.494e-04,0.0,-54.0,875
genuine_audit,042-04-Keletigui-et-ses-Tambourinis-Nadia.flac,44100,22050.0,4.954e-06,0.0,nan,473
genuine_audit,043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr.flac,44100,22050.0,9.878e-06,0.0,nan,955
genuine_audit,044-02-Various-Artists-Ka-mea-mea.flac,44100,22050.0,2.305e-07,0.0,nan,681
