track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
08 - Hermanos Gutiérrez -  Barrio hustle.flac,44100,21750.0,4.516e-07,0.0,nan,739
03 - Mama Sissoko -  Safiaton.flac,44100,22050.0,1.941e-04,0.0,nan,808
02 - Foussa Foussa.flac,48000,24000.0,2.271e-07,0.0,nan,871
10 - Arthur Russell -  That's uswild combination.flac,44100,19500.0,1.201e-06,311.8,-41.4,814
03 - R.Wan -  Maudit sort.flac,44100,22050.0,4.126e-05,0.0,nan,946
10- Machengoidi.flac,44100,22050.0,7.670e-06,0.0,nan,807
11 - Estrellas De Areito -  Que traigan el guanguanco.flac,44100,20250.0,6.282e-06,117.9,-37.4,964
17 - The Mountain Ramblers -  Cotton eyed joe.flac,44100,22050.0,4.750e-06,0.0,nan,828
00 - Marcos Valle -  11 - Ele E Ela.flac,44100,21750.0,3.887e-06,0.0,nan,793
Inspiration information vol. 1 - 01 - The Heliocentrics - Masengo.flac,44100,21000.0,8.682e-05,428.8,nan,825
06 - Chauncey M. Depew -  Speech on forefather's day.flac,44100,18750.0,1.013e-04,0.0,-35.1,596
09 - Port-Royal -  Hermitage pt. 1.flac,44100,22050.0,2.745e-07,0.0,nan,862
02 - Buckets of Rain.flac,44100,21500.0,9.794e-07,117.9,nan,668
05 - DJ Katapila -  Lalokat.flac,44100,16250.0,4.802e-08,0.0,nan,629
11 - Lyves -  Darkest hour.flac,44100,21500.0,6.080e-06,259.3,nan,763
04 - Hedzoleh Soundz -  Kaa ye oyai (don't be in a hurry).flac,44100,20750.0,2.860e-06,117.9,nan,935
13 - Johnson Family Singers -  Deliverance will come.flac,44100,22050.0,5.169e-07,0.0,nan,487
01 - Syli Authentic -  Andrée.flac,44100,22050.0,9.190e-08,0.0,nan,830
03 - Various Artists -  Boheoja.flac,44100,22050.0,2.347e-06,0.0,nan,908
01 - Ballaké Sissoko & Vincent Segal -  Chamber music.flac,44100,21500.0,3.607e-05,0.0,nan,719
16 - Robert le Magnifique -  Entrée  sortie.flac,44100,22050.0,7.291e-06,0.0,nan,616
08 - Apparat -  Repeat till overload.flac,44100,21250.0,4.095e-05,117.9,nan,949
11 - William Sheller -  Chanson lente.flac,44100,21000.0,1.020e-06,117.9,nan,593
04 - Moondog -  Marimba mondo 1 - the rain forest.flac,44100,22050.0,2.227e-07,0.0,nan,655
14 - Nouvelle Vague -  Sorry for Laughing [Bonus Track].flac,44100,21250.0,6.294e-06,235.7,nan,821
06 - Ste -  Née gangsta.flac,44100,21750.0,1.245e-04,141.4,nan,992
16 - Lakasha -  Sunny day.flac,44100,17250.0,9.863e-06,0.0,nan,801
21 - Unknown Artist -  Offering to the hungry ghosts.flac,44100,22050.0,1.399e-06,0.0,nan,754
03 - Mondkopf -  Électrées.flac,44100,22050.0,1.570e-04,0.0,nan,790
15 - Andy Williams -  Under paris skies.flac,44100,21750.0,1.718e-06,0.0,nan,629
14 - Popof -  People feel the music.flac,44100,21250.0,6.925e-06,0.0,nan,933
09 - Nikolaj Grandjean  -  Heroes and saints.flac,44100,20250.0,9.412e-05,471.4,-25.9,853
11 - Driss el Maloumi -  Ayour.flac,44100,22050.0,2.962e-06,0.0,nan,770
03 - La Grande Sophie -  Alors .flac,44100,21750.0,1.728e-05,141.4,nan,746
12 - Blind Willie McTell -  I got to cross the river of jordan.flac,44100,22050.0,3.384e-08,0.0,nan,437
10- Elube Chango.flac,44100,22050.0,1.114e-05,0.0,nan,886
12. Sekret.flac,44100,22050.0,2.494e-05,0.0,nan,766
07 - Michel Legrand -  Portnoy's complaint - a night in new york.flac,44100,21250.0,3.702e-05,0.0,nan,989
12 - Gianmaria Testa -  Manacore.flac,44100,21250.0,1.850e-06,377.1,nan,788
06 - Skúli Sverrisson -  Divena.flac,44100,22050.0,6.799e-07,0.0,nan,674
