file,population,offset_samples,offset_s,window_s,verdict,score,cutoff_hz,families,slice_exact
TR320_01___Eve.flac,positive,0,0.0,60.0,WARNING,50,20250,spectral|temporal,yes
TR320_01___Eve.flac,positive,661500,15.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_01___Eve.flac,positive,1323000,30.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_01___Eve.flac,positive,1984500,45.0,60.0,AUTHENTIC,30,20250,spectral|stereo|temporal,yes
TR320_01___Eve.flac,positive,2646000,60.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_01___Eve.flac,positive,3307500,75.0,60.0,WARNING,50,20000,spectral|stereo|temporal,yes
TR320_01___Eve.flac,positive,3969000,90.0,60.0,WARNING,50,20000,spectral|stereo|temporal,yes
TR320_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,0,0.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|temporal,yes
TR320_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,661500,15.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|temporal,yes
TR320_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,1323000,30.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|temporal,yes
TR320_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,1984500,45.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|stereo|temporal,yes
TR320_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,2646000,60.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|stereo|temporal,yes
TR320_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,3307500,75.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|temporal,yes
TR320_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,3969000,90.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|temporal,yes
TR320_03___First_Snow.flac,positive,0,0.0,60.0,WARNING,50,20250,spectral|temporal,yes
TR320_03___First_Snow.flac,positive,661500,15.0,60.0,WARNING,50,20250,spectral|temporal,yes
TR320_03___First_Snow.flac,positive,1323000,30.0,60.0,WARNING,50,20250,spectral|temporal,yes
TR320_03___First_Snow.flac,positive,1984500,45.0,60.0,WARNING,50,20250,spectral|temporal,yes
TR320_03___First_Snow.flac,positive,2646000,60.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_03___First_Snow.flac,positive,3307500,75.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_03___First_Snow.flac,positive,3969000,90.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_04___Wolf_Drawn.flac,positive,0,0.0,60.0,WARNING,50,20250,spectral|temporal,yes
TR320_04___Wolf_Drawn.flac,positive,661500,15.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_04___Wolf_Drawn.flac,positive,1323000,30.0,60.0,WARNING,50,20250,spectral|stereo|temporal,yes
TR320_04___Wolf_Drawn.flac,positive,1984500,45.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|stereo|temporal,yes
TR320_04___Wolf_Drawn.flac,positive,2646000,60.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|stereo|temporal,yes
TR320_04___Wolf_Drawn.flac,positive,3307500,75.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|stereo|temporal,yes
TR320_04___Wolf_Drawn.flac,positive,3969000,90.0,60.0,FAKE_CERTAIN,80,20250,cnn|spectral|temporal,yes
TRVORB_01___Eve.flac,positive,0,0.0,60.0,FAKE_CERTAIN,55,21250,mdct|stereo|temporal,yes
TRVORB_01___Eve.flac,positive,661500,15.0,60.0,FAKE_CERTAIN,55,22050.0,mdct|stereo|temporal,yes
TRVORB_01___Eve.flac,positive,1323000,30.0,60.0,FAKE_CERTAIN,55,22050.0,mdct|stereo|temporal,yes
TRVORB_01___Eve.flac,positive,1984500,45.0,60.0,FAKE_CERTAIN,55,22050.0,mdct|stereo,yes
TRVORB_01___Eve.flac,positive,2646000,60.0,60.0,FAKE_CERTAIN,55,22050.0,mdct|stereo,yes
TRVORB_01___Eve.flac,positive,3307500,75.0,60.0,FAKE_CERTAIN,55,22050.0,mdct|stereo,yes
TRVORB_01___Eve.flac,positive,3969000,90.0,60.0,FAKE_CERTAIN,55,21500,mdct|stereo,yes
TRVORB_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,0,0.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,661500,15.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,1323000,30.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,1984500,45.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,2646000,60.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,3307500,75.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_02___Soon_It_Will_Be_Cold_Enough_To_Build_Fires.flac,positive,3969000,90.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_03___First_Snow.flac,positive,0,0.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
TRVORB_03___First_Snow.flac,positive,661500,15.0,60.0,SUSPICIOUS,55,22050.0,mdct,yes
