file,population,verdict_15s,verdict_30s,verdict_60s,score_15s,score_30s,score_60s,moved
01 - Eve.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
02 - Soon It Will Be Cold Enough To Build Fires.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
03 - First Snow.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
04 - Wolf Drawn.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
05 - Anthem.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
06 - Smoke Signals.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
07 - When I Go.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
08 - Periscope Up.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
09 - With Rainy Eyes.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
10 - Good Knight.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
11 - Lionheart.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
12 - Maps.flac,fd-pistes-completes,AUTHENTIC,AUTHENTIC,AUTHENTIC,0,0,0,no
