population,track,stereo_run,seam
clean,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,nan,0.393
clean,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,0.00,0.296
clean,002-03-Hraach-Let-it-go.flac,1.50,0.387
clean,003-01-Thor-Dari-lullaby.flac,0.00,0.453
clean,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,0.00,0.425
clean,005-17-Los-Seven-Del-Swing-Celoso.flac,1.00,0.268
clean,006-09-Mahmoud-Ahmed-Tezeta.flac,nan,0.132
clean,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,1.00,0.421
clean,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,3.00,0.839
clean,009-03-Ilya-Beshevli-To-solitude.flac,1.00,0.475
clean,010-06-Jon-Hassell-These-times.flac,0.00,0.322
clean,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,1.00,0.377
clean,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,1.50,0.414
clean,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,0.00,0.474
clean,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,nan,0.085
clean,015-08-Jos-Gonz-lez-Vissel.flac,0.00,0.308
clean,016-03-Memory-Tapes-Green-knight.flac,1.08,0.445
clean,017-13-Cafe-Del-Mar-Submariner.flac,0.00,0.392
clean,018-04-Bag-o-wire-Resovoir.flac,nan,0.644
clean,019-04-Kohi-Jadu.flac,0.00,0.560
clean,020-06-Bola-Tigantabame.flac,1.00,0.392
clean,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,4.33,0.436
clean,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,0.00,0.552
clean,023-01-Yusef-Lateef-Buddy-and-lou.flac,2.00,0.418
clean,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,0.00,0.639
clean,025-07-Bolalar-Lola.flac,3.00,0.513
clean,026-06-Oumou-Dioubat-Siyala.flac,1.00,0.705
clean,027-01-Dimlite-Kitty-Cradle-Fog.flac,0.00,0.112
clean,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.00,0.127
clean,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,0.00,0.287
clean,030-06-S-bastien-Tellier-Benny.flac,0.00,0.275
clean,031-07-Shkoon-Just-Emma-Id.flac,1.00,0.551
clean,032-05-2kilos-more-Cache-feu.flac,0.00,0.506
clean,033-01-Daylight-Rising.flac,0.00,0.274
clean,034-09-Snow-Ghosts-Bowline.flac,0.00,0.362
clean,035-16-Slow-Air-In-Dropped-D.flac,1.62,0.605
clean,036-08-Nicolas-Comment-Amaurose.flac,0.00,0.418
clean,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,0.00,0.269
clean,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,0.00,0.210
clean,039-13-Kat-Onoma-Change-blues.flac,0.00,0.491
clean,040-11-Xploding-Plastix-Far-flung-tonic.flac,0.00,0.339
clean,041-07-Mondkopf-Summer-afternoon-on-the-carribean-se.flac,4.56,0.595
clean,042-04-Keletigui-et-ses-Tambourinis-Nadia.flac,nan,0.193
clean,043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr.flac,0.00,0.562
clean,044-02-Various-Artists-Ka-mea-mea.flac,1.00,0.208
clean,045-08-DJ-Katapila-Trotro-instrumental.flac,1.00,0.358
clean,046-04-Clelia-Felix-Shine-so-bright.flac,0.00,0.262
clean,047-03-Lemma-Souad-Asla-Maachouk-Nbi.flac,1.00,0.367
clean,048-08-Gabriel-Romero-La-Piragua.flac,0.00,0.165
clean,049-Nigeria-70-vol-1-Lagos-jump-09-Chief-Checker-Afr.flac,1.00,0.331
clean,050-08-Boubacar-Traor-Pierrette.flac,0.00,0.197
clean,051-07-Coldcut-x-On-U-Sound-Kajra-mohobbat-wala-feat.flac,1.14,0.390
clean,052-06-Papa-Wemba-Efeka-mandundu.flac,0.00,0.112
clean,053-03-Jupiter-Okwess-Ofakombolo.flac,0.00,0.358
clean,054-10-George-Bruns-Two-dogs-and-a-cycle.flac,1.00,0.266
clean,055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi.flac,0.00,0.316
clean,056-14-Hlamalani.flac,0.00,0.399
clean,057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois.flac,1.57,0.271
clean,058-01-Piny-Runa-Woko.flac,1.62,0.334
clean,059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu.flac,0.00,0.242
clean,060-13-Naomi-The-Boys-Bad-loser.flac,0.00,0.186
clean,061-07-Black-Truth-Rhythm-Band-Imo.flac,1.00,0.415
clean,062-03-Alpha-Blondy-Jah-glory.flac,1.27,0.229
clean,063-09-Rodolphe-Burger-Billy-the-kid.flac,1.00,0.370
clean,064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo.flac,1.00,0.362
clean,065-05-Quizas-Quizas.flac,0.00,0.565
clean,066-04-Etoile-de-Dakar-My-wa-wa.flac,0.00,0.171
clean,067-03-The-Streets-Let-s-push-things-forward.flac,0.00,0.507
clean,068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate.flac,0.00,0.307
clean,069-02-Eden-Ahbez-The-wanderer.flac,1.33,0.540
clean,070-02-Guts-Good-morning.flac,0.00,0.452
clean,071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja.flac,6.58,0.729
clean,072-05-Simo-Moumen-Samsara.flac,1.33,0.505
clean,073-10-Vanilla-Fudge-Eleanor-rigby.flac,nan,0.281
clean,074-09-Koki-Nakano-Lift.flac,1.00,0.358
clean,075-03-Jordi-Savall-El-rey-de-francia-esmirna.flac,1.00,0.272
clean,076-20-Fran-ois-Couperin-O-salutaris.flac,1.06,0.373
clean,077-01-Jaga-Jazzist-All-i-know-is-tonight.flac,0.00,0.236
clean,078-04-Kat-Onoma-La-chambre.flac,0.00,0.249
clean,079-04-Gwen-McCrae-Let-s-straighten-it-out.flac,0.00,0.913
clean,AstralProject2000-06-10.flac16__astralproject2000-06-10t01.flac,1.00,0.528
clean,AstralProject2000-06-10.flac16__astralproject2000-06-10t02.flac,0.00,0.558
clean,AstralProject2000-06-10.flac16__astralproject2000-06-10t03.flac,1.00,0.573
clean,AstralProject2000-06-10.flac16__astralproject2000-06-10t04.flac,1.00,0.571
clean,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__101. Brick House.flac,2.39,0.178
clean,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__107. Burning Down The House.flac,1.00,0.178
clean,BG2026-08-09__BG2026-08-09t01.flac,nan,0.358
clean,BG2026-08-09__BG2026-08-09t02.flac,nan,0.478
clean,OBF2026-08-06.ca-14.flac__01-Just Around The Corner .flac,1.37,0.630
clean,OBF2026-08-06.ca-14.flac__02-If You See Their Lips Moving.flac,1.71,0.524
clean,OBF2026-08-07.ca-14.flac__01-Just Around The Corner .flac,1.00,0.399
clean,OBF2026-08-07.ca-14.flac__02-The Way We Rise.flac,1.00,0.482
clean,RFTS2026-08-08.Beverly__01 Althea.flac,1.00,0.383
clean,RFTS2026-08-08.Beverly__02 Tennessee Jed.flac,1.00,0.313
clean,SRB2026-08-08__01. When The Circus Comes To Time (Los Lobos).flac,1.13,0.375
