source,path_hash,ratio_kbd,ratio_vorbis,ratio_max
audit,00508828f1dd9d61,1.1879,1.2805,1.2805
audit,062dd53e2c282a63,1.3049,1.2970,1.3049
audit,091ea291b4e7ab98,1.0889,1.1954,1.1954
audit,0e064a78cba5fd71,1.2442,1.2791,1.2791
audit,129baafc8011cb61,1.2169,1.2201,1.2201
audit,139d9aa76f1d9b41,1.2671,1.4146,1.4146
audit,14ab7d72ce37b504,1.2706,1.2706,1.2706
audit,1a522b75086d46ac,1.1609,1.2155,1.2155
audit,2032ebbad45feb68,1.2048,1.2381,1.2381
audit,23191580ce29f26c,1.0833,1.2515,1.2515
audit,23d7a03ecb74c802,1.2976,1.3333,1.3333
audit,266891b513113fdd,1.2073,1.1951,1.2073
audit,354f4aa6da6dde11,1.2455,1.4268,1.4268
audit,3a3235ff0ffcd598,1.3095,1.2439,1.3095
audit,3adad2a54f0ad061,1.1647,1.2143,1.2143
audit,3bbf76077766f965,1.3372,1.1818,1.3372
audit,421226cc385cfaf7,1.1807,1.3576,1.3576
audit,44ae8529784185d2,1.1779,1.2638,1.2638
audit,493503408306ac67,1.2651,1.3929,1.3929
audit,55bec302e66752c4,1.1977,1.2209,1.2209
audit,56dd2c18ac769875,1.4096,1.2025,1.4096
audit,5d4f1c9fe4926d2d,1.2023,1.3252,1.3252
audit,60a7534efd44bae8,1.1925,1.2840,1.2840
audit,63f778f4d1af2397,1.1395,1.2143,1.2143
audit,647d0d07bcead48f,1.2575,1.2262,1.2575
audit,746b828a580a4bbd,1.1214,1.1977,1.1977
audit,747c9666c3a442ec,1.2195,1.2169,1.2195
audit,770b346866984b78,1.2099,1.1566,1.2099
audit,7afceafccbf327fc,1.2593,1.1429,1.2593
audit,7be6eb0c67aa4c91,1.1939,1.2000,1.2000
audit,7c46c81e832f43aa,1.3254,1.2096,1.3254
audit,805bebf946f3dbcf,1.1925,1.3086,1.3086
audit,86caf44607f32b7d,1.1750,1.2048,1.2048
audit,87b3176b24b91395,1.2588,1.2410,1.2588
audit,893d3eb23bbe05cd,1.3333,1.2561,1.3333
audit,8a9c0751858be861,1.3448,1.1798,1.3448
audit,8ba2a4250610ac8f,1.1497,1.2750,1.2750
audit,8cb63a18b7aeb08c,1.1325,1.4048,1.4048
audit,8fdae00df03d441d,1.2561,1.1882,1.2561
audit,9276647a97a4754b,1.3415,1.2235,1.3415
audit,941cd869e847c93b,1.2195,1.2270,1.2270
audit,984430100655907c,1.2706,1.3413,1.3413
audit,99e8f0a0d8827132,1.3171,1.1445,1.3171
audit,9b062a71204103a9,1.2651,1.3537,1.3537
audit,9d61d27e03889649,1.3136,1.2159,1.3136
audit,9da72a31c0d63cff,1.1919,1.2871,1.2871
audit,9e73b66332e3c73d,1.2716,1.1852,1.2716
audit,a1afad8a78c7f915,1.2500,1.1566,1.2500
audit,a499b3d008347fc4,1.3054,1.2317,1.3054
audit,a5d0956ac1c06a2d,1.1667,1.2824,1.2824
audit,a74b71322b34f689,1.2644,1.3837,1.3837
audit,a92227acadecfc59,1.2683,1.3292,1.3292
audit,aa4188db080b1ee5,1.2048,1.3497,1.3497
audit,aa679d4030bf0022,1.2892,1.2071,1.2892
audit,ad23ae5c27b806ec,1.2439,1.2500,1.2500
audit,b354d867e7c824d8,1.2118,1.3373,1.3373
audit,b53e905243709cad,1.2000,1.1930,1.2000
audit,b69dbb70abaf016f,1.3580,1.3653,1.3653
audit,bffaa1324b4d99e1,1.2588,1.2857,1.2857
audit,c5667be437e7395d,1.1852,1.3253,1.3253
audit,c63e6c9eda1d657a,1.2455,1.2216,1.2455
audit,c891de873107678c,1.1786,1.2118,1.2118
audit,cc36191e82988d64,1.2625,1.3902,1.3902
audit,cc6b902dfa6e8bd9,1.3540,1.1807,1.3540
audit,d1e8f7a22cad28fa,1.2500,1.2761,1.2761
audit,d5507372eb2bc72c,1.3125,1.1647,1.3125
audit,d8d977d3e6a33dc6,1.2093,1.1687,1.2093
audit,dd86a8c14820ecad,1.1852,1.2530,1.2530
audit,dea2c70c4ebdc5aa,1.3133,1.1462,1.3133
audit,e52d243d42563f3e,1.2697,1.2262,1.2697
audit,e689ad76ddeed246,1.1707,1.2927,1.2927
audit,e89a55772114e7fe,1.1617,1.2270,1.2270
audit,e933929c76f84176,1.2289,1.1951,1.2289
audit,eb1e160d052ab5fd,1.3580,1.2530,1.3580
audit,eb44004430c3d5f3,1.1737,1.2439,1.2439
audit,ec64f0d8eea8d5e7,1.2143,1.3012,1.3012
audit,ed7064443d9fd39c,1.3171,1.1429,1.3171
audit,f5433c9618082761,1.2824,1.2471,1.2824
audit,fb94831b78b43177,1.2644,1.2472,1.2644
audit,fd62f2714c586182,1.1412,1.1807,1.1807
library,002d8fe00d57cec8,1.3026,1.1772,1.3026
library,00859093fec19a6f,1.1875,1.2439,1.2439
library,0101fda2babe0bca,1.1519,1.2857,1.2857
library,011b8a2a5960b671,1.2469,1.3176,1.3176
library,0176e73870babdaa,1.1030,1.2619,1.2619
library,01bb8b3f767c57e5,1.2727,1.3011,1.3011
library,01bc1d1fcb9cab90,1.2189,1.1744,1.2189
library,02986488ff0d2aad,1.2291,1.1977,1.2291
library,02a269c2143e245b,1.2857,1.2102,1.2857
library,02d300fd59e221e5,1.2588,1.2195,1.2588
library,030b5629c4254510,1.2638,1.2099,1.2638
library,034e1b1d998d74a9,1.4012,1.1477,1.4012
library,037dfcf511f2eb55,1.1778,1.2065,1.2065
library,0391a365e2b2a6d7,1.2619,1.2317,1.2619
library,03a307e27c9e1f13,1.2738,1.2414,1.2738
library,03cd36b62c76aed3,1.2375,1.2169,1.2375
library,03d4e8897914aee2,1.3212,1.1377,1.3212
library,03e1daa935f60a33,1.1494,1.2683,1.2683
library,046e12b4c2944a85,1.2717,1.2043,1.2717
library,04aa7faeb95516b3,1.0843,1.3210,1.3210
library,04b3fe8dfb0a194f,1.1953,1.1758,1.1953
library,05f95b0e59be2023,1.3212,1.3333,1.3333
library,061a94d21330fd87,1.3133,1.1636,1.3133
library,061fe732a271e8d0,1.1795,1.1728,1.1795
library,06698064c102cac4,1.3452,1.2588,1.3452
library,06bce288768ec4ef,1.4182,1.3293,1.4182
library,071758de1bcb471a,1.2216,1.2364,1.2364
library,072c40f3f943f0d0,1.3171,1.2727,1.3171
library,07598f7715305cd5,1.1412,1.2386,1.2386
library,08368751dc1c9f58,1.2692,1.2278,1.2692
library,08a1257ba4bc6a6c,1.2439,1.2593,1.2593
library,08b661f8910aec56,1.2683,1.3544,1.3544
library,08cb6a8c8dae175e,1.2216,1.1928,1.2216
library,08de872ff80b16c4,1.2611,1.1779,1.2611
library,095b88bab1405be4,1.2093,1.2439,1.2439
library,099456c8f08ae1e2,1.2025,1.1341,1.2025
library,09a37475d75ca01e,1.1829,1.2278,1.2278
library,09e710870078e265,1.1098,1.2414,1.2414
library,09eeca8b478e21e5,1.2439,1.2771,1.2771
library,0a4e0d4fc15f1117,1.3133,1.1765,1.3133
library,0ac4ee9c4442e394,1.3416,1.2405,1.3416
library,0bb17e406f01243b,1.2000,1.1625,1.2000
library,0d2f320402862b2e,1.2439,1.2530,1.2530
library,0e448e74f90d5816,1.2044,1.1758,1.2044
library,0e7bda8e2ba4be2c,1.1902,1.1446,1.1902
library,0ef232b4fe7e4130,1.2381,1.3457,1.3457
library,0fa4383300cedb50,1.2262,1.3913,1.3913
library,0fcedcfff0a50da5,1.2561,1.2695,1.2695
library,1059e11bb4d0a234,1.2048,1.3006,1.3006
library,105e6efaebc80b55,1.2125,1.2532,1.2532
library,11ab42bb6f1905cf,1.2747,1.2289,1.2747
library,124c9fcf31599cad,1.3038,1.3154,1.3154
library,12a90844256e4a77,1.1529,1.2143,1.2143
library,12c0d778c51c7e3b,1.1925,1.1605,1.1925
library,138289ff08a50b02,1.2298,1.3951,1.3951
library,13dcb75c9cc73b45,1.2278,1.2179,1.2278
library,14da8b9b1c7eaf63,1.3455,1.3455,1.3455
library,150c4d67d2f5f011,1.2485,1.1928,1.2485
library,154d8d2b0574ca09,1.2308,1.3165,1.3165
library,1589c9e2563ea541,1.2840,1.2805,1.2840
library,165dc9ab2dbd4a11,1.3412,1.1908,1.3412
library,16ebfdd02a42ca77,1.1698,1.2453,1.2453
library,17880b8e07094abc,1.1818,1.2000,1.2000
library,179eaad261e0fbea,1.2529,1.1250,1.2529
library,18b2342f94335bea,1.2683,1.1925,1.2683
library,18e14a472108b9ec,1.2892,1.2169,1.2892
library,1955aab8accab51a,1.2270,1.2530,1.2530
library,195be48a99828a65,1.2024,1.2500,1.2500
library,196a18b6f8f42107,1.2000,1.2903,1.2903
library,198eb05879749184,1.2532,1.1728,1.2532
library,1a0eaba7d5a4b937,1.3023,1.2515,1.3023
library,1a88182db65e473d,1.3333,1.3253,1.3333
library,1a8c191faf00fc92,1.1953,1.2771,1.2771
library,1b7eec310f674aaf,1.2619,1.2619,1.2619
library,1b961697c5b49f7c,1.1647,1.2393,1.2393
library,1c8d5e3fec27c59e,1.1871,1.2357,1.2357
library,1ccbfca0e7d66964,1.3947,1.2050,1.3947
library,1cf1f2ac87a0de0b,1.3647,1.3413,1.3647
library,1d6083395562a194,1.4253,1.3214,1.4253
library,1d9b087baa49a0e4,1.1975,1.2532,1.2532
library,1dfa786df4915d53,1.2439,1.1807,1.2439
library,1e97217fb5a28c6f,1.2131,1.1573,1.2131
library,1ec3bfc656e24efc,1.1375,1.2195,1.2195
library,1ed90a02a77ed1f0,1.1355,1.2308,1.2308
library,1f0d20c4196e2f34,1.2357,1.2821,1.2821
library,1f243b4c69e68e1c,1.1977,1.1667,1.1977
library,1f67121251ca1be9,1.1976,1.2289,1.2289
library,1f7796214b7df8e7,1.2078,1.3000,1.3000
library,1f862142bb4bc353,1.2963,1.2048,1.2963
library,1fbd7711ea8e5304,1.1720,1.2179,1.2179
library,1ff93c1029ad5e1e,1.2262,1.2530,1.2530
library,2055f07ce5f933cb,1.1951,1.4601,1.4601
library,2060ae0057d19a7e,1.1923,1.2208,1.2208
library,209463175ae6336c,1.2147,1.1772,1.2147
library,20e2c0383e5a0bcb,1.0839,1.1180,1.1180
library,21e38b5abece8124,1.1975,1.2174,1.2174
library,2205d6eeb94b86fa,1.2262,1.1975,1.2262
library,224c1de230950291,1.1801,1.1951,1.1951
library,228fc00e26c5b4b5,1.1566,1.4350,1.4350
library,2357f0cfe65cf7cb,1.0798,1.1687,1.1687
library,236b0d2f5b635037,1.1445,1.2281,1.2281
library,2420c139758c7c1f,1.1375,1.1925,1.1925
library,24230d275cb123f9,1.2071,1.2739,1.2739
library,242a5445623258c5,1.1932,1.3103,1.3103
library,24582877c4f7f837,1.2619,1.1951,1.2619
library,249a39ebb05d9f12,1.3704,1.2147,1.3704
library,24ef8b10014c362e,1.3333,1.2047,1.3333
library,25080ee4022041c0,1.2090,1.2247,1.2247
library,2567c18878227034,1.2824,1.1377,1.2824
library,258b38f587fff602,1.2875,1.2169,1.2875
library,25b2326232ce3669,1.2892,1.3171,1.3171
library,25edcf909e795346,1.2750,1.1572,1.2750
library,2602d045c967b65c,1.2346,1.2048,1.2346
library,2640c70f89b2e27d,1.1500,1.1646,1.1646
library,267d5a8b3272a430,1.4198,1.2143,1.4198
library,269600e16a217bad,1.3133,1.2216,1.3133
library,26ac6bd685eba6c1,1.2242,1.2071,1.2242
library,26d1f76e693b7df7,1.2561,1.1976,1.2561
library,2701f915ba7791fa,1.1834,1.3375,1.3375
library,281de72f2f8b6e10,1.1628,1.1705,1.1705
library,286becf4542c92f4,1.1928,1.3855,1.3855
library,286befc853e90e5f,1.2390,1.1528,1.2390
library,29081136376cfcb8,1.2238,1.2317,1.2317
library,290ed6d269072a13,1.2814,1.2840,1.2840
library,2937fff5e5690e09,1.1923,1.2195,1.2195
library,294ca63ddf29c0d4,1.1813,1.2262,1.2262
library,295a840eb14526c1,1.1591,1.1395,1.1591
library,297f8f1d520d1bf9,1.2405,1.1728,1.2405
library,2a65f07a47d45361,1.1895,1.1385,1.1895
library,2a6e9834ac57a414,1.2547,1.1154,1.2547
library,2a7fb55df58c17e2,1.2262,1.2169,1.2262
library,2ac662e22e9e44de,1.2164,1.2848,1.2848
library,2ac6e05d2655e601,1.2024,1.4000,1.4000
library,2b5882c2ebf1b533,1.2658,1.3086,1.3086
library,2b5a845b648df164,1.2222,1.1852,1.2222
library,2bbe11e4a6223b89,1.1889,1.2921,1.2921
library,2c075a8e61ddeab5,1.2638,1.1446,1.2638
library,2c0b6326822353c6,1.3210,1.2071,1.3210
library,2c45e6be54298568,1.2927,1.2515,1.2927
