path_hash,source,ratio_max,cutoff,admitted
00508828f1dd9d61,audit,1.2805,22050.0,1
062dd53e2c282a63,audit,1.3049,22050.0,1
091ea291b4e7ab98,audit,1.1954,22050.0,1
0e064a78cba5fd71,audit,1.2791,22050.0,1
129baafc8011cb61,audit,1.2201,22050.0,1
139d9aa76f1d9b41,audit,1.4146,20750.0,1
14ab7d72ce37b504,audit,1.2706,22050.0,1
1a522b75086d46ac,audit,1.2155,21000.0,1
2032ebbad45feb68,audit,1.2381,21750.0,1
23191580ce29f26c,audit,1.2515,22050.0,1
23d7a03ecb74c802,audit,1.3333,19750.0,1
266891b513113fdd,audit,1.2073,22050.0,1
354f4aa6da6dde11,audit,1.4268,22050.0,1
3a3235ff0ffcd598,audit,1.3095,22050.0,1
3adad2a54f0ad061,audit,1.2143,20750.0,1
3bbf76077766f965,audit,1.3372,22050.0,1
421226cc385cfaf7,audit,1.3576,22050.0,1
44ae8529784185d2,audit,1.2638,21250.0,1
493503408306ac67,audit,1.3929,21000.0,1
55bec302e66752c4,audit,1.2209,22050.0,1
56dd2c18ac769875,audit,1.4096,21000.0,1
5d4f1c9fe4926d2d,audit,1.3252,21250.0,1
60a7534efd44bae8,audit,1.2840,22050.0,1
63f778f4d1af2397,audit,1.2143,22050.0,1
647d0d07bcead48f,audit,1.2575,19000.0,1
746b828a580a4bbd,audit,1.1977,22050.0,1
747c9666c3a442ec,audit,1.2195,22050.0,1
770b346866984b78,audit,1.2099,22050.0,1
7afceafccbf327fc,audit,1.2593,20750.0,1
7be6eb0c67aa4c91,audit,1.2000,19500.0,1
7c46c81e832f43aa,audit,1.3254,22050.0,1
805bebf946f3dbcf,audit,1.3086,22050.0,1
86caf44607f32b7d,audit,1.2048,21000.0,1
87b3176b24b91395,audit,1.2588,22050.0,1
893d3eb23bbe05cd,audit,1.3333,21000.0,1
8a9c0751858be861,audit,1.3448,21500.0,1
8ba2a4250610ac8f,audit,1.2750,21750.0,1
8cb63a18b7aeb08c,audit,1.4048,22050.0,1
8fdae00df03d441d,audit,1.2561,21750.0,1
9276647a97a4754b,audit,1.3415,17500.0,0
941cd869e847c93b,audit,1.2270,20500.0,1
984430100655907c,audit,1.3413,22050.0,1
99e8f0a0d8827132,audit,1.3171,22050.0,1
9b062a71204103a9,audit,1.3537,22050.0,1
9d61d27e03889649,audit,1.3136,22050.0,1
9da72a31c0d63cff,audit,1.2871,16250.0,0
9e73b66332e3c73d,audit,1.2716,20250.0,1
a1afad8a78c7f915,audit,1.2500,22050.0,1
a499b3d008347fc4,audit,1.3054,22050.0,1
a5d0956ac1c06a2d,audit,1.2824,22050.0,1
a74b71322b34f689,audit,1.3837,22050.0,1
a92227acadecfc59,audit,1.3292,22050.0,1
aa4188db080b1ee5,audit,1.3497,21250.0,1
aa679d4030bf0022,audit,1.2892,21750.0,1
ad23ae5c27b806ec,audit,1.2500,22050.0,1
b354d867e7c824d8,audit,1.3373,22050.0,1
b53e905243709cad,audit,1.2000,22050.0,1
b69dbb70abaf016f,audit,1.3653,22050.0,1
bffaa1324b4d99e1,audit,1.2857,21750.0,1
c5667be437e7395d,audit,1.3253,22050.0,1
c63e6c9eda1d657a,audit,1.2455,22050.0,1
c891de873107678c,audit,1.2118,22050.0,1
cc36191e82988d64,audit,1.3902,20000.0,1
cc6b902dfa6e8bd9,audit,1.3540,20750.0,1
d1e8f7a22cad28fa,audit,1.2761,17500.0,0
d5507372eb2bc72c,audit,1.3125,22050.0,1
d8d977d3e6a33dc6,audit,1.2093,20750.0,1
dd86a8c14820ecad,audit,1.2530,22050.0,1
dea2c70c4ebdc5aa,audit,1.3133,20750.0,1
e52d243d42563f3e,audit,1.2697,19750.0,1
e689ad76ddeed246,audit,1.2927,21250.0,1
e89a55772114e7fe,audit,1.2270,20500.0,1
e933929c76f84176,audit,1.2289,21250.0,1
eb1e160d052ab5fd,audit,1.3580,21250.0,1
eb44004430c3d5f3,audit,1.2439,21000.0,1
ec64f0d8eea8d5e7,audit,1.3012,20750.0,1
ed7064443d9fd39c,audit,1.3171,21750.0,1
f5433c9618082761,audit,1.2824,22050.0,1
fb94831b78b43177,audit,1.2644,21000.0,1
fd62f2714c586182,audit,1.1807,22050.0,1
002d8fe00d57cec8,library,1.3026,22050.0,1
00859093fec19a6f,library,1.2439,22050.0,1
0101fda2babe0bca,library,1.2857,24000.0,1
011b8a2a5960b671,library,1.3176,19250.0,1
0176e73870babdaa,library,1.2619,22050.0,1
01bb8b3f767c57e5,library,1.3011,22050.0,1
01bc1d1fcb9cab90,library,1.2189,20250.0,1
02986488ff0d2aad,library,1.2291,22050.0,1
02a269c2143e245b,library,1.2857,21750.0,1
02d300fd59e221e5,library,1.2588,22050.0,1
030b5629c4254510,library,1.2638,18750.0,1
034e1b1d998d74a9,library,1.4012,22050.0,1
037dfcf511f2eb55,library,1.2065,21500.0,1
0391a365e2b2a6d7,library,1.2619,16250.0,0
03a307e27c9e1f13,library,1.2738,22050.0,1
03cd36b62c76aed3,library,1.2375,20250.0,1
03d4e8897914aee2,library,1.3212,22050.0,1
03e1daa935f60a33,library,1.2683,22050.0,1
046e12b4c2944a85,library,1.2717,22050.0,1
04aa7faeb95516b3,library,1.3210,21500.0,1
04b3fe8dfb0a194f,library,1.1953,22050.0,1
05f95b0e59be2023,library,1.3333,21250.0,1
061a94d21330fd87,library,1.3133,22050.0,1
061fe732a271e8d0,library,1.1795,22050.0,1
06698064c102cac4,library,1.3452,21500.0,1
06bce288768ec4ef,library,1.4182,22050.0,1
071758de1bcb471a,library,1.2364,17250.0,0
072c40f3f943f0d0,library,1.3171,22050.0,1
07598f7715305cd5,library,1.2386,22050.0,1
08368751dc1c9f58,library,1.2692,21500.0,1
08a1257ba4bc6a6c,library,1.2593,21000.0,1
08b661f8910aec56,library,1.3544,22050.0,1
08cb6a8c8dae175e,library,1.2216,22050.0,1
08de872ff80b16c4,library,1.2611,22050.0,1
095b88bab1405be4,library,1.2439,22050.0,1
099456c8f08ae1e2,library,1.2025,22050.0,1
09a37475d75ca01e,library,1.2278,22050.0,1
09e710870078e265,library,1.2414,21500.0,1
09eeca8b478e21e5,library,1.2771,21250.0,1
0a4e0d4fc15f1117,library,1.3133,22050.0,1
0ac4ee9c4442e394,library,1.3416,21750.0,1
0bb17e406f01243b,library,1.2000,20750.0,1
0d2f320402862b2e,library,1.2530,22050.0,1
0e448e74f90d5816,library,1.2044,22050.0,1
0e7bda8e2ba4be2c,library,1.1902,22050.0,1
0ef232b4fe7e4130,library,1.3457,22050.0,1
0fa4383300cedb50,library,1.3913,22050.0,1
0fcedcfff0a50da5,library,1.2695,22050.0,1
1059e11bb4d0a234,library,1.3006,22050.0,1
105e6efaebc80b55,library,1.2532,19750.0,1
11ab42bb6f1905cf,library,1.2747,22050.0,1
124c9fcf31599cad,library,1.3154,22050.0,1
12a90844256e4a77,library,1.2143,22050.0,1
12c0d778c51c7e3b,library,1.1925,22050.0,1
138289ff08a50b02,library,1.3951,20000.0,1
