idx,kind,codec,src_bucket,verdict11,verdict12
0,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
0,transcode,mp3_128,<4k,AUTHENTIC,AUTHENTIC
0,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
0,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
1,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
1,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
1,transcode,mp3_320,<4k,FAKE_CERTAIN,FAKE_CERTAIN
1,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
4,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
4,transcode,mp3_128,<4k,WARNING,WARNING
4,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
4,transcode,mp3_v0,<4k,WARNING,WARNING
5,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
5,transcode,mp3_128,<4k,WARNING,WARNING
5,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
5,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
6,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
6,transcode,mp3_128,<4k,AUTHENTIC,AUTHENTIC
6,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
6,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
7,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
7,transcode,mp3_128,<4k,WARNING,WARNING
7,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
7,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
8,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
8,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
8,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
8,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
9,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
9,transcode,mp3_128,<4k,WARNING,WARNING
9,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
9,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
10,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
10,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
10,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
10,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
11,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
11,transcode,mp3_128,<4k,AUTHENTIC,AUTHENTIC
11,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
11,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
11,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
2,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
2,transcode,mp3_128,<4k,WARNING,WARNING
2,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
2,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
3,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
3,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
3,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
3,transcode,mp3_v0,<4k,FAKE_CERTAIN,FAKE_CERTAIN
12,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
12,transcode,mp3_128,<4k,AUTHENTIC,AUTHENTIC
12,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
12,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
13,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
13,transcode,mp3_128,<4k,WARNING,WARNING
13,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
13,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
18,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
18,transcode,mp3_128,<4k,AUTHENTIC,AUTHENTIC
18,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
18,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
19,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
19,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
19,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
19,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
16,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
16,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
16,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
16,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
17,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
17,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
17,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
17,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
20,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
20,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
20,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
20,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
21,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
21,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
21,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
21,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
22,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
22,transcode,mp3_128,<4k,FAKE_CERTAIN,FAKE_CERTAIN
22,transcode,mp3_320,<4k,AUTHENTIC,AUTHENTIC
22,transcode,mp3_v0,<4k,AUTHENTIC,AUTHENTIC
23,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
23,transcode,mp3_128,<4k,WARNING,WARNING
