idx,kind,codec,src_bucket,verdict11,verdict12
0,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
0,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
1,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
1,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
4,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
4,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
5,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
5,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
6,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
6,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
7,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
7,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
8,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
8,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
9,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
9,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
10,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
10,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
11,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
11,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
2,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
2,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
3,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
3,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
12,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
12,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
13,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
13,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
18,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
18,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
19,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
19,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
16,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
16,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
17,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
17,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
20,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
20,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
21,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
21,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
22,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
22,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
23,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
23,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
14,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
14,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
15,authentic,authentic,<4k,AUTHENTIC,AUTHENTIC
15,transcode,aac_256,<4k,AUTHENTIC,AUTHENTIC
24,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
24,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
25,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
25,transcode,aac_256,4-7k,FAKE_CERTAIN,FAKE_CERTAIN
26,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
26,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
27,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
27,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
28,authentic,authentic,4-7k,WARNING,WARNING
28,transcode,aac_256,4-7k,WARNING,WARNING
29,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
29,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
34,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
34,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
35,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
35,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
32,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
32,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
33,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
33,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
30,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
30,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
31,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
31,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
36,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
36,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
37,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
37,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
38,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
38,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
39,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
39,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
44,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
44,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
45,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
45,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
40,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
40,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
41,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
41,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
46,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
46,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
47,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
47,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
42,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
42,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
43,authentic,authentic,4-7k,AUTHENTIC,AUTHENTIC
43,transcode,aac_256,4-7k,AUTHENTIC,AUTHENTIC
48,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
48,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
49,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
49,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
50,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
50,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
51,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
51,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
54,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
54,transcode,aac_256,7-10k,AUTHENTIC,WARNING
55,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
55,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
58,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
58,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
59,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
59,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
56,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
56,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
57,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
57,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
52,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
52,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
53,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
53,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
60,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
60,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
61,authentic,authentic,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
61,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
68,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
68,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
69,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
69,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
62,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
62,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
63,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
63,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
64,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
64,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
65,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
65,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
72,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
72,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
73,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
73,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
70,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
70,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
71,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
71,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
66,authentic,authentic,7-10k,AUTHENTIC,AUTHENTIC
66,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
67,authentic,authentic,7-10k,FAKE_CERTAIN,FAKE_CERTAIN
67,transcode,aac_256,7-10k,AUTHENTIC,AUTHENTIC
74,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
74,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
75,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
75,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
80,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
80,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
81,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
81,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
82,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
82,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
83,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
83,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
78,authentic,authentic,10-14k,AUTHENTIC,WARNING
78,transcode,aac_256,10-14k,AUTHENTIC,WARNING
79,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
79,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
76,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
76,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
77,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
77,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
86,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
86,transcode,aac_256,10-14k,AUTHENTIC,WARNING
87,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
87,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
84,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
84,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
85,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
85,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
88,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
88,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
89,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
89,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
90,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
90,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
91,authentic,authentic,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
91,transcode,aac_256,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
