arm,file,verdict,score,families
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,AUTHENTIC,0,
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,AUTHENTIC,0,
genuine,002-03-Hraach-Let-it-go.flac,AUTHENTIC,0,
genuine,003-01-Thor-Dari-lullaby.flac,AUTHENTIC,0,
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,AUTHENTIC,0,
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,AUTHENTIC,0,
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,AUTHENTIC,0,
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,AUTHENTIC,0,
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,WARNING,52,spectral+temporal
genuine,009-03-Ilya-Beshevli-To-solitude.flac,AUTHENTIC,0,
genuine,010-06-Jon-Hassell-These-times.flac,AUTHENTIC,0,
genuine,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,AUTHENTIC,0,
genuine,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,AUTHENTIC,0,
genuine,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,AUTHENTIC,0,
genuine,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,AUTHENTIC,0,
genuine,015-08-Jos-Gonz-lez-Vissel.flac,AUTHENTIC,0,
genuine,016-03-Memory-Tapes-Green-knight.flac,AUTHENTIC,0,
genuine,017-13-Cafe-Del-Mar-Submariner.flac,AUTHENTIC,0,
genuine,018-04-Bag-o-wire-Resovoir.flac,AUTHENTIC,0,temporal
genuine,019-04-Kohi-Jadu.flac,AUTHENTIC,0,temporal
genuine,020-06-Bola-Tigantabame.flac,AUTHENTIC,0,
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,WARNING,50,spectral
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,AUTHENTIC,0,
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,AUTHENTIC,0,
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,AUTHENTIC,0,
genuine,025-07-Bolalar-Lola.flac,AUTHENTIC,0,
genuine,026-06-Oumou-Dioubat-Siyala.flac,AUTHENTIC,0,temporal
genuine,027-01-Dimlite-Kitty-Cradle-Fog.flac,AUTHENTIC,0,
genuine,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,AUTHENTIC,0,
genuine,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,AUTHENTIC,0,
genuine,030-06-S-bastien-Tellier-Benny.flac,AUTHENTIC,0,
genuine,031-07-Shkoon-Just-Emma-Id.flac,AUTHENTIC,0,
genuine,032-05-2kilos-more-Cache-feu.flac,AUTHENTIC,0,
genuine,033-01-Daylight-Rising.flac,AUTHENTIC,0,
genuine,034-09-Snow-Ghosts-Bowline.flac,AUTHENTIC,0,
genuine,035-16-Slow-Air-In-Dropped-D.flac,AUTHENTIC,0,temporal
genuine,036-08-Nicolas-Comment-Amaurose.flac,AUTHENTIC,0,
genuine,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,AUTHENTIC,0,
genuine,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,AUTHENTIC,0,
genuine,039-13-Kat-Onoma-Change-blues.flac,AUTHENTIC,0,
aac_ff128,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,AUTHENTIC,13,temporal
aac_ff128,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,WARNING,43,cnn+temporal
aac_ff128,002-03-Hraach-Let-it-go.flac,FAKE_CERTAIN,92,cnn+spectral+temporal
aac_ff128,003-01-Thor-Dari-lullaby.flac,WARNING,43,cnn+temporal
aac_ff128,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,WARNING,43,cnn+temporal
aac_ff128,005-17-Los-Seven-Del-Swing-Celoso.flac,WARNING,43,cnn+temporal
