arm,file,max_run,mean_run,max_run_rel,stereo_ratio,mono_gated
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,nan,nan,nan,0.0000,True
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,0.0000,0.0000,1.0000,0.7582,False
genuine,002-03-Hraach-Let-it-go.flac,5.0000,1.7417,1.0000,0.2815,False
genuine,003-01-Thor-Dari-lullaby.flac,1.0000,0.0000,0.0000,0.2999,False
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,1.0000,0.0000,0.0000,0.6786,False
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,1.0000,1.0000,0.0000,0.0837,False
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,nan,nan,nan,0.0000,True
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,3.0000,1.0000,2.0000,0.2774,False
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,22.0000,3.1833,3.0000,0.3187,False
genuine,009-03-Ilya-Beshevli-To-solitude.flac,2.0000,1.0000,0.0000,1.3320,False
genuine,010-06-Jon-Hassell-These-times.flac,0.0000,0.0000,0.0000,3.0095,False
genuine,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,2.0000,1.0000,0.0000,1.1624,False
genuine,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,5.0000,1.5000,3.0000,0.6908,False
genuine,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,0.0000,0.0000,1.0000,0.0001,False
genuine,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,nan,nan,nan,0.0000,True
genuine,015-08-Jos-Gonz-lez-Vissel.flac,0.0000,0.0000,0.0000,0.1369,False
genuine,016-03-Memory-Tapes-Green-knight.flac,5.5000,1.0833,0.0000,1.0853,False
genuine,017-13-Cafe-Del-Mar-Submariner.flac,0.0000,0.0000,0.0000,0.4786,False
genuine,018-04-Bag-o-wire-Resovoir.flac,nan,nan,nan,0.0000,True
genuine,019-04-Kohi-Jadu.flac,1.0000,0.0000,0.0000,0.6354,False
genuine,020-06-Bola-Tigantabame.flac,1.0000,1.0000,1.0000,0.0542,False
