orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,side_mid_ratio,lr_corr,ro_mid,ro_side,side_to_mid_rolloff,holes_inband,flatness_inband,side_flatness_inband,terrace_peakfrac,preecho_pct,aliasing_corr,mp3_pattern
2,authentic,0,5862.8,1,1,0.59943,0.2509,3617.6,4285.1,1.1845,0.48795,0.007004,0.010688,0.15663,40.91,0.1708,0
2,mp3_128,1,5862.8,1,1,0.598471,0.2517,3273.0,3639.1,1.1118,0.43333,0.009187,0.013522,0.12667,40.91,0.2594,0
2,mp3_320,1,5862.8,1,1,0.599457,0.2509,3553.0,4199.0,1.1818,0.47853,0.007378,0.010982,0.15951,40.91,0.1735,0
2,mp3_v0,1,5862.8,1,1,0.599482,0.2509,3488.4,4048.2,1.1605,0.46875,0.007661,0.011414,0.15,40.91,0.2675,0
3,authentic,0,3371.8,1,0,0.0,1.0,2885.4,0.0,0.0,0.0,0.203978,1.0,0.17424,55.0,0.0679,0
3,mp3_128,1,3371.8,1,0,0.0,1.0,2885.4,0.0,0.0,0.0,0.20402,1.0,0.18182,60.0,0.0686,0
3,mp3_320,1,3371.8,1,0,0.0,1.0,2885.4,0.0,0.0,0.0,0.203979,1.0,0.17424,55.0,0.0681,0
3,mp3_v0,1,3371.8,1,0,0.0,1.0,2885.4,0.0,0.0,0.0,0.204044,1.0,0.17424,57.14,0.0739,0
0,authentic,0,972.9,1,1,1.134016,-0.0629,925.9,1055.1,1.1395,0.04545,0.141014,0.172852,0.15909,98.15,0.1495,0
0,mp3_128,1,972.9,1,1,1.134614,-0.0632,925.9,1055.1,1.1395,0.04545,0.141745,0.173408,0.15909,85.45,0.117,0
0,mp3_320,1,972.9,1,1,1.134066,-0.0629,925.9,1055.1,1.1395,0.04545,0.141025,0.172861,0.15909,96.3,0.1564,0
0,mp3_v0,1,972.9,1,1,1.134022,-0.0629,925.9,1055.1,1.1395,0.04545,0.14108,0.172873,0.15909,94.44,0.2171,0
1,authentic,0,6214.5,1,1,0.815189,0.1107,9130.1,9194.7,1.0071,0.0,0.140825,0.141654,0.29147,78.95,0.1496,0
1,mp3_128,1,6214.5,1,1,0.816604,0.1096,8634.8,8742.5,1.0125,0.0,0.161585,0.165691,0.31579,78.95,0.1537,0
