file,bytes,engine_version,score,verdict,evidence_families,score_breakdown,hires_verdict,sample_rate,bit_depth,cutoff_hz,cutoff_std_hz,energy_ratio,residual_floor_db,container_kbps,stereo_run,seam
fd-exchange-v2-2026-08-0001.flac,6929988,1.13.0,90,FAKE_CERTAIN,cnn+mdct,"{""Rule8NyquistException"":0,""Rule1MP3Bitrate"":0,""Rule2Cutoff"":5,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule13MDCTAlignment"":55,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule12MLClassifier"":30}",NOT_HIRES,44100,16,19000.0,0.0,6.309e-07,-33.5,924,1.33,0.568
fd-exchange-v2-2026-08-0002.flac,5033121,1.13.0,92,FAKE_CERTAIN,cnn+spectral+stereo+temporal,"{""Rule8NyquistException"":0,""Rule11CassetteDetection"":0,""Rule1MP3Bitrate"":50,""Rule2Cutoff"":13,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule10Consistency"":0,""Rule12MLClassifier"":29}",NOT_HIRES,44100,16,17250.0,0.0,6.842e-05,nan,671,7.57,0.934
fd-exchange-v2-2026-08-0003.flac,5234941,1.13.0,0,AUTHENTIC,,"{""Rule8NyquistException"":-50,""Rule1MP3Bitrate"":0,""Rule2Cutoff"":0,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule13MDCTAlignment"":0,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule12MLClassifier"":0}",NOT_HIRES,44100,16,22050.0,0.0,6.864e-06,nan,698,1.00,0.235
fd-exchange-v2-2026-08-0004.flac,5692547,1.13.0,18,AUTHENTIC,stereo+temporal,"{""Rule8NyquistException"":0,""Rule11CassetteDetection"":0,""Rule1MP3Bitrate"":0,""Rule2Cutoff"":18,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule12MLClassifier"":0}",NOT_HIRES,44100,16,16250.0,0.0,4.054e-09,nan,759,10.65,0.715
fd-exchange-v2-2026-08-0005.flac,7073406,1.13.0,56,FAKE_CERTAIN,mdct+stereo+temporal,"{""Rule8NyquistException"":0,""Rule1MP3Bitrate"":0,""Rule2Cutoff"":1,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule13MDCTAlignment"":55,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule12MLClassifier"":0}",NOT_HIRES,48000,16,21750.0,0.0,4.897e-06,-50.7,943,12.07,0.733
fd-exchange-v2-2026-08-0006.flac,6187226,1.13.0,20,AUTHENTIC,stereo+temporal,"{""Rule8NyquistException"":0,""Rule1MP3Bitrate"":0,""Rule2Cutoff"":7,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule13MDCTAlignment"":0,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule12MLClassifier"":13}",NOT_HIRES,48000,16,20500.0,0.0,2.455e-05,-50.5,825,2.56,0.689
fd-exchange-v2-2026-08-0007.flac,1749776,1.13.0,6,AUTHENTIC,temporal,"{""Rule8NyquistException"":0,""Rule11CassetteDetection"":0,""Rule1MP3Bitrate"":0,""Rule2Cutoff"":6,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule13MDCTAlignment"":0,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule12MLClassifier"":0}",NOT_HIRES,44100,16,18750.0,0.0,3.024e-07,-28.8,477,1.08,0.610
fd-exchange-v2-2026-08-0008.flac,5875902,1.13.0,125,FAKE_CERTAIN,mdct+spectral+stereo+temporal,"{""Rule8NyquistException"":0,""Rule11CassetteDetection"":0,""Rule1MP3Bitrate"":50,""Rule2Cutoff"":20,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule13MDCTAlignment"":55,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0}",NOT_HIRES,48000,16,18000.0,0.0,4.065e-07,nan,783,31.88,0.704
fd-exchange-v2-2026-08-0009.flac,4571222,1.13.0,63,FAKE_CERTAIN,spectral+stereo+temporal,"{""Rule8NyquistException"":0,""Rule11CassetteDetection"":0,""Rule1MP3Bitrate"":50,""Rule2Cutoff"":13,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule10Consistency"":0,""Rule12MLClassifier"":0}",NOT_HIRES,44100,16,17250.0,0.0,4.127e-08,nan,609,3.93,0.896
fd-exchange-v2-2026-08-0010.flac,4928741,1.13.0,88,FAKE_CERTAIN,cnn+spectral+stereo+temporal,"{""Rule8NyquistException"":0,""Rule11CassetteDetection"":0,""Rule1MP3Bitrate"":50,""Rule2Cutoff"":13,""Rule424BitSuspect"":0,""Rule5HighVariance"":0,""Rule6HighQualityProtection"":0,""Rule14TemporalSeam"":0,""Rule15StereoSeam"":0,""Rule10Consistency"":0,""Rule12MLClassifier"":25}",NOT_HIRES,44100,16,17250.0,0.0,1.368e-06,nan,657,8.15,0.882
