file,idem_R_phase0,idem_R_best_canonical,idem_best_phase
fd-exchange-v2-2026-08-0001.flac,1.77,1.59,529
fd-exchange-v2-2026-08-0002.flac,3.71,3.64,529
fd-exchange-v2-2026-08-0003.flac,2.01,2.00,529
fd-exchange-v2-2026-08-0004.flac,1.17,1.17,0
fd-exchange-v2-2026-08-0005.flac,3.52,3.44,47
fd-exchange-v2-2026-08-0006.flac,0.71,0.71,0
fd-exchange-v2-2026-08-0007.flac,0.71,0.71,0
fd-exchange-v2-2026-08-0008.flac,3.73,3.73,0
fd-exchange-v2-2026-08-0009.flac,2.73,2.73,0
fd-exchange-v2-2026-08-0010.flac,2.21,2.21,0
fd-exchange-v2-2026-08-0011.flac,2.27,2.16,47
fd-exchange-v2-2026-08-0012.flac,1.91,1.91,0
fd-exchange-v2-2026-08-0013.flac,2.54,2.54,0
fd-exchange-v2-2026-08-0014.flac,2.28,2.25,47
fd-exchange-v2-2026-08-0015.flac,1.07,1.07,0
fd-exchange-v2-2026-08-0016.flac,2.76,2.73,529
fd-exchange-v2-2026-08-0017.flac,1.97,1.97,0
fd-exchange-v2-2026-08-0018.flac,2.50,2.40,47
fd-exchange-v2-2026-08-0019.flac,3.09,3.03,47
fd-exchange-v2-2026-08-0020.flac,3.45,3.39,47
fd-exchange-v2-2026-08-0021.flac,2.16,2.11,529
fd-exchange-v2-2026-08-0022.flac,0.86,0.86,0
fd-exchange-v2-2026-08-0023.flac,1.21,1.21,0
fd-exchange-v2-2026-08-0024.flac,1.92,1.86,529
fd-exchange-v2-2026-08-0025.flac,1.84,1.84,0
fd-exchange-v2-2026-08-0026.flac,3.80,3.67,47
fd-exchange-v2-2026-08-0027.flac,3.25,3.19,529
fd-exchange-v2-2026-08-0028.flac,2.25,2.25,0
fd-exchange-v2-2026-08-0029.flac,2.32,2.32,0
fd-exchange-v2-2026-08-0030.flac,1.70,1.70,0
fd-exchange-v2-2026-08-0031.flac,0.95,0.95,0
fd-exchange-v2-2026-08-0032.flac,2.95,2.95,0
fd-exchange-v2-2026-08-0033.flac,nan,nan,
fd-exchange-v2-2026-08-0034.flac,2.83,2.82,47
fd-exchange-v2-2026-08-0035.flac,2.56,2.56,0
fd-exchange-v2-2026-08-0036.flac,1.96,1.90,529
fd-exchange-v2-2026-08-0037.flac,3.12,3.04,529
fd-exchange-v2-2026-08-0038.flac,3.11,3.07,47
fd-exchange-v2-2026-08-0039.flac,0.19,0.19,0
fd-exchange-v2-2026-08-0040.flac,1.32,1.32,0
fd-exchange-v2-2026-08-0041.flac,1.97,1.94,529
fd-exchange-v2-2026-08-0042.flac,1.68,1.68,47
fd-exchange-v2-2026-08-0043.flac,3.00,3.00,0
fd-exchange-v2-2026-08-0044.flac,4.03,3.97,47
fd-exchange-v2-2026-08-0045.flac,2.62,2.60,529
fd-exchange-v2-2026-08-0046.flac,0.90,0.90,0
fd-exchange-v2-2026-08-0047.flac,2.19,2.18,47
fd-exchange-v2-2026-08-0048.flac,2.89,2.86,529
fd-exchange-v2-2026-08-0049.flac,2.91,2.89,47
fd-exchange-v2-2026-08-0050.flac,0.50,0.50,0
fd-exchange-v2-2026-08-0051.flac,2.83,2.82,529
fd-exchange-v2-2026-08-0052.flac,4.48,4.48,0
fd-exchange-v2-2026-08-0053.flac,2.18,2.18,0
fd-exchange-v2-2026-08-0054.flac,1.84,1.78,47
fd-exchange-v2-2026-08-0055.flac,0.88,0.85,47
fd-exchange-v2-2026-08-0056.flac,4.18,4.11,47
fd-exchange-v2-2026-08-0057.flac,3.23,3.21,529
fd-exchange-v2-2026-08-0058.flac,2.40,2.33,529
fd-exchange-v2-2026-08-0059.flac,0.90,0.90,0
fd-exchange-v2-2026-08-0060.flac,3.24,3.24,0
fd-exchange-v2-2026-08-0061.flac,2.74,2.68,529
fd-exchange-v2-2026-08-0062.flac,1.56,1.56,0
fd-exchange-v2-2026-08-0063.flac,7.19,6.94,529
