population,track,cliff_depth_db
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,-19.1
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,-30.7
genuine,002-03-Hraach-Let-it-go.flac,-31.4
genuine,003-01-Thor-Dari-lullaby.flac,-15.3
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,-21.1
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,-36.3
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,-0.9
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,-30.8
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,-56.5
genuine,009-03-Ilya-Beshevli-To-solitude.flac,7.9
genuine,010-06-Jon-Hassell-These-times.flac,-12.0
genuine,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,-33.8
genuine,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,-39.0
genuine,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,11.2
genuine,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,-1.0
genuine,015-08-Jos-Gonz-lez-Vissel.flac,-0.0
genuine,016-03-Memory-Tapes-Green-knight.flac,-15.7
genuine,017-13-Cafe-Del-Mar-Submariner.flac,-13.4
genuine,018-04-Bag-o-wire-Resovoir.flac,-25.6
genuine,019-04-Kohi-Jadu.flac,-18.7
genuine,020-06-Bola-Tigantabame.flac,-37.2
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,-61.6
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,-17.7
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,-34.4
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,1.6
genuine,025-07-Bolalar-Lola.flac,-29.3
genuine,026-06-Oumou-Dioubat-Siyala.flac,-41.4
genuine,027-01-Dimlite-Kitty-Cradle-Fog.flac,-15.1
genuine,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,-8.5
genuine,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,-15.0
genuine,030-06-S-bastien-Tellier-Benny.flac,-19.0
genuine,031-07-Shkoon-Just-Emma-Id.flac,-14.8
genuine,032-05-2kilos-more-Cache-feu.flac,-7.8
genuine,033-01-Daylight-Rising.flac,-25.2
genuine,034-09-Snow-Ghosts-Bowline.flac,-23.6
genuine,035-16-Slow-Air-In-Dropped-D.flac,-37.3
genuine,036-08-Nicolas-Comment-Amaurose.flac,-29.5
genuine,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,-11.1
genuine,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,-17.5
genuine,039-13-Kat-Onoma-Change-blues.flac,-32.1
direct,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,-48.5
direct,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,-63.9
direct,002-03-Hraach-Let-it-go.flac,-65.2
direct,003-01-Thor-Dari-lullaby.flac,-60.4
direct,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,-56.1
direct,005-17-Los-Seven-Del-Swing-Celoso.flac,-61.1
direct,006-09-Mahmoud-Ahmed-Tezeta.flac,-40.5
direct,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,-43.0
direct,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,-61.7
