tier,track,max_run,mean_run,dead_frac
owner-knowledge,01 Sunlight (Breeze & Styles remix).wav,0.0,0.0,0.0013056835637480799
owner-knowledge,02 Feeling Fine (Darren Styles mix).wav,0.0,0.0,0.000409626216077829
owner-knowledge,03 Blue Anthem.wav,0.0,0.0,0.00017921146953405018
owner-knowledge,04 Chemical Love (Hardcore mix).wav,0.0,0.0,0.0001408090117767537
owner-knowledge,05 Taking Me Higher.wav,0.0,0.0,0.0003456221198156682
owner-knowledge,06 Aurora.wav,0.0,0.0,0.0002304147465437788
owner-knowledge,07 Heartbeatz (Scott Brown remix).wav,0.0,0.0,0.0002560163850486431
owner-knowledge,08 I Would Stay (Scott Brown Hardcore mix).wav,0.0,0.0,0.00015360983102918587
owner-knowledge,09 Drop the Beats.wav,0.0,0.0,0.0002560163850486431
owner-knowledge,10 Suck My…!.wav,0.0,0.0,0.00024321556579621096
owner-knowledge,11 You’re My Angel.wav,0.0,0.0,0.00026881720430107527
owner-knowledge,12 Cokane (Back to Basics mix).wav,0.0,0.0,0.00026881720430107527
owner-knowledge,"13 24,7 (Breeze & Styles remix).wav",0.0,0.0,0.00012800819252432156
owner-knowledge,14 The Craft.wav,0.0,0.0,0.00010240655401945725
owner-knowledge,15 Free Again.wav,0.0,0.0,0.00010240655401945725
owner-knowledge,16 Dancing the Night Away (Gammer remix).wav,4.5,2.0,0.02190220174091142
owner-knowledge,17 Injected With a Poison (Hixxy’s HTID remix (Harcode Til I Die)).wav,0.0,0.0,0.00035842293906810036
owner-knowledge,01 Won’t Forget These Days.wav,0.0,0.0,0.00033282130056323605
owner-knowledge,02 Fell From the Stars.wav,0.0,0.0,0.00033282130056323605
owner-knowledge,03 Make the Beat Drop.wav,0.0,0.0,0.0002304147465437788
owner-knowledge,04 The Way (Put Your Hand in My Hand) (Breeze & Styles remix).wav,0.0,0.0,0.00024321556579621096
owner-knowledge,05 Be Cool (Dougal & Gammer remix).wav,0.0,0.0,0.0001408090117767537
owner-knowledge,06 Pretty Green Eyes (hardcore remix).wav,0.0,0.0,0.00017921146953405018
owner-knowledge,07 Fly With You.wav,0.0,0.0,0.0002304147465437788
owner-knowledge,08 One and Only.wav,0.0,0.0,0.00017921146953405018
owner-knowledge,09 Star Tonight.wav,0.0,0.0,0.0002048131080389145
owner-knowledge,10 The Piano Song.wav,0.0,0.0,0.00021761392729134665
owner-knowledge,11 Yo DJ.wav,0.0,0.0,0.00026881720430107527
owner-knowledge,12 Through the Darkness.wav,0.0,0.0,0.00021761392729134665
owner-knowledge,13 Angel Eyes.wav,0.0,0.0,0.00026881720430107527
owner-knowledge,14 Stomp.wav,0.0,0.0,0.00017921146953405018
owner-knowledge,15 No More Joking (Sy & Unknown remix).wav,0.0,0.0,0.0001408090117767537
owner-knowledge,16 Eternal Darkness.wav,0.0,0.0,0.00015360983102918587
owner-knowledge,17 Know the Score.wav,0.0,0.0,0.00017921146953405018
eye,01 Groove Control.wav,0.0,0.0,0.0007936507936507937
eye,02 Discoland.wav,0.0,0.0,0.00015360983102918587
eye,03 Feel Real Free.wav,0.0,0.0,0.000409626216077829
eye,04 Samplemania.wav,0.0,0.0,0.00012800819252432156
eye,05 In Complete Darkness (Slipmatt remix).wav,0.0,0.0,0.00012800819252432156
eye,06 Take Me Away (Slipmatt remix).wav,0.0,0.0,0.0002048131080389145
eye,07 Perfect Dreams.wav,0.0,0.0,0.00015360983102918587
eye,08 Let the Music.wav,0.0,0.0,0.00017921146953405018
eye,09 On Top (Hixxy remix).wav,0.0,0.0,0.00019201228878648233
eye,10 Love of My Life.wav,0.0,0.0,0.0001408090117767537
eye,11 Pacific Sun.wav,0.0,0.0,0.00017921146953405018
eye,12 Devotion.wav,0.0,0.0,0.0006144393241167435
eye,13 Luv U More.wav,0.0,0.0,0.00010240655401945725
eye,14 Six Days.wav,0.0,0.0,0.0002304147465437788
eye,15 Party Time (remix).wav,0.0,0.0,0.00024321556579621096
eye,16 Really Love You.wav,0.0,0.0,0.00016641065028161802
eye,17 Power of Love.wav,0.0,0.0,0.0002816180235535074
eye,18 Rainbow Islands.wav,0.0,0.0,0.00016641065028161802
eye,19 Paradise in Dreams.wav,0.0,0.0,0.00042242703533026114
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t01.flac,0.0,0.0,0.00012800819252432156
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t02.flac,0.0,0.0,0.00012800819252432156
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t03.flac,0.0,0.0,0.00012800819252432156
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t04.flac,0.0,0.0,0.00017921146953405018
genuine,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__101. Brick House.flac,0.0,0.0,0.0005295429208472687
genuine,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__107. Burning Down The House.flac,0.0,0.0,0.0005295429208472687
genuine,BG2026-08-09__BG2026-08-09t01.flac,0.0,0.0,0.00033282130056323605
genuine,BG2026-08-09__BG2026-08-09t02.flac,0.0,0.0,0.00026881720430107527
genuine,OBF2026-08-06.ca-14.flac__01-Just Around The Corner .flac,0.0,0.0,0.00043271915131211613
genuine,OBF2026-08-06.ca-14.flac__02-If You See Their Lips Moving.flac,0.0,0.0,0.00040480178671133447
genuine,OBF2026-08-07.ca-14.flac__01-Just Around The Corner .flac,0.0,0.0,0.0002512562814070352
genuine,OBF2026-08-07.ca-14.flac__02-The Way We Rise.flac,0.0,0.0,0.0002512562814070352
genuine,RFTS2026-08-08.Beverly__01 Althea.flac,0.0,0.0,0.00047363031233998976
genuine,RFTS2026-08-08.Beverly__02 Tennessee Jed.flac,0.0,0.0,0.0005504352278545827
genuine,SRB2026-08-08__01. When The Circus Comes To Time (Los Lobos).flac,0.0,0.0,0.00030721966205837174
genuine,SRB2026-08-08__01.02. Ramble On Rose.flac,0.0,0.0,0.0002560163850486431
genuine,TST2026-08-08.2__02 Hotel Columbo.flac,0.0,0.0,0.00030709101060859853
genuine,TST2026-08-08.2__03 Flight.flac,0.0,0.0,0.0004606365159128978
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t01.flac,0.0,0.0,0.00026881720430107527
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t02.flac,0.0,0.0,0.00044802867383512545
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t03.flac,0.0,0.0,0.0003200204813108039
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t04.flac,0.0,0.0,0.00038402457757296467
genuine,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t01.flac,0.0,0.0,0.00024321556579621096
genuine,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t02.flac,0.0,0.0,0.0005376344086021505
genuine,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t03.flac,0.0,0.0,0.00024321556579621096
genuine,ToddSnider2015-06-21.ca-14.flac16__toddSnider01.flac,0.0,0.0,0.00017921146953405018
genuine,ToddSnider2015-06-21.ca-14.flac16__toddSnider02.flac,0.0,0.0,0.00024321556579621096
genuine,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t01.flac,0.0,0.0,0.0002304147465437788
genuine,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t02.flac,0.0,0.0,0.0002048131080389145
genuine,bellarayneband2026-08-13.ca-14.flac__01-Hard To Handle.flac,0.0,0.0,0.0007803790412486065
genuine,bellarayneband2026-08-13.ca-14.flac__02-Stand Back.flac,0.5,0.5,0.0033166109253065777
genuine,bellarayneband2026-08-13.ca-14.flac__03-They Love Each Other.flac,0.0,0.0,0.0017558528428093646
genuine,bt2026-08-11__01 Stand.flac,0.0,0.0,0.00044802867383512545
genuine,bt2026-08-11__02 Run-Around.flac,0.0,0.0,0.0002944188428059396
genuine,bt2026-08-11__03 Dropping Some NYC.flac,0.0,0.0,0.0006016385048643113
genuine,bt2026-08-11__04 Keyboard Solo.flac,0.0,0.0,0.00038402457757296467
genuine,calexico2003-03-20__Calexico_2003-03-20t01.flac,0.0,0.0,0.00033282130056323605
genuine,calexico2003-03-20__Calexico_2003-03-20t02.flac,0.0,0.0,0.00033282130056323605
genuine,calexico2003-10-05__Calexico_2003-10-05t01.flac,0.0,0.0,0.00026881720430107527
genuine,calexico2003-10-05__Calexico_2003-10-05t02.flac,0.0,0.0,8.960573476702509e-05
