tier,track,shipped_median,max_variant
owner-knowledge,01 Sunlight (Breeze & Styles remix).wav,2.15,84.0
owner-knowledge,02 Feeling Fine (Darren Styles mix).wav,3.50,52.0
owner-knowledge,03 Blue Anthem.wav,3.45,32.0
owner-knowledge,04 Chemical Love (Hardcore mix).wav,3.53,38.0
owner-knowledge,05 Taking Me Higher.wav,2.07,27.0
owner-knowledge,06 Aurora.wav,2.50,33.0
owner-knowledge,07 Heartbeatz (Scott Brown remix).wav,3.40,42.0
owner-knowledge,08 I Would Stay (Scott Brown Hardcore mix).wav,3.62,46.0
owner-knowledge,09 Drop the Beats.wav,3.35,46.0
owner-knowledge,10 Suck My…!.wav,3.71,40.0
owner-knowledge,11 You’re My Angel.wav,3.37,42.0
owner-knowledge,12 Cokane (Back to Basics mix).wav,3.71,54.0
owner-knowledge,"13 24,7 (Breeze & Styles remix).wav",4.04,35.0
owner-knowledge,14 The Craft.wav,3.42,45.0
owner-knowledge,15 Free Again.wav,3.40,37.0
owner-knowledge,16 Dancing the Night Away (Gammer remix).wav,2.18,29.0
owner-knowledge,17 Injected With a Poison (Hixxy’s HTID remix (Harcode Til I Die)).wav,3.19,52.0
owner-knowledge,01 Won’t Forget These Days.wav,3.00,46.0
owner-knowledge,02 Fell From the Stars.wav,3.27,33.0
owner-knowledge,03 Make the Beat Drop.wav,3.23,35.0
owner-knowledge,04 The Way (Put Your Hand in My Hand) (Breeze & Styles remix).wav,3.53,38.0
owner-knowledge,05 Be Cool (Dougal & Gammer remix).wav,3.54,37.0
owner-knowledge,06 Pretty Green Eyes (hardcore remix).wav,3.82,46.0
owner-knowledge,07 Fly With You.wav,3.76,39.0
owner-knowledge,08 One and Only.wav,2.75,36.0
owner-knowledge,09 Star Tonight.wav,3.31,29.0
owner-knowledge,10 The Piano Song.wav,2.86,37.0
owner-knowledge,11 Yo DJ.wav,2.88,32.0
owner-knowledge,12 Through the Darkness.wav,2.67,25.0
owner-knowledge,13 Angel Eyes.wav,3.50,42.0
owner-knowledge,14 Stomp.wav,3.00,31.0
owner-knowledge,15 No More Joking (Sy & Unknown remix).wav,2.89,33.0
owner-knowledge,16 Eternal Darkness.wav,3.50,35.0
owner-knowledge,17 Know the Score.wav,3.61,30.0
eye,01 Groove Control.wav,2.24,43.0
eye,02 Discoland.wav,3.50,30.0
eye,03 Feel Real Free.wav,3.35,32.0
eye,04 Samplemania.wav,3.44,37.0
eye,05 In Complete Darkness (Slipmatt remix).wav,3.71,34.0
eye,06 Take Me Away (Slipmatt remix).wav,3.44,34.0
eye,07 Perfect Dreams.wav,3.46,34.0
eye,08 Let the Music.wav,3.39,37.0
eye,09 On Top (Hixxy remix).wav,3.65,36.0
eye,10 Love of My Life.wav,4.00,35.0
eye,11 Pacific Sun.wav,3.85,31.0
eye,12 Devotion.wav,3.50,36.0
eye,13 Luv U More.wav,3.35,30.0
eye,14 Six Days.wav,2.15,21.0
eye,15 Party Time (remix).wav,3.24,28.0
eye,16 Really Love You.wav,3.56,38.0
eye,17 Power of Love.wav,3.50,45.0
eye,18 Rainbow Islands.wav,3.40,33.0
eye,19 Paradise in Dreams.wav,2.38,26.0
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t01.flac,1.00,17.0
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t02.flac,0.00,1.0
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t03.flac,1.00,1.0
genuine,AstralProject2000-06-10.flac16__astralproject2000-06-10t04.flac,1.00,2.0
genuine,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__101. Brick House.flac,2.39,55.0
genuine,BAC2026-08-12.RODENT5-ZOOMH6-FLAC8__107. Burning Down The House.flac,1.00,3.0
genuine,OBF2026-08-06.ca-14.flac__01-Just Around The Corner .flac,1.37,10.0
genuine,OBF2026-08-06.ca-14.flac__02-If You See Their Lips Moving.flac,1.71,24.0
genuine,OBF2026-08-07.ca-14.flac__01-Just Around The Corner .flac,1.00,3.0
genuine,OBF2026-08-07.ca-14.flac__02-The Way We Rise.flac,1.00,3.0
genuine,RFTS2026-08-08.Beverly__01 Althea.flac,1.00,2.0
genuine,RFTS2026-08-08.Beverly__02 Tennessee Jed.flac,1.00,2.0
genuine,SRB2026-08-08__01. When The Circus Comes To Time (Los Lobos).flac,1.13,7.0
genuine,SRB2026-08-08__01.02. Ramble On Rose.flac,1.09,5.0
genuine,TST2026-08-08.2__02 Hotel Columbo.flac,1.18,7.0
genuine,TST2026-08-08.2__03 Flight.flac,1.21,9.0
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t01.flac,1.00,7.0
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t02.flac,1.00,4.0
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t03.flac,1.00,4.0
genuine,ToddSnider2013-05-09.KM-140.OldNeumanntapr.flac1644__ToddSnider2013-05-09set1t04.flac,1.00,3.0
genuine,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t01.flac,1.33,13.0
genuine,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t02.flac,0.00,1.0
genuine,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t03.flac,0.00,2.0
genuine,ToddSnider2015-06-21.ca-14.flac16__toddSnider01.flac,1.00,3.0
genuine,ToddSnider2015-06-21.ca-14.flac16__toddSnider02.flac,1.00,3.0
genuine,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t01.flac,0.00,1.0
genuine,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t02.flac,0.00,1.0
genuine,bellarayneband2026-08-13.ca-14.flac__01-Hard To Handle.flac,3.75,101.0
genuine,bellarayneband2026-08-13.ca-14.flac__02-Stand Back.flac,2.84,65.0
genuine,bellarayneband2026-08-13.ca-14.flac__03-They Love Each Other.flac,1.55,15.0
genuine,calexico2003-03-20__Calexico_2003-03-20t01.flac,1.00,3.0
genuine,calexico2003-03-20__Calexico_2003-03-20t02.flac,1.00,2.0
genuine,calexico2003-10-05__Calexico_2003-10-05t01.flac,1.00,2.0
genuine,calexico2003-10-05__Calexico_2003-10-05t02.flac,0.00,1.0
genuine,calexico2003-10-06__Calexico_2003-10-06t01.flac,1.00,2.0
genuine,calexico2003-10-06__Calexico_2003-10-06t02.flac,1.00,2.0
genuine,calexico2003-10-07__Calexico_2003-10-07t01.flac,0.00,1.0
