disc,track,basis,sha12,engine_version,verdict,score,families,idem_R
CD3 Dougal and Styles,01 Groove Control.wav,eye,257f844ff3f5,1.11.4,WARNING,50,spectral+stereo,3.200
CD1 Darren Styles,01 Sunlight (Breeze & Styles remix).wav,owner-knowledge,54431700afb4,1.11.4,WARNING,50,spectral+stereo,2.249
CD2 Dougal,01 Won’t Forget These Days.wav,owner-knowledge,c3347324d716,1.11.4,AUTHENTIC,14,stereo,2.384
CD3 Dougal and Styles,02 Discoland.wav,eye,d68f47e9b0ed,1.11.4,WARNING,50,spectral+stereo,2.724
CD1 Darren Styles,02 Feeling Fine (Darren Styles mix).wav,owner-knowledge,f5e20209db8f,1.11.4,AUTHENTIC,0,stereo,3.144
CD2 Dougal,02 Fell From the Stars.wav,owner-knowledge,2d0afa04e946,1.11.4,WARNING,50,spectral+stereo,3.076
CD1 Darren Styles,03 Blue Anthem.wav,owner-knowledge,cf4e293021d1,1.11.4,AUTHENTIC,1,stereo,3.059
CD3 Dougal and Styles,03 Feel Real Free.wav,eye,12def923bf05,1.11.4,WARNING,50,spectral+stereo,2.665
CD2 Dougal,03 Make the Beat Drop.wav,owner-knowledge,9de68d2271dd,1.11.4,AUTHENTIC,2,stereo,3.251
CD1 Darren Styles,04 Chemical Love (Hardcore mix).wav,owner-knowledge,a09da01e80db,1.11.4,AUTHENTIC,0,stereo,3.279
CD3 Dougal and Styles,04 Samplemania.wav,eye,cecf5cda2244,1.11.4,WARNING,50,spectral+stereo,3.415
CD2 Dougal,04 The Way (Put Your Hand in My Hand) (Breeze & Styles remix).wav,owner-knowledge,f9d2961789b2,1.11.4,WARNING,50,spectral+stereo,3.686
CD2 Dougal,05 Be Cool (Dougal & Gammer remix).wav,owner-knowledge,0a083373ea0c,1.11.4,WARNING,50,spectral+stereo,3.880
CD3 Dougal and Styles,05 In Complete Darkness (Slipmatt remix).wav,eye,46b27377d9ff,1.11.4,WARNING,50,spectral+stereo,3.102
CD1 Darren Styles,05 Taking Me Higher.wav,owner-knowledge,4d9dfb5b7571,1.11.4,WARNING,50,spectral+stereo,2.617
CD1 Darren Styles,06 Aurora.wav,owner-knowledge,b4bd1fbf4d06,1.11.4,AUTHENTIC,0,stereo,3.212
CD2 Dougal,06 Pretty Green Eyes (hardcore remix).wav,owner-knowledge,08007f9e05e6,1.11.4,WARNING,32,cnn+stereo,3.136
CD3 Dougal and Styles,06 Take Me Away (Slipmatt remix).wav,eye,9fbe2da7f06e,1.11.4,WARNING,50,spectral+stereo,3.699
CD2 Dougal,07 Fly With You.wav,owner-knowledge,3a0d5707e1f9,1.11.4,WARNING,50,spectral+stereo,2.855
CD1 Darren Styles,07 Heartbeatz (Scott Brown remix).wav,owner-knowledge,b637b55a782b,1.11.4,AUTHENTIC,2,stereo,3.003
CD3 Dougal and Styles,07 Perfect Dreams.wav,eye,82f4770eb9d8,1.11.4,WARNING,50,spectral+stereo,2.896
CD1 Darren Styles,08 I Would Stay (Scott Brown Hardcore mix).wav,owner-knowledge,f2bb196b9d3c,1.11.4,AUTHENTIC,7,stereo,2.093
CD3 Dougal and Styles,08 Let the Music.wav,eye,9b1e0ba37cbb,1.11.4,WARNING,50,spectral+stereo,3.051
CD2 Dougal,08 One and Only.wav,owner-knowledge,75e41e444627,1.11.4,WARNING,50,spectral+stereo,4.023
CD1 Darren Styles,09 Drop the Beats.wav,owner-knowledge,0880880d0c63,1.11.4,AUTHENTIC,1,stereo,3.072
CD3 Dougal and Styles,09 On Top (Hixxy remix).wav,eye,c9caa9e463aa,1.11.4,WARNING,50,spectral+stereo,3.176
CD2 Dougal,09 Star Tonight.wav,owner-knowledge,71a3abff2dd5,1.11.4,WARNING,50,spectral+stereo,3.546
CD3 Dougal and Styles,10 Love of My Life.wav,eye,e1c76453fa35,1.11.4,WARNING,50,spectral+stereo,2.519
CD1 Darren Styles,10 Suck My…!.wav,owner-knowledge,cf3bf684031b,1.11.4,AUTHENTIC,2,stereo,3.569
CD2 Dougal,10 The Piano Song.wav,owner-knowledge,6b8defdcaedf,1.11.4,WARNING,50,spectral+stereo,3.435
CD3 Dougal and Styles,11 Pacific Sun.wav,eye,574d6971a7d9,1.11.4,WARNING,50,spectral+stereo,3.745
CD2 Dougal,11 Yo DJ.wav,owner-knowledge,c43f8fdc00e1,1.11.4,WARNING,50,spectral+stereo,4.085
CD1 Darren Styles,11 You’re My Angel.wav,owner-knowledge,61f96efc0539,1.11.4,WARNING,50,spectral+stereo,2.454
CD1 Darren Styles,12 Cokane (Back to Basics mix).wav,owner-knowledge,89391dfeb948,1.11.4,WARNING,31,cnn+stereo,3.503
CD3 Dougal and Styles,12 Devotion.wav,eye,110c112ec05d,1.11.4,WARNING,50,spectral+stereo,2.633
CD2 Dougal,12 Through the Darkness.wav,owner-knowledge,695818e3309a,1.11.4,AUTHENTIC,1,stereo,3.457
CD1 Darren Styles,"13 24,7 (Breeze & Styles remix).wav",owner-knowledge,52cf265aa83b,1.11.4,AUTHENTIC,3,stereo,3.005
CD2 Dougal,13 Angel Eyes.wav,owner-knowledge,f9d2d079a6be,1.11.4,AUTHENTIC,2,stereo,2.764
CD3 Dougal and Styles,13 Luv U More.wav,eye,4e178447fab9,1.11.4,AUTHENTIC,1,stereo,2.745
CD3 Dougal and Styles,14 Six Days.wav,eye,0dbdf04bad94,1.11.4,WARNING,50,spectral+stereo,3.139
CD2 Dougal,14 Stomp.wav,owner-knowledge,8fdd33e1a2ed,1.11.4,WARNING,50,spectral+stereo,3.667
CD1 Darren Styles,14 The Craft.wav,owner-knowledge,fe515044a1fc,1.11.4,AUTHENTIC,1,stereo,3.594
CD1 Darren Styles,15 Free Again.wav,owner-knowledge,ac494c5a4f1c,1.11.4,AUTHENTIC,1,stereo,3.354
CD2 Dougal,15 No More Joking (Sy & Unknown remix).wav,owner-knowledge,cb7836dedb97,1.11.4,WARNING,50,spectral+stereo,3.152
CD3 Dougal and Styles,15 Party Time (remix).wav,eye,3fcc0675445e,1.11.4,WARNING,50,spectral+stereo,3.209
CD1 Darren Styles,16 Dancing the Night Away (Gammer remix).wav,owner-knowledge,782a4ad4a50e,1.11.4,WARNING,31,cnn+spectral+stereo,3.985
CD2 Dougal,16 Eternal Darkness.wav,owner-knowledge,dce141e40359,1.11.4,WARNING,50,spectral+stereo,3.815
CD3 Dougal and Styles,16 Really Love You.wav,eye,13031ae5f697,1.11.4,WARNING,50,spectral+stereo,3.330
CD1 Darren Styles,17 Injected With a Poison (Hixxy’s HTID remix (Harcode Til I Die)).wav,owner-knowledge,df085ae73609,1.11.4,AUTHENTIC,2,stereo,1.886
CD2 Dougal,17 Know the Score.wav,owner-knowledge,597c3dcd61ca,1.11.4,AUTHENTIC,0,spectral+stereo,3.128
CD3 Dougal and Styles,17 Power of Love.wav,eye,1712fa9b74a9,1.11.4,WARNING,50,spectral+stereo,2.979
CD3 Dougal and Styles,18 Rainbow Islands.wav,eye,8dc4068bf611,1.11.4,WARNING,50,spectral+stereo+temporal,3.239
CD3 Dougal and Styles,19 Paradise in Dreams.wav,eye,0c42e1825587,1.11.4,WARNING,50,spectral+stereo,3.076
