file_id,peak_ratio,best_offset
b33ca670f437,1.1707,170
c2f48000dbd8,1.2381,303
babcf48d6881,1.1879,590
09eeca8b478e,1.1462,678
b26b402cbb2f,1.25,715
88884a4042da,1.2976,176
e4f691554609,1.1739,721
d5032b64f41f,1.3253,904
b8c0fa4a79ae,1.407,547
356cca87d845,1.3258,683
651a25184a1e,1.2529,803
d13595861f50,1.1868,351
1ec3bfc656e2,1.2716,9
9debb20f0128,1.3012,214
7fdc7c9afd84,1.2644,687
b896cfc11bbd,1.4941,551
6aa1c4fe3478,1.2022,413
f9fcf35f1191,1.253,266
8064cb371e36,1.275,942
8f10cf6294b1,1.2048,289
795f0aa2eaf8,1.3373,826
60a6c946b036,1.186,312
878622bf0753,1.2749,669
4a2533394e23,1.2749,163
f16a22f4c80c,1.2606,507
883826200808,1.2047,415
62ba7058299c,1.3006,856
455842616a8c,1.1852,132
e66c030f172c,1.25,716
482b6ebaa04d,1.241,162
a35465d52a2a,1.186,147
4f147c303d6b,1.2892,35
c9313491a8e3,1.2069,898
2fb6a79efe95,1.2169,464
76b6f6743a82,1.2663,687
2e7d2e1e7f27,1.1807,105
445f97370014,1.3023,89
3862a9a820bf,1.325,91
a1b3c03c1b0a,1.1882,702
d250666609ae,1.275,898
34eeeb462025,1.2024,28
cc751045773d,1.2455,441
f8cfb0964dec,1.3214,752
ce59fcb6c0ad,1.2273,713
201a8ffeb7ab,1.2317,126
6d6838ec39b1,1.2262,965
b63d6f61b809,1.2663,872
b96e7d9f4e01,1.2927,816
eb23968a8038,1.2561,846
0fc024bdb608,1.2262,315
562e9453b1c5,1.2529,921
db30c91d2803,1.3176,651
28c16dfb51be,1.1765,759
abe3605ec99c,1.2956,571
5999a4fb783e,1.2222,985
1a821b3162d1,1.2216,966
83395108241f,1.4,716
4992d1c07f29,1.1779,65
c5bd7b0464c0,1.2439,708
c0c8c8443337,1.1628,707
43ba87280502,1.1481,883
af6ae424c7fc,1.253,607
3bd468a835d2,1.3095,34
16ba493104ad,1.096,908
a81897a87412,1.3373,966
bca3c5681fc7,1.3018,21
aaa5b496efcd,1.3095,614
cfd39ed33693,1.3452,651
64638b5fcf36,1.2353,617
5910a1f48e5d,1.2976,473
b03d32fbaf3a,1.3529,408
a1a6ff4f7cfa,1.1529,871
0569a786c737,1.3418,198
bb82d94f229c,1.2048,362
0f6a233c24af,1.2892,353
d6e983de58a1,1.2073,783
5e2d9b6c4e53,1.2469,161
b6b9fee1e919,1.2073,811
549059f30064,1.2298,571
8cb618c0f5e0,1.3953,67
9682a27daba3,1.35,373
5deed367c47f,1.2048,376
4675c3d5de43,1.2727,279
1d8ca6866d1b,1.2216,516
c8b148d9963f,1.2289,617
c22dbf6f819f,1.3171,857
b710b1197190,1.2193,636
2440610ead9c,1.2775,633
2ba8c6ab6213,1.2561,994
619641f0c270,1.2023,410
3b62d6d23a92,1.2195,952
17c839aae43c,1.1479,585
629fa4b7f4a1,1.2317,746
249fbb7e4222,1.1707,642
dcd3dadccb57,1.25,518
c1d5271642fc,1.3488,352
481ce8bcedec,1.3054,592
71f59b2bf3b6,1.1928,926
c9924fb50b32,1.2485,187
449550b35d2e,1.3214,768
be3fe5f032e9,1.2418,607
6570549ea68b,1.2989,799
6a6d185de8aa,1.193,993
6de5aa8eebde,1.2961,34
1c0fbc875021,1.2376,629
13c65aec6ed9,1.2683,299
ef938d312ab1,1.3659,38
8d9d9348b5c4,1.2727,616
48bbb271682a,1.1744,109
339c99ac11d9,1.358,771
5b59b6bce600,1.1667,683
4c76dd8df202,1.2471,538
d50876ed9ab4,1.2453,498
b2c580ae5392,1.1379,1009
8b8a6600974b,1.3049,17
259fc203cf12,1.193,329
5dee9472ab8d,1.2716,681
ac7563d3a6ef,1.2393,640
06d78ece15b9,1.2706,587
1cff4821731b,1.2738,160
5e28dac11e71,1.1928,430
ee4be2ff87fa,1.2814,697
aa2e9c5cc6ed,1.2353,633
8f0897e26b53,1.1779,24
65bdd196fc13,1.2941,559
1138d1c27a1c,1.1647,856
9bcf43710992,1.2262,523
3ca0839babca,1.2651,36
129d56c3cd35,1.2235,273
466c506c8bdc,1.2121,186
4adb9edee210,1.1771,933
a84fcedf6efb,1.2515,172
225558e31019,1.2195,929
9204a2b44efa,1.2914,1021
4ae0552d97a1,1.2857,755
1a5c8971eb39,1.1325,597
d7ed97ff4c81,1.1902,1009
723239b7e64a,1.1617,467
509c380dd8c1,1.2048,9
e0b1e5481558,1.241,530
69c40a4f9798,1.1807,15
ca37ca670ae0,1.1264,47
9c52018445dc,1.2289,140
c9f7798315f5,1.3049,617
085f54495899,1.3103,327
1dcd050e139d,1.2771,73
bda12b3eae4b,1.1792,201
d9277fbf46b7,1.3333,656
10590b903138,1.2195,593
574c1af25baa,1.3012,342
064bea6ea0cf,1.1834,710
3dd5c7bf1c3c,1.1882,817
23b2b4339f63,1.3294,183
4c3ab5654e5e,1.1529,220
3f1610bc502c,1.3333,520
2567c1887822,1.2644,307
e8bbc1a9a96b,1.2308,241
3af70c47ed4b,1.2515,475
2ed87cfd7615,1.2289,60
6070c93ba06c,1.2169,423
b7d6f7e7eb23,1.3086,115
83f0c680c97c,1.2088,308
eab150cd353b,1.2515,829
43b3b9862282,1.1928,402
9293099b015f,1.25,555
51f6fc60ac80,1.2934,255
312a864f950f,1.3095,860
90e4a40bdca9,1.2771,637
285c4177e179,1.1124,53
2ba692febe1e,1.1882,546
85a25cedd367,1.3659,18
800f6572ffe7,1.1758,824
964c50610d2a,1.2651,626
4bd8eb6fbd88,1.1778,226
fc7bd4d01095,1.2686,627
8ea74fc883e8,1.2096,225
7c214d6bcec3,1.2235,1008
a69f184c177b,1.2814,943
2b8f94aaa661,1.2892,42
d24bd374d389,1.2486,296
d6bca5a56ffa,1.1442,977
4934f27b9c01,1.1976,952
3098f1af0496,1.2663,193
c6fc330818e2,1.3129,42
03f600924e74,1.1638,724
9a91eb6d3f46,1.3374,655
